#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
0 2.08 44.11 6.36 10.04 189.89
1 2.92 46.09 10.43 14.43 219.49
2 3.08 38.98 7.95 10.61 199.49
3 3.38 42.55 10.80 14.95 229.44
4 3.63 50.35 11.09 14.77 228.98
5 4.02 47.91 12.58 16.39 198.65
6 3.71 36.80 7.81 11.60 212.96
7 4.25 40.93 12.87 17.83 231.99
8 4.09 44.95 13.90 20.41 234.28
9 4.28 55.00 9.61 13.54 209.59
10 4.42 52.62 12.88 15.88 219.58
11 4.42 35.41 8.54 11.27 207.72
12 4.71 38.70 10.01 16.35 241.79
13 5.06 43.19 13.92 18.84 227.16
14 5.28 50.16 13.94 21.08 221.68
15 5.16 33.99 7.90 12.00 191.95
16 5.57 47.77 15.58 21.12 236.72
17 5.64 45.32 16.41 19.96 219.23
18 5.60 37.06 13.19 15.96 233.65
19 5.65 52.83 13.83 18.89 217.31
20 5.64 40.02 13.99 20.44 232.87
21 6.09 55.39 13.45 17.26 194.85
22 5.90 32.44 7.55 10.26 195.48
23 6.26 42.05 16.85 23.22 236.92
24 6.25 35.27 12.53 16.89 242.43
25 6.47 57.98 10.76 16.14 219.82
26 6.55 38.65 16.40 23.71 246.93
27 6.60 48.80 15.66 21.96 217.24
28 6.73 52.07 17.06 21.74 226.42
29 6.87 44.59 19.18 21.11 232.64
30 6.85 61.07 10.56 12.92 184.47
31 7.10 32.69 11.17 16.05 231.22
32 7.08 35.80 16.43 21.21 245.33
33 7.35 46.70 16.98 23.46 218.68
34 7.33 40.98 18.40 22.92 245.35
35 7.31 56.27 14.69 19.94 224.86
36 7.58 53.46 16.02 21.36 221.97
37 7.59 38.56 17.06 23.89 242.30
38 7.64 59.50 14.33 17.71 221.04
39 7.79 30.05 9.43 13.43 200.17
40 7.76 43.01 21.06 28.84 239.11
41 7.82 50.52 17.37 23.62 226.54
42 7.91 35.82 17.85 21.56 232.99
43 8.30 48.55 17.90 24.06 205.87
44 8.21 56.99 17.34 23.26 223.88
45 8.28 61.71 14.38 16.53 184.72
46 8.45 33.11 15.06 21.18 233.39
47 8.42 45.42 16.91 24.82 227.78
48 8.67 53.87 19.38 25.71 231.15
49 8.70 39.13 19.43 27.57 246.64
50 8.75 41.20 19.37 25.93 230.64
51 8.95 59.19 16.64 20.05 193.58
52 9.01 63.26 12.11 15.67 180.49
53 8.94 31.01 15.01 20.58 230.49
54 9.03 37.00 19.61 24.93 238.16
55 9.12 43.35 20.48 27.72 236.84
56 9.13 34.87 19.16 23.57 234.94
57 9.09 51.03 19.45 23.48 213.63
58 9.19 26.50 7.33 10.49 141.09
59 9.22 55.58 19.28 24.74 197.07
60 9.24 46.98 19.84 27.06 227.80
61 9.78 29.77 12.97 19.56 211.43
62 9.83 51.99 20.73 27.69 203.05
63 9.98 38.99 20.13 27.33 245.01
64 10.18 48.25 19.12 26.13 214.72
65 10.15 60.87 18.59 21.29 190.18
66 10.04 33.25 19.63 24.50 238.01
67 10.08 44.95 20.89 27.69 230.53
68 10.13 58.46 19.89 25.73 211.89
69 10.25 65.40 13.62 15.70 147.94
70 10.24 27.25 11.99 16.57 197.69
71 10.48 24.65 7.19 10.48 136.83
72 10.43 41.32 20.70 28.48 242.01
73 10.37 56.05 19.67 27.10 224.40
74 10.38 63.26 16.75 18.66 188.44
75 10.49 35.39 21.78 28.34 221.57
76 10.78 37.39 22.43 30.00 231.94
77 10.70 51.00 20.04 26.08 214.07
78 10.85 31.86 19.67 24.60 237.69
79 11.16 53.86 20.94 26.99 211.14
80 11.03 29.40 16.54 22.04 220.09
81 11.06 43.52 19.48 31.85 237.63
82 11.39 47.94 22.82 30.56 229.33
83 11.42 60.27 21.24 25.24 188.31
84 11.56 63.51 18.80 21.89 184.12
85 11.58 39.68 24.89 31.24 231.06
86 11.63 45.85 23.21 30.09 230.10
87 11.71 57.77 21.84 26.13 176.63
88 11.63 33.30 25.19 27.81 235.01
89 11.78 27.99 15.47 20.22 175.19
90 11.75 50.35 20.71 27.96 224.27
91 11.99 35.74 21.16 30.76 229.66
92 11.79 24.04 9.61 14.66 160.18
93 11.89 67.21 14.01 17.42 153.86
94 12.06 42.16 26.46 31.80 226.01
95 12.21 55.35 23.31 27.67 196.02
96 12.24 38.14 26.39 31.11 226.21
97 12.34 70.26 11.04 13.16 100.77
98 12.41 32.08 21.25 27.93 222.73
99 12.42 52.38 24.60 28.72 214.85
100 12.43 45.09 24.47 30.00 210.18
101 12.58 61.61 23.81 27.42 176.86
102 12.74 22.27 9.40 13.49 125.32
103 12.71 25.76 15.25 21.29 212.17
104 12.73 64.80 20.48 23.10 179.32
105 12.93 29.88 20.25 24.93 194.04
106 12.86 47.66 25.23 30.57 223.57
107 12.99 59.42 24.70 28.42 171.92
108 12.91 40.47 26.00 32.14 220.59
109 13.08 49.83 22.64 31.03 194.29
110 13.12 68.75 18.59 18.10 129.76
111 13.31 43.22 23.73 30.68 227.79
112 13.28 56.94 22.99 29.66 215.66
113 13.38 33.57 22.89 29.10 221.45
114 13.26 53.99 28.80 32.05 202.32
115 13.23 36.78 24.20 31.89 205.56
116 13.61 39.59 22.46 30.54 196.35
117 13.80 45.83 25.95 33.03 225.52
118 13.75 66.74 22.32 23.18 128.76
119 13.87 26.93 20.52 26.36 197.83
120 13.79 63.49 27.07 25.14 160.90
121 13.90 24.46 16.63 20.57 180.36
122 13.94 52.33 25.62 33.43 215.46
123 14.00 29.50 22.60 29.27 197.99
124 14.21 61.14 30.66 29.81 164.83
125 14.19 48.21 25.44 33.83 194.60
126 14.36 37.64 23.78 30.87 221.98
127 14.42 70.00 24.31 21.09 139.10
128 14.58 22.78 17.74 19.97 156.26
129 14.38 34.73 25.15 32.03 198.40
130 14.42 56.36 26.02 31.08 196.90
131 14.46 31.90 23.39 30.61 201.00
132 14.44 42.14 23.82 31.64 202.99
133 14.66 50.61 25.37 32.81 213.59
134 14.61 72.32 15.13 17.10 113.03
135 14.71 59.32 28.20 30.61 181.10
136 14.91 64.47 26.77 28.09 155.96
137 15.05 40.20 26.13 34.85 215.26
138 14.95 44.17 26.88 32.63 182.60
139 15.00 67.70 23.34 24.65 151.66
140 15.12 54.13 32.25 31.70 166.22
141 15.08 46.93 25.55 29.72 180.73
142 15.20 29.33 23.19 29.50 207.67
143 15.49 26.48 19.47 24.70 164.03
144 15.45 35.64 26.08 32.56 213.14
145 15.44 32.48 24.48 27.81 175.96
146 15.48 61.71 30.80 31.12 195.19
147 15.84 20.91 16.99 20.05 133.53
148 15.56 57.92 32.40 35.88 202.31
149 15.81 49.67 29.84 35.82 209.02
150 15.87 52.22 25.84 31.17 190.95
151 15.76 72.11 21.29 20.07 136.93
152 15.81 38.33 28.41 33.76 205.30
153 15.84 23.74 22.05 23.92 155.29
154 16.01 65.67 28.77 29.31 167.41
155 15.98 42.18 29.27 31.56 186.30
156 16.17 44.97 30.05 33.01 188.64
157 16.17 68.66 29.63 25.39 117.74
158 16.34 55.87 30.74 35.70 178.16
159 16.38 47.30 28.77 33.88 170.39
160 16.37 29.65 27.77 30.22 198.42
161 16.41 33.36 28.85 31.59 164.46
162 16.54 59.75 29.43 32.34 166.98
163 16.56 63.02 30.65 32.59 158.59
164 16.66 19.30 15.12 16.57 120.54
165 16.88 36.00 30.57 33.35 184.59
