#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw9 14A 4 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.48 44.67 10.37 74.14 8.91
1 2.73 49.00 10.59 77.41 9.60
2 3.24 46.87 12.71 82.01 10.54
3 3.46 51.19 12.77 83.05 10.01
4 3.55 44.34 14.02 84.07 11.36
5 4.16 40.87 12.67 81.56 10.34
6 4.11 48.40 15.26 96.72 13.52
7 4.31 55.11 10.43 78.34 8.84
8 4.63 50.75 14.68 91.89 12.23
9 4.64 43.87 16.62 84.48 12.89
10 4.41 42.46 13.78 78.89 13.22
11 4.80 46.16 16.12 85.95 13.39
12 4.75 53.29 14.47 85.39 11.76
13 5.27 48.60 17.13 90.54 13.86
14 5.30 41.64 15.68 79.24 13.58
15 5.37 56.73 12.38 83.92 10.96
16 5.31 39.33 15.94 72.82 12.65
17 5.76 52.32 15.93 91.77 14.13
18 5.85 43.62 17.64 78.89 14.55
19 5.54 51.27 17.64 98.73 13.09
20 5.95 39.17 14.01 68.89 13.49
21 5.92 54.54 15.08 90.57 13.19
22 6.20 46.01 18.62 85.39 15.59
23 5.88 36.87 13.80 64.07 12.39
24 5.92 41.05 14.97 72.93 13.07
25 6.55 48.12 17.32 91.68 16.41
26 6.42 50.37 19.37 100.26 15.60
27 6.47 57.82 13.13 91.53 12.34
28 6.46 59.85 10.43 76.77 9.68
29 6.70 36.79 14.63 55.41 11.86
30 7.00 42.34 18.98 78.87 17.23
31 6.89 55.70 16.55 94.27 14.73
32 6.86 52.91 19.81 95.56 16.23
33 6.87 38.26 13.66 64.62 14.41
34 7.24 44.72 19.52 82.29 16.88
35 7.16 39.72 18.22 68.36 15.72
36 7.19 53.86 18.94 94.94 16.88
37 7.43 60.41 12.52 80.00 11.90
38 7.54 50.27 20.59 98.60 17.03
39 7.72 58.07 15.86 92.72 15.54
40 7.91 47.14 21.57 84.25 18.48
41 7.53 40.87 20.47 69.53 14.68
42 7.97 54.84 18.69 97.65 17.45
43 7.81 37.18 17.45 57.29 15.55
44 8.43 38.87 19.31 55.89 16.29
45 8.41 44.30 20.58 76.56 18.15
46 8.38 52.50 20.29 95.07 18.40
47 8.48 61.00 15.03 91.40 14.12
48 8.61 49.79 23.43 93.49 19.32
49 8.67 41.40 20.99 62.60 17.49
50 8.65 56.63 18.55 102.74 19.58
51 8.70 34.65 16.31 41.32 14.70
52 8.80 58.90 16.37 98.94 15.51
53 9.00 36.85 16.94 41.92 17.26
54 8.98 62.88 11.68 78.75 13.43
55 9.27 46.88 21.07 82.33 19.77
56 9.32 54.67 20.58 105.21 19.94
57 9.53 43.12 20.41 65.14 18.80
58 9.52 51.97 22.25 98.46 20.17
59 9.33 39.71 20.94 44.65 18.03
60 9.49 32.27 14.83 28.20 12.30
61 9.76 60.02 18.38 97.49 19.94
62 9.66 34.33 17.65 34.40 15.16
63 9.86 57.48 19.91 104.68 19.39
64 9.94 49.32 23.72 94.80 20.72
65 10.08 62.20 16.08 93.38 17.91
66 10.01 64.73 13.11 74.18 13.48
67 9.97 38.50 20.06 45.00 19.04
68 10.06 36.38 19.76 37.57 18.36
69 10.14 40.69 21.39 50.01 20.25
70 10.32 45.36 21.72 70.21 20.85
71 10.55 31.07 14.70 23.30 14.48
72 10.54 54.53 22.70 101.29 23.21
73 10.73 51.67 23.48 96.72 23.38
74 10.89 47.87 22.75 81.10 23.34
75 10.74 41.69 23.07 48.35 19.63
76 10.66 58.78 21.21 101.21 21.32
77 10.79 43.65 25.07 58.86 23.24
78 10.95 56.99 24.63 108.52 23.13
79 11.07 64.04 15.02 92.01 19.55
80 10.79 32.76 17.67 28.07 17.41
81 11.03 38.43 23.27 36.52 19.98
82 11.11 59.70 21.78 99.25 21.94
83 11.18 66.61 13.96 76.36 14.17
84 11.07 34.89 19.45 30.94 18.06
85 11.36 37.12 20.82 32.68 19.74
86 11.24 61.77 19.63 97.24 20.46
87 11.39 45.75 22.81 63.82 22.38
88 11.13 39.61 19.46 38.85 19.08
89 11.44 30.44 14.98 23.33 17.12
90 11.61 49.85 22.77 83.69 24.23
91 11.39 43.04 22.27 51.46 21.15
92 11.44 32.35 15.17 25.27 16.88
93 11.73 53.37 23.60 97.88 25.41
94 11.74 39.66 20.95 37.73 22.44
95 11.63 55.74 22.51 95.22 25.62
96 12.09 57.94 22.42 102.04 26.93
97 11.79 36.19 20.54 29.54 21.00
98 12.17 63.40 18.88 92.62 23.99
99 11.96 29.31 16.54 21.46 16.90
100 12.00 41.52 23.13 43.18 23.08
101 12.25 60.82 22.61 102.54 27.81
102 12.26 66.36 16.50 80.56 19.97
103 12.40 44.32 23.12 49.56 25.14
104 12.51 46.93 22.35 64.69 25.80
105 12.32 31.79 16.95 25.40 21.10
106 12.36 34.70 19.61 28.23 19.82
107 12.28 55.57 23.95 95.74 26.00
108 12.72 51.92 24.48 85.68 27.92
109 12.67 42.01 23.05 38.57 22.51
110 12.85 49.41 26.86 68.93 27.45
111 12.67 36.48 19.98 29.48 19.52
112 13.22 54.47 24.01 97.07 31.50
113 13.03 31.76 19.06 27.72 20.24
114 13.19 62.42 22.73 98.64 30.48
115 13.46 67.26 17.34 89.63 24.78
116 13.29 57.36 22.53 101.66 30.04
117 13.37 64.74 19.92 91.23 29.32
118 13.34 39.93 21.20 35.30 25.69
119 13.45 29.79 18.77 21.27 22.05
120 13.67 44.25 23.09 41.79 29.49
121 13.60 41.69 24.21 36.00 29.87
122 13.76 59.84 24.35 107.48 33.24
123 13.56 27.67 18.17 20.06 19.83
124 13.88 46.69 24.26 46.98 31.55
125 13.89 51.02 22.47 74.08 31.91
126 13.70 61.85 19.75 98.25 30.25
127 13.84 38.49 22.67 31.69 24.73
128 14.28 48.59 24.52 57.99 32.24
129 13.84 42.57 24.62 37.25 29.88
130 14.04 25.99 17.82 16.84 21.34
131 14.44 55.61 25.81 89.38 32.78
132 14.03 27.88 16.07 21.47 20.27
133 14.44 53.08 24.50 80.65 34.17
134 14.57 63.70 22.93 97.02 36.99
135 14.58 70.45 13.98 79.89 25.20
136 14.57 39.63 24.06 30.78 30.82
137 14.84 34.57 22.44 26.11 30.04
138 14.33 26.89 14.75 24.00 22.88
139 14.68 57.91 25.26 103.97 38.00
140 14.77 29.13 19.54 20.69 27.97
141 14.81 66.13 21.03 91.09 36.39
142 14.74 68.29 19.20 89.98 35.12
143 14.87 31.65 22.93 22.69 29.76
144 14.88 45.09 24.99 41.25 35.65
145 14.79 60.36 25.00 101.85 39.78
146 14.86 61.83 24.69 104.46 42.59
147 14.69 25.21 15.27 21.59 20.14
148 14.80 27.15 17.23 16.87 28.84
149 14.89 37.40 23.82 27.82 30.01
150 14.77 43.73 19.88 40.47 33.94
151 15.06 42.11 23.25 33.29 35.15
152 15.15 50.13 25.91 61.03 39.53
153 15.32 46.77 24.61 43.11 40.23
154 15.17 25.97 15.81 15.71 27.57
155 15.51 53.44 24.60 79.16 40.72
156 15.56 72.01 14.76 76.02 25.15
157 15.42 26.78 16.73 20.27 28.18
158 15.75 64.92 25.66 101.81 45.64
159 15.73 39.85 23.57 28.93 35.91
160 15.85 24.64 16.44 17.39 32.59
161 15.76 57.44 26.22 95.16 44.44
162 15.71 37.11 20.54 25.78 38.22
163 16.02 62.57 25.33 101.75 45.21
164 15.90 68.35 19.90 90.05 43.86
165 15.97 35.97 23.79 23.76 35.38
166 15.96 51.43 27.07 62.09 51.56
