#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf6 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 1.88 48.59 11.91 85.50 5.86
1 2.22 46.28 11.48 84.63 5.29
2 2.52 49.22 12.52 93.48 5.33
3 3.04 43.63 14.27 91.94 7.96
4 3.15 51.50 12.58 97.00 5.94
5 3.41 48.11 16.74 105.54 7.80
6 3.59 45.91 15.70 86.15 7.28
7 3.65 39.31 12.13 89.87 9.34
8 4.36 41.74 15.68 100.55 12.74
9 4.49 44.33 17.97 91.29 11.65
10 4.40 52.26 14.56 82.68 5.77
11 4.67 49.84 17.24 92.83 8.21
12 4.40 54.50 13.13 93.24 4.98
13 4.90 47.67 16.41 89.55 9.14
14 4.88 39.39 15.90 90.16 13.03
15 5.01 54.50 12.92 86.67 7.08
16 5.40 37.19 15.05 82.88 11.88
17 5.61 43.16 18.78 90.50 11.14
18 5.36 53.55 14.21 89.59 7.72
19 5.69 59.55 7.00 70.31 3.75
20 5.87 40.93 16.98 93.78 14.73
21 5.89 45.61 18.72 93.97 11.23
22 5.86 52.28 16.20 92.72 7.23
23 5.78 55.79 14.61 100.67 6.43
24 5.85 34.41 13.32 64.25 9.86
25 6.05 49.75 17.68 91.03 9.44
26 6.64 39.02 18.36 73.48 13.44
27 6.32 54.51 15.75 95.56 7.48
28 6.52 57.48 14.04 90.56 6.21
29 6.50 36.80 16.87 65.92 13.65
30 6.80 47.62 17.41 93.89 12.70
31 6.38 59.42 8.80 71.34 5.69
32 6.44 32.61 11.44 48.28 10.50
33 6.82 42.76 18.14 93.64 17.29
34 6.87 52.33 18.81 95.63 10.01
35 7.15 33.03 12.84 44.29 10.09
36 7.14 34.88 14.48 51.38 11.16
37 7.13 45.18 19.23 99.07 21.17
38 7.21 54.82 17.97 93.46 8.47
39 7.38 51.16 16.17 100.76 11.51
40 7.54 59.81 11.50 76.13 5.61
41 7.24 40.73 19.14 68.53 18.81
42 7.54 49.49 20.64 94.49 11.70
43 7.70 36.65 18.25 53.01 12.11
44 7.84 41.25 16.36 68.08 15.98
45 8.05 58.25 13.45 88.01 7.43
46 7.83 32.24 14.19 35.31 5.75
47 8.17 39.02 17.17 56.94 14.44
48 8.25 43.17 18.86 71.82 14.76
49 8.18 53.37 18.58 99.78 9.68
50 8.53 56.11 16.65 101.01 8.63
51 8.28 45.56 19.12 84.89 14.84
52 8.57 47.79 18.98 91.33 13.37
53 8.60 63.38 12.15 70.59 5.57
54 8.45 32.94 13.47 34.27 7.92
55 8.53 51.67 18.64 104.00 10.64
56 8.84 50.23 18.42 92.11 11.07
57 8.65 61.19 13.91 77.28 5.67
58 8.87 37.16 17.01 44.35 10.08
59 9.06 40.81 18.29 52.02 13.66
60 9.34 33.29 15.25 30.03 8.46
61 9.39 58.60 17.43 87.68 8.80
62 9.44 54.16 21.38 98.51 11.15
63 9.60 45.35 18.41 69.98 10.76
64 9.80 42.97 19.60 55.93 11.69
65 9.76 38.83 18.54 41.36 10.10
66 9.87 48.35 18.94 79.35 10.62
67 9.96 51.51 19.31 95.04 10.96
68 9.84 65.23 11.41 69.53 6.34
69 9.82 63.01 15.97 77.19 7.16
70 9.99 36.31 16.75 33.36 10.52
71 9.84 56.55 16.77 91.84 9.52
72 10.09 33.87 15.71 26.70 10.34
73 10.35 60.95 18.63 86.36 8.78
74 10.51 55.87 22.05 97.64 9.02
75 10.46 41.32 18.14 40.72 9.14
76 10.17 53.65 15.75 90.25 11.25
77 10.65 30.09 13.89 22.89 8.70
78 10.78 58.80 19.75 102.08 9.70
79 11.01 46.03 19.09 61.27 11.87
80 10.80 68.28 8.43 63.94 4.87
81 10.99 39.25 19.35 34.82 12.09
82 11.07 53.49 21.43 98.14 10.83
83 11.20 43.63 20.61 53.45 12.86
84 11.26 48.43 19.05 74.07 10.62
85 11.25 63.13 17.36 80.79 9.16
86 11.40 50.96 20.82 95.41 11.63
87 11.14 30.82 14.25 24.17 8.67
88 11.30 29.49 14.47 20.89 7.95
89 11.37 57.49 18.17 93.80 9.48
90 11.82 61.13 20.13 89.69 10.83
91 11.82 30.96 14.57 24.77 9.60
92 11.95 55.31 20.92 98.80 11.36
93 11.96 33.40 17.69 27.22 10.29
94 11.74 28.54 13.19 23.12 8.31
95 12.01 70.04 9.18 66.40 7.47
96 11.94 41.87 18.49 36.08 11.56
97 12.07 68.05 13.31 69.67 8.68
98 12.14 65.76 15.75 78.11 11.49
99 12.39 47.11 21.15 61.25 12.35
100 12.17 39.74 18.62 31.83 10.98
101 12.42 44.31 20.41 42.04 12.88
102 12.45 58.63 20.92 102.88 12.13
103 12.26 29.15 13.85 23.48 8.85
104 12.61 52.49 22.16 91.55 12.59
105 12.75 63.49 20.54 86.93 12.78
106 12.38 37.50 14.79 29.64 11.98
107 12.85 49.59 22.05 67.58 13.17
108 12.75 24.76 10.85 18.26 7.57
109 12.70 26.45 13.29 20.09 7.84
110 13.21 69.56 14.45 69.66 12.32
111 12.74 29.15 13.08 24.00 8.92
112 12.90 31.00 17.50 23.11 11.27
113 13.28 34.90 17.16 27.55 12.66
114 12.91 41.82 19.33 30.87 14.54
115 12.87 38.22 19.00 29.71 12.79
116 13.03 39.48 18.62 29.72 13.95
117 13.20 56.20 22.22 101.00 14.77
118 13.29 72.14 10.24 63.15 9.40
119 13.22 65.81 17.56 75.17 12.71
120 13.37 29.53 17.36 23.52 12.56
121 13.40 61.47 21.44 87.08 14.99
122 13.51 43.29 21.59 35.88 17.22
123 13.38 45.68 20.72 48.67 16.54
124 13.55 67.21 17.57 75.84 11.10
125 13.79 53.52 22.32 95.55 16.28
126 14.00 59.41 20.93 99.28 14.67
127 13.62 41.15 18.67 32.40 15.19
128 13.54 37.56 18.50 31.90 13.00
129 13.69 38.61 20.50 29.53 13.56
130 14.16 47.47 21.37 46.93 18.73
131 14.15 50.35 21.64 66.33 18.77
132 13.87 30.60 17.91 23.55 14.70
133 14.13 64.40 19.77 74.03 14.49
134 14.12 70.60 16.82 67.31 15.33
135 13.99 35.34 21.89 30.22 17.22
136 14.21 40.04 18.07 30.89 15.37
137 14.30 37.67 16.85 32.35 15.20
138 14.39 73.68 9.93 74.47 9.12
139 14.23 27.94 17.00 24.92 13.50
140 14.51 56.24 22.00 96.49 16.63
141 14.32 35.96 17.12 28.53 16.12
142 14.57 22.79 10.60 18.89 9.27
143 14.62 62.55 19.73 79.27 15.16
144 14.75 68.86 18.36 76.08 14.69
145 15.05 23.84 13.21 19.05 15.39
146 14.81 45.22 20.64 35.18 29.72
147 14.67 36.77 19.58 31.08 19.00
148 15.06 52.15 23.40 79.25 23.05
149 15.10 66.33 20.96 79.86 18.42
150 15.09 60.75 24.04 100.63 18.35
151 15.17 35.04 19.50 26.66 24.97
152 15.10 40.13 19.61 30.28 22.14
153 15.19 48.39 22.01 45.12 41.29
154 15.19 37.59 19.20 26.73 20.49
155 15.18 72.75 14.66 71.23 14.32
156 15.64 54.25 22.53 88.07 26.11
157 15.73 26.51 14.24 20.23 27.29
158 15.47 29.45 15.71 22.03 25.09
159 15.56 64.21 23.15 88.44 19.93
160 15.52 71.33 17.88 75.33 14.21
161 15.74 22.18 10.87 18.95 17.16
162 15.92 56.60 23.42 99.21 21.88
163 15.85 44.32 21.55 30.82 52.52
164 15.99 50.55 22.01 59.80 51.69
165 15.65 38.66 19.75 30.00 19.25
166 15.92 68.37 20.76 77.24 17.76
