#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw1 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.38 45.70 8.49 78.77 5.74
1 3.00 50.79 8.91 76.50 5.38
2 3.39 47.72 10.92 79.04 7.18
3 3.39 42.13 9.88 74.94 7.17
4 4.09 39.99 9.54 75.08 6.21
5 3.99 45.15 10.86 75.58 6.67
6 4.19 54.70 7.47 67.46 5.43
7 3.91 43.07 11.24 76.84 7.50
8 4.35 52.02 10.20 72.60 6.86
9 4.38 49.25 11.56 76.89 6.60
10 5.14 38.33 10.28 63.32 6.56
11 5.15 42.48 11.04 71.17 7.28
12 5.53 47.06 12.96 75.43 7.72
13 5.65 44.85 12.23 74.05 8.04
14 5.51 54.83 10.57 75.89 7.05
15 5.75 49.53 12.03 79.08 7.28
16 5.83 51.90 12.11 81.50 7.09
17 5.63 40.04 12.81 60.84 7.84
18 5.94 57.06 8.46 66.79 6.98
19 6.41 40.94 12.09 59.84 8.78
20 6.52 37.38 10.79 51.27 7.26
21 6.89 58.84 9.05 68.22 6.35
22 6.61 53.76 12.60 84.61 7.92
23 6.97 43.56 12.98 61.35 7.68
24 7.06 48.11 11.89 67.37 8.40
25 7.07 34.99 9.70 38.01 7.52
26 7.15 50.69 12.39 67.71 7.20
27 7.45 55.45 11.72 76.20 8.18
28 7.52 39.32 12.18 48.96 8.89
29 7.28 52.41 12.42 72.21 7.86
30 7.94 45.61 13.16 60.72 9.16
31 7.94 60.24 10.03 73.52 7.18
32 7.81 36.84 11.41 38.66 6.98
33 7.70 51.42 13.50 73.95 9.50
34 8.23 41.61 12.64 50.01 8.87
35 8.31 34.58 11.21 33.63 7.29
36 8.55 53.38 13.94 71.19 8.39
37 8.65 50.45 13.11 65.79 9.44
38 8.64 48.02 13.38 63.15 9.62
39 8.62 56.47 13.43 73.65 8.88
40 8.69 62.44 8.58 61.34 6.75
41 9.11 39.22 11.87 33.44 9.48
42 9.28 43.13 13.63 42.02 8.73
43 9.09 32.90 9.65 25.37 8.27
44 9.18 59.10 13.89 74.27 8.60
45 9.50 36.97 12.63 28.50 8.95
46 9.53 45.73 13.61 52.24 9.38
47 9.54 34.17 10.89 23.35 9.63
48 9.95 51.49 14.86 65.04 10.05
49 9.67 54.42 15.11 70.94 9.30
50 10.04 56.75 14.77 79.60 9.78
51 9.91 61.91 13.20 70.57 8.87
52 10.18 40.85 12.84 31.27 10.25
53 10.18 48.47 14.26 54.67 9.16
54 10.34 64.40 10.10 66.33 7.74
55 10.08 35.15 11.60 21.84 10.40
56 10.42 53.87 14.94 64.45 10.72
57 10.60 59.98 13.45 79.42 10.12
58 10.50 31.00 10.11 16.87 9.18
59 10.91 43.52 13.05 31.80 10.53
60 10.90 66.89 7.76 53.20 6.15
61 10.67 36.25 11.87 21.48 10.78
62 11.01 46.15 13.37 38.35 10.02
63 10.66 32.87 11.36 20.18 8.53
64 10.90 38.49 12.54 22.53 10.74
65 11.06 68.80 4.79 37.21 4.76
66 11.40 57.61 15.62 79.58 11.21
67 11.56 52.19 14.72 57.58 11.14
68 11.45 49.61 13.71 51.00 10.26
69 11.66 54.71 15.05 69.97 11.69
70 11.38 41.32 12.01 25.12 10.94
71 11.50 62.44 14.90 74.40 11.59
72 11.36 36.16 14.55 20.69 10.38
73 11.66 32.97 11.40 20.13 10.71
74 11.51 38.85 13.27 23.00 11.53
75 12.12 60.12 15.44 77.52 11.38
76 12.15 69.19 7.81 48.68 6.96
77 11.75 39.64 13.56 21.33 15.11
78 12.21 65.74 12.07 66.57 10.12
79 11.82 36.50 12.62 23.38 12.54
80 12.38 47.58 15.92 37.37 11.86
81 12.21 44.89 14.16 29.02 10.31
82 12.70 32.63 13.29 17.53 11.72
83 12.18 42.19 14.55 22.10 11.55
84 12.33 37.11 12.51 20.46 11.87
85 12.42 39.80 15.34 19.54 11.43
86 12.74 56.52 16.98 68.12 12.68
87 12.76 63.61 14.96 76.45 11.90
88 12.86 51.06 16.18 45.81 12.20
89 12.77 41.09 13.95 22.40 11.35
90 12.78 28.54 10.30 15.42 10.15
91 12.94 30.42 11.97 15.23 11.03
92 13.28 67.57 13.07 67.35 11.30
93 13.11 38.48 15.43 19.90 12.87
94 13.33 53.98 16.46 56.38 13.10
95 13.36 58.64 17.07 70.61 13.72
96 13.57 61.49 17.21 80.08 15.07
97 13.23 42.45 15.11 24.32 11.93
98 13.68 48.75 14.07 33.22 12.30
99 13.36 35.20 15.33 20.00 13.00
100 13.21 27.98 12.83 15.00 9.67
101 13.84 45.72 15.24 24.96 13.09
102 13.77 65.34 15.75 72.58 14.06
103 13.54 69.23 10.45 60.64 12.73
104 13.58 29.17 10.27 15.82 10.36
105 13.73 31.33 13.89 18.33 14.81
106 13.90 70.41 11.75 54.24 11.53
107 13.90 28.07 10.22 14.31 10.91
108 14.00 37.26 13.76 20.60 13.26
109 13.71 30.31 10.50 17.25 12.75
110 14.33 56.18 17.12 57.33 15.28
111 13.95 29.62 12.25 16.12 10.75
112 14.09 43.21 15.35 21.75 13.12
113 14.27 41.57 13.67 22.08 13.00
114 14.55 72.91 7.76 41.91 9.51
115 14.72 52.71 16.55 40.66 15.69
116 14.54 49.99 15.71 31.02 14.56
117 14.43 63.46 18.32 78.31 20.52
118 14.26 31.86 12.25 21.00 15.75
119 14.45 33.36 14.71 16.53 14.09
120 14.59 59.20 17.46 63.66 18.69
121 14.40 65.05 15.39 72.06 13.67
122 14.36 26.48 9.75 15.75 11.33
123 14.70 68.15 14.84 71.19 15.78
124 15.06 47.65 14.86 26.89 15.99
125 14.90 31.21 13.83 18.83 13.55
126 14.61 38.56 17.13 19.71 15.11
127 14.79 40.47 16.00 21.16 15.12
128 14.97 25.79 10.91 15.64 12.98
129 14.70 32.34 11.92 20.92 14.83
130 14.77 26.94 10.17 19.42 13.50
131 15.19 43.44 16.20 21.88 16.61
132 14.91 62.13 16.70 66.47 16.80
133 15.51 70.82 13.64 63.05 16.69
134 15.57 65.54 17.28 72.04 19.41
135 15.24 49.49 16.06 28.06 17.65
136 15.59 54.56 17.55 38.37 19.94
137 15.47 28.27 13.04 17.43 14.55
138 15.86 57.16 18.31 45.01 22.70
139 16.11 30.64 13.96 17.10 19.81
140 15.96 73.70 10.04 47.84 12.39
141 16.06 46.25 16.82 22.12 18.72
142 15.78 40.92 16.03 19.76 18.76
143 15.99 25.54 11.12 14.52 17.97
144 16.02 50.53 16.78 26.84 22.84
145 16.15 68.27 18.16 71.06 22.45
146 15.92 31.85 15.71 18.07 19.98
147 15.96 38.47 16.84 20.08 20.30
148 16.11 60.57 17.22 54.57 21.97
149 16.58 52.53 17.55 29.16 28.84
150 16.31 35.29 16.57 20.46 17.81
151 16.60 63.43 17.93 63.28 25.55
152 16.44 33.35 13.87 16.40 20.67
153 16.17 40.72 13.50 24.75 18.50
154 16.80 47.86 18.43 22.65 27.88
155 16.88 42.37 15.74 19.60 25.59
156 16.61 39.27 16.93 17.45 23.24
157 16.81 55.28 18.26 29.39 38.84
158 16.95 71.81 13.84 61.33 19.33
159 16.98 36.86 16.05 17.72 23.52
160 17.00 58.47 18.95 43.80 34.75
161 17.10 66.19 19.37 71.35 26.87
162 16.77 76.49 7.13 35.37 8.73
163 17.39 27.84 14.01 15.46 27.63
164 17.35 45.37 17.44 21.55 31.24
165 17.37 49.74 18.02 23.45 35.21
166 17.31 31.10 16.00 19.00 24.80
