#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf1 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 1.74 47.88 8.83 94.03 3.93
1 2.80 48.64 10.87 91.84 4.71
2 3.03 45.65 11.38 89.96 5.02
3 3.23 43.40 10.26 81.29 4.11
4 3.23 51.56 9.90 89.94 4.45
5 4.16 47.35 12.70 91.21 6.17
6 4.07 50.01 13.29 90.18 5.20
7 3.80 55.02 9.66 90.62 4.38
8 4.75 38.39 10.84 94.11 6.67
9 4.56 42.44 12.79 90.02 5.77
10 4.60 52.86 12.62 94.73 6.01
11 5.04 45.25 13.23 88.31 7.19
12 5.09 55.25 11.82 84.80 5.00
13 5.50 40.81 12.88 89.40 7.51
14 5.24 49.91 14.11 87.49 6.07
15 5.91 47.86 14.53 86.01 6.90
16 5.94 59.39 8.91 87.01 4.41
17 6.06 36.64 9.84 85.82 6.21
18 6.17 43.56 13.38 84.77 8.77
19 6.19 56.88 12.30 95.14 6.21
20 6.31 51.37 14.21 90.10 6.57
21 6.10 54.09 11.92 78.33 7.28
22 6.33 38.73 13.13 91.27 8.05
23 6.64 34.44 9.92 78.54 6.33
24 6.81 61.45 7.28 77.98 4.08
25 6.56 55.03 14.71 94.31 6.40
26 6.66 39.91 11.86 87.29 9.29
27 7.02 45.75 13.76 90.93 8.01
28 7.17 41.72 13.58 83.09 8.81
29 7.27 53.12 14.97 97.71 7.55
30 7.35 48.48 15.32 93.57 7.85
31 7.16 36.33 10.68 75.88 8.34
32 7.40 59.10 12.02 87.76 6.17
33 7.51 56.76 14.53 91.92 5.62
34 7.63 32.54 9.92 58.94 6.11
35 7.74 39.21 14.14 78.42 9.63
36 7.92 50.85 15.42 95.29 8.09
37 7.88 36.95 12.71 61.57 9.93
38 8.24 43.92 15.08 80.05 9.43
39 8.30 54.43 14.72 95.16 7.65
40 8.32 34.23 12.46 59.84 7.86
41 8.40 61.28 11.51 85.85 5.51
42 8.44 46.49 15.58 93.83 9.01
43 8.30 35.69 10.94 51.72 7.39
44 8.73 41.28 16.24 70.31 9.99
45 8.82 31.54 9.74 41.85 6.40
46 8.90 58.66 14.15 93.50 6.68
47 8.99 56.56 16.52 95.23 7.99
48 9.01 48.85 16.23 91.92 8.05
49 8.97 38.25 14.70 65.58 10.88
50 9.31 51.69 16.01 94.93 8.79
51 9.14 63.68 9.69 79.42 5.74
52 9.24 33.17 11.09 43.67 7.09
53 9.66 60.97 15.49 89.59 7.14
54 9.41 43.65 16.00 68.43 10.46
55 9.55 36.16 14.86 50.83 8.96
56 9.79 46.09 15.87 78.59 9.57
57 9.79 54.31 16.85 92.75 8.27
58 9.71 30.74 9.06 35.38 5.18
59 10.00 40.31 16.41 57.08 9.05
60 9.78 62.77 13.30 80.82 7.36
61 10.00 43.25 16.90 63.85 9.34
62 9.89 59.77 14.56 91.82 7.23
63 10.30 34.64 13.36 40.07 8.09
64 10.29 65.96 10.06 81.35 6.08
65 10.33 49.24 15.80 82.44 8.77
66 10.30 58.01 16.55 98.87 8.60
67 10.82 32.01 11.78 30.75 6.76
68 11.04 55.50 16.80 100.87 9.67
69 10.79 52.43 18.09 89.82 10.34
70 10.59 63.70 13.20 80.22 6.91
71 10.54 36.79 15.15 45.09 8.36
72 10.89 38.04 14.96 41.60 9.38
73 11.30 29.97 9.84 26.27 6.99
74 11.10 42.62 16.85 52.28 8.60
75 11.10 60.20 16.16 92.25 9.32
76 11.08 45.36 15.74 61.27 10.03
77 11.11 62.32 12.96 83.05 8.10
78 11.46 47.79 16.65 67.74 10.17
79 11.34 68.65 9.02 67.71 5.52
80 10.89 35.80 13.20 37.40 8.20
81 11.32 40.09 17.06 47.06 9.29
82 11.72 50.41 17.60 79.70 10.08
83 11.70 57.64 17.65 101.70 9.74
84 11.56 66.80 9.75 76.85 6.80
85 11.60 65.24 13.14 85.59 7.23
86 11.59 36.34 17.02 34.86 8.18
87 12.28 52.84 18.13 82.77 10.89
88 12.24 38.55 17.34 37.63 9.62
89 12.28 43.93 17.08 48.58 9.73
90 12.02 31.48 14.30 27.30 8.00
91 12.18 63.46 14.81 90.81 9.23
92 12.31 41.19 16.41 38.52 10.41
93 12.46 59.81 18.45 96.35 10.22
94 12.84 46.10 17.79 51.71 10.85
95 12.47 32.71 13.18 28.42 8.56
96 12.34 36.12 15.12 32.90 9.20
97 12.57 68.60 12.41 79.29 7.66
98 12.68 55.15 19.32 94.50 11.45
99 12.83 48.46 17.38 59.03 10.70
100 12.89 66.01 14.93 86.96 9.69
101 12.85 34.53 15.09 28.61 9.07
102 12.86 26.11 10.17 19.66 5.54
103 13.35 57.13 18.08 91.56 12.03
104 13.31 50.74 19.02 65.67 10.99
105 13.30 62.01 16.35 90.57 11.88
106 13.37 29.48 12.93 22.11 8.26
107 13.45 37.87 17.52 29.79 10.14
108 13.18 68.19 11.13 72.74 8.74
109 13.42 32.22 14.60 26.22 9.69
110 13.17 27.14 9.67 18.33 8.00
111 13.35 30.64 14.69 24.14 8.17
112 13.66 43.68 18.99 41.76 11.24
113 13.87 53.63 19.07 71.25 12.32
114 13.59 64.61 15.02 86.76 12.73
115 13.75 40.70 18.82 33.40 10.59
116 13.70 70.51 12.55 73.59 9.51
117 13.60 33.78 15.62 27.38 9.16
118 14.12 28.13 13.62 22.62 7.46
119 13.75 36.30 16.81 29.17 10.64
120 13.83 59.82 17.28 92.97 12.55
121 14.00 67.18 15.76 77.56 11.22
122 14.18 48.23 18.83 48.35 11.48
123 14.13 39.16 16.82 31.36 11.64
124 14.29 68.79 14.74 78.41 10.82
125 14.39 26.34 10.26 20.68 7.97
126 14.19 30.97 14.36 26.61 9.19
127 14.08 63.88 15.88 87.50 13.38
128 14.41 58.45 18.52 80.30 13.17
129 14.53 46.02 18.51 39.04 13.30
130 14.25 33.76 19.46 26.71 10.20
131 14.72 51.22 19.03 55.51 12.79
132 14.40 65.29 15.27 75.88 11.58
133 14.51 35.81 17.63 29.83 12.30
134 15.00 55.61 19.49 70.59 15.21
135 14.71 61.98 18.86 96.02 14.87
136 14.63 71.75 12.34 62.18 12.41
137 15.13 74.46 9.50 64.02 9.12
138 14.50 34.82 15.00 31.00 12.00
139 14.88 37.08 17.44 30.12 11.37
140 14.77 30.08 14.96 24.42 10.46
141 14.96 40.51 18.50 29.89 13.47
142 14.92 32.03 15.36 26.32 11.85
143 15.09 42.62 17.35 32.92 12.56
144 15.04 34.30 16.06 27.00 11.17
145 15.48 66.69 18.52 81.95 16.38
146 15.41 53.28 19.43 56.22 16.61
147 15.09 70.71 13.74 68.97 12.03
148 15.12 44.55 17.07 34.05 13.95
149 15.16 27.51 14.39 22.03 10.29
150 15.28 48.84 20.15 41.97 16.76
151 15.37 72.89 11.47 69.22 11.53
152 15.11 29.44 16.00 26.00 11.83
153 15.23 60.15 18.68 92.88 20.03
154 15.70 57.55 18.31 77.27 20.70
155 15.84 69.44 16.52 77.10 15.36
156 15.67 64.63 19.16 94.54 17.79
157 15.81 38.22 17.83 30.43 15.13
158 15.64 41.10 17.64 29.18 13.77
159 15.99 25.81 11.49 20.86 10.41
160 15.85 35.74 17.87 28.60 14.16
161 15.64 47.46 16.91 38.36 14.36
162 15.96 22.29 10.24 19.76 8.80
163 15.95 43.77 19.30 33.28 15.58
164 15.98 59.61 20.94 87.52 17.60
165 16.05 45.84 20.47 33.80 15.96
166 16.29 51.15 20.39 43.59 20.20
