#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Data without background#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.09 48.82 0.00 0.00 0.00
1 2.34 43.26 0.05 0.00 0.11
2 2.26 46.22 0.00 0.00 0.00
3 2.58 49.86 0.00 0.00 0.00
4 2.83 52.11 0.00 0.00 0.00
5 3.62 47.40 0.00 0.00 0.17
6 3.29 44.86 0.00 0.00 0.10
7 3.27 54.83 0.00 0.00 0.00
8 3.64 50.89 0.00 0.00 0.00
9 3.98 39.59 0.71 0.00 7.20
10 4.30 52.78 0.00 0.00 0.00
11 4.09 44.71 0.00 0.00 1.13
12 4.13 55.53 0.00 0.00 0.00
13 3.93 36.79 0.73 0.00 12.03
14 5.12 38.23 1.94 0.00 22.08
15 4.93 43.14 0.00 0.00 6.72
16 4.99 58.24 0.00 0.00 0.00
17 5.11 48.14 0.00 0.00 0.65
18 5.57 40.78 0.09 0.00 21.24
19 5.24 45.93 0.00 0.00 2.25
20 5.20 50.61 0.40 0.00 0.28
21 5.64 53.91 0.00 0.00 0.00
22 5.44 56.58 0.00 0.00 0.00
23 5.73 35.57 1.35 0.00 43.64
24 5.91 51.30 0.00 0.00 0.15
25 6.18 61.53 0.00 0.00 0.58
26 6.27 33.28 1.16 0.00 53.92
27 6.22 43.55 0.00 0.00 10.90
28 6.21 36.61 1.21 0.00 42.49
29 6.33 59.02 0.00 0.00 0.00
30 6.34 46.23 0.00 0.00 12.82
31 6.56 48.64 0.00 0.00 3.14
32 6.83 38.56 0.49 0.00 42.81
33 6.84 52.38 0.00 0.00 0.00
34 6.99 54.63 0.00 0.00 0.00
35 7.07 46.19 0.00 0.00 17.29
36 7.19 35.47 0.78 0.00 52.74
37 7.28 41.51 0.99 0.91 41.84
38 7.54 60.36 0.00 0.45 0.00
39 7.65 44.29 0.00 0.00 27.88
40 7.59 57.07 0.00 0.00 0.00
41 7.65 32.32 0.40 0.00 51.25
42 7.66 49.84 0.00 0.00 11.08
43 7.72 48.50 0.00 0.00 13.12
44 8.25 51.97 0.00 0.54 6.89
45 8.25 36.93 0.95 5.91 60.49
46 8.37 39.31 1.03 1.49 54.53
47 8.48 30.13 1.10 8.54 39.66
48 8.39 34.06 1.07 8.39 60.26
49 8.48 46.92 0.00 1.36 25.55
50 8.36 54.45 0.00 0.84 0.06
51 8.79 61.73 0.00 0.00 0.00
52 8.73 41.84 0.09 3.17 55.39
53 8.95 59.38 0.00 0.00 0.00
54 9.10 44.48 0.04 2.52 54.18
55 8.90 56.88 0.00 0.00 0.00
56 9.10 49.74 0.00 0.83 24.76
57 9.33 65.44 0.00 0.09 0.06
58 9.41 32.06 1.58 14.91 32.75
59 9.67 34.78 1.78 6.72 60.18
60 9.79 37.19 1.08 6.92 52.61
61 9.77 52.82 0.00 7.83 2.71
62 9.87 29.01 0.72 5.12 26.53
63 9.82 39.63 0.59 8.47 55.10
64 10.11 55.19 0.00 7.30 0.00
65 9.99 47.78 0.00 2.98 40.94
66 10.14 60.96 0.00 2.08 0.00
67 10.20 42.08 0.59 5.75 55.32
68 10.31 57.48 0.00 3.13 0.00
69 10.18 63.88 0.00 0.00 0.00
70 10.51 45.05 0.00 3.08 45.76
71 10.23 58.86 0.00 3.51 0.20
72 10.59 51.19 0.00 10.23 7.09
73 10.55 26.28 1.44 6.97 4.52
74 10.69 31.24 0.00 13.82 9.46
75 10.82 33.94 1.30 9.51 26.37
76 10.92 68.20 0.00 0.00 1.55
77 11.11 65.74 0.00 1.56 1.05
78 11.71 35.58 0.97 13.99 8.27
79 11.31 49.48 0.00 15.21 33.81
80 11.49 27.63 0.80 12.06 1.06
81 11.12 39.21 0.00 7.09 27.00
82 11.12 54.24 0.00 9.17 0.00
83 11.41 59.93 0.00 1.75 0.00
84 11.33 62.77 0.00 2.02 0.00
85 11.34 24.32 0.38 11.56 0.31
86 11.49 47.09 0.00 12.99 32.27
87 11.18 29.54 0.84 12.28 10.65
88 11.36 42.47 1.54 20.31 35.64
89 11.78 57.38 0.00 6.20 0.19
90 11.87 70.38 0.00 0.00 17.12
91 11.71 52.43 0.00 9.53 3.37
92 11.69 55.40 0.00 10.20 0.81
93 11.91 32.16 1.16 18.84 5.53
94 11.84 29.50 0.92 12.35 4.16
95 12.06 44.88 0.00 18.66 10.10
96 12.41 40.44 1.72 33.98 5.31
97 12.40 38.01 0.00 17.26 3.03
98 12.22 66.91 0.00 0.00 8.83
99 12.39 24.19 0.00 16.12 0.26
100 12.50 25.97 0.00 8.03 0.00
101 12.59 50.57 0.00 17.04 7.10
102 12.78 54.04 0.00 9.59 1.16
103 12.82 48.06 0.37 20.93 3.91
104 12.80 60.45 0.00 5.66 1.95
105 13.00 42.93 0.00 35.77 2.47
106 12.87 62.71 0.00 7.40 1.82
107 13.00 29.63 1.98 18.01 0.53
108 13.13 56.46 0.00 7.33 0.83
109 13.49 69.69 0.00 0.00 40.91
110 13.38 45.61 0.00 31.42 4.06
111 13.32 35.18 0.69 18.90 2.33
112 13.33 66.67 0.00 0.00 30.20
113 13.53 23.15 0.75 15.74 0.00
114 13.70 32.76 0.00 19.20 0.90
115 13.63 52.08 0.00 21.38 4.18
116 13.74 37.33 0.03 18.96 1.92
117 13.66 20.81 0.00 16.60 0.00
118 13.91 26.02 0.00 16.24 1.12
119 14.13 64.13 0.00 0.00 27.56
120 13.90 40.50 0.00 31.49 2.31
121 14.03 49.30 0.00 20.12 3.86
122 14.03 58.57 0.00 6.33 1.92
123 14.46 54.13 0.00 19.55 3.47
124 14.15 67.09 0.00 0.00 35.26
125 14.43 29.76 1.32 18.45 1.43
126 14.55 43.38 0.00 41.80 3.61
127 14.77 71.80 0.00 0.00 34.87
128 14.57 46.56 0.00 45.15 6.46
129 14.58 56.34 0.00 7.91 4.20
130 14.48 21.65 1.54 17.83 0.29
131 14.84 35.44 1.22 23.13 2.12
132 14.98 27.44 1.07 13.96 2.41
133 14.59 19.75 0.00 21.28 1.60
134 15.01 38.62 0.01 28.36 4.04
135 15.32 60.43 0.00 3.52 16.40
136 15.06 23.26 2.35 25.57 3.34
137 15.12 51.56 0.00 27.17 7.12
138 14.92 20.67 0.71 19.60 3.14
139 15.28 66.24 0.00 0.00 42.78
140 15.19 32.70 1.63 28.10 3.39
141 15.15 68.96 0.00 0.00 29.33
142 15.43 41.17 0.40 40.87 9.42
143 15.29 62.69 0.00 1.76 8.15
144 15.55 48.72 0.00 29.39 10.46
145 15.56 58.07 0.00 6.68 5.71
146 15.33 55.68 0.00 3.40 3.37
147 15.77 25.07 1.09 23.57 5.35
148 15.81 45.65 0.00 47.67 15.63
149 15.46 20.02 2.10 27.36 4.43
150 15.58 74.50 0.00 0.00 23.78
151 15.94 29.86 0.60 34.55 6.33
152 16.06 43.38 1.15 44.30 17.69
153 16.08 20.69 0.44 27.10 3.73
154 16.11 54.07 0.00 13.10 9.20
155 16.19 37.11 1.29 37.16 10.88
156 16.41 72.19 0.00 0.00 24.83
157 16.21 18.50 0.30 20.16 4.41
158 16.44 34.52 0.74 41.04 9.57
159 16.45 27.30 0.68 25.60 7.44
160 16.67 63.01 0.00 0.00 33.31
161 16.61 68.71 0.00 0.00 45.94
162 16.44 39.57 0.77 44.48 19.26
163 16.48 50.79 0.29 36.84 17.77
164 16.45 76.38 0.00 0.00 15.23
165 16.58 32.31 1.90 34.44 12.64
166 16.56 56.84 0.00 9.18 6.73
167 16.80 65.65 0.00 0.00 43.67
168 16.43 22.56 1.17 24.98 10.61
169 16.81 47.71 0.23 33.71 44.18
170 16.82 59.89 0.00 3.71 5.08
171 16.70 24.09 1.53 23.45 8.08
172 17.06 41.93 0.96 31.57 63.31
173 16.87 21.61 1.91 27.40 9.14
174 17.10 44.81 1.96 37.33 66.12
175 16.94 75.05 0.00 1.32 16.26
176 17.52 52.44 0.00 25.64 36.25
177 17.57 55.12 0.00 21.75 19.25
178 17.53 30.41 2.40 43.21 21.73
179 17.68 20.44 1.96 26.98 15.78
180 17.54 36.64 0.26 48.10 30.55
181 17.85 22.49 2.53 29.01 27.07
182 17.66 25.15 2.20 22.25 23.24
183 17.61 39.34 1.19 29.28 72.47
184 17.64 78.17 0.00 0.07 7.31
185 17.59 19.24 2.54 22.65 10.83
186 17.52 74.17 0.00 0.00 13.25
187 17.77 27.75 2.19 31.16 24.76
188 17.82 49.54 0.00 13.14 65.94
189 17.93 58.17 0.00 6.36 12.40
190 18.28 70.01 0.00 0.00 25.33
191 17.79 33.60 1.10 40.02 33.73
192 18.16 72.66 0.00 0.00 9.89
193 18.10 46.75 0.00 20.53 118.80
194 18.10 60.96 0.00 0.00 7.71
195 17.82 76.50 0.00 1.08 8.21
196 18.08 64.47 0.00 0.00 14.44
197 18.07 67.18 0.00 0.00 9.15
198 18.12 17.43 0.73 20.10 25.37
199 18.43 44.01 0.49 13.30 129.39
200 18.59 41.60 1.96 22.09 115.46
201 18.76 36.20 1.89 29.13 119.65
202 18.60 75.18 0.00 0.00 5.81
203 18.64 30.87 1.16 17.39 82.92
204 18.93 56.14 0.00 11.35 24.57
205 19.19 18.22 1.29 13.78 79.03
206 19.00 38.83 0.43 17.91 126.53
207 18.99 33.47 1.79 26.88 130.20
208 19.02 51.11 0.00 19.59 82.28
209 18.86 53.63 0.00 11.37 41.14
210 18.87 78.26 0.00 1.56 3.78
211 18.89 20.95 2.93 16.91 55.39
212 19.01 24.25 1.33 15.75 86.08
213 19.00 27.08 1.38 16.68 82.86
214 19.08 62.67 0.00 0.00 7.74
215 19.19 48.42 0.00 16.67 99.59
216 19.36 58.81 0.00 1.62 14.39
217 19.43 65.44 0.00 0.00 10.77
218 19.28 67.69 0.00 0.00 12.60
219 19.53 45.73 0.00 19.06 146.95
220 19.68 29.32 2.13 22.66 134.67
221 19.49 73.92 0.00 3.19 5.92
222 19.49 75.62 0.00 0.00 6.07
223 19.91 60.88 0.00 0.14 9.66
224 19.85 43.23 0.00 17.97 153.17
225 19.91 40.83 0.00 11.68 126.82
226 20.15 31.98 0.60 15.16 143.29
227 20.19 22.35 1.50 19.64 117.26
228 20.32 35.02 1.14 16.38 157.96
229 19.99 76.93 0.00 0.98 4.20
230 20.31 19.52 1.18 11.12 120.11
231 20.11 37.22 0.00 15.92 144.96
232 20.30 25.14 2.17 13.87 120.01
233 20.32 53.51 0.00 12.74 52.18
234 20.26 56.19 0.00 3.75 27.59
235 20.41 50.63 0.00 6.12 89.75
236 20.62 63.02 0.00 0.00 10.05
237 20.55 47.56 0.00 8.41 145.44
238 20.34 70.66 0.00 0.63 7.70
239 20.16 73.22 0.00 0.84 6.16
240 20.38 15.83 1.62 5.20 77.03
241 20.54 67.68 0.00 0.00 6.87
242 20.72 27.65 0.73 11.16 142.34
243 20.48 38.40 0.97 21.03 157.16
244 20.79 58.86 0.00 0.00 18.83
245 20.90 65.04 0.00 0.00 9.96
246 20.99 44.88 1.04 7.40 170.39
247 20.98 39.68 0.00 10.43 163.81
248 21.16 72.77 0.00 1.39 13.11
