#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk2 14A 4 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.008417 -0.008417 0.892336 0.892336 -16.083183 0.0
Kr  -0.002236 -0.007018 0.159919 0.752833 -2.250873 -8.81E-4
gt  -0.001463 -0.004656 0.139679 0.4719 -0.737551 4.01E-4
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.16 43.75 1.04 0.00 0.00
1 2.56 41.66 2.23 0.00 0.00
2 2.67 38.88 0.49 0.00 0.00
3 3.32 45.99 1.16 0.00 0.00
4 3.15 48.40 0.01 0.00 0.00
5 3.54 43.41 1.97 0.00 0.00
6 3.86 40.03 2.16 0.39 0.00
7 3.80 52.10 0.00 0.00 0.00
8 4.33 50.30 0.00 0.10 0.00
9 4.80 37.97 1.47 0.83 0.00
10 4.62 46.26 1.06 0.66 0.00
11 4.96 35.17 3.14 3.07 0.00
12 5.16 42.64 0.77 1.95 0.00
13 4.99 44.98 0.42 3.33 0.00
14 5.09 52.63 0.00 0.88 0.00
15 5.21 48.79 0.00 0.68 0.00
16 5.51 40.07 0.80 0.75 0.00
17 5.50 51.40 1.30 1.11 0.00
18 5.32 55.90 0.00 0.00 0.00
19 5.59 55.15 0.00 0.00 0.00
20 5.92 36.58 0.64 2.62 0.00
21 6.11 44.88 1.08 3.00 0.00
22 5.89 47.18 1.32 1.03 0.00
23 5.93 54.13 0.00 0.00 0.00
24 6.45 41.86 0.35 2.12 0.00
25 6.48 34.36 2.09 4.78 0.00
26 6.61 30.26 0.73 0.34 0.00
27 6.82 39.47 1.26 2.18 0.00
28 6.74 53.16 0.00 1.13 0.00
29 6.65 47.71 0.00 0.78 0.00
30 6.87 55.28 0.00 0.51 0.00
31 6.83 56.63 0.00 0.00 0.00
32 6.89 43.33 0.00 2.32 0.00
33 7.24 45.99 1.10 3.51 0.00
34 7.63 37.45 0.86 1.02 0.00
35 7.36 49.50 0.00 1.56 0.00
36 7.38 59.70 0.00 0.00 0.00
37 7.40 35.04 3.13 2.42 0.00
38 7.19 51.68 1.17 0.51 0.00
39 7.67 41.17 0.00 1.72 0.00
40 7.82 30.02 1.99 1.78 0.00
41 7.91 32.48 1.57 3.01 0.00
42 7.67 43.80 0.96 3.47 0.42
43 8.15 47.26 1.66 1.81 0.00
44 8.04 51.55 0.00 1.38 0.00
45 7.89 53.82 1.27 0.00 0.00
46 8.00 55.69 0.00 0.00 0.00
47 8.30 43.78 0.16 2.06 0.00
48 8.86 39.56 0.34 2.96 0.18
49 8.90 61.36 0.00 0.00 1.02
50 8.50 49.07 1.58 0.68 0.74
51 8.59 54.01 0.00 0.00 0.00
52 8.98 37.02 0.39 2.89 0.00
53 8.79 41.85 2.34 2.44 0.00
54 9.05 45.39 0.22 4.24 0.73
55 9.12 33.96 0.99 2.16 0.34
56 9.12 49.78 0.00 0.19 0.62
57 9.60 28.22 2.91 1.22 0.00
58 9.57 52.40 0.00 1.21 2.04
59 9.42 55.56 0.00 0.00 2.17
60 9.42 48.04 0.00 1.15 2.65
61 9.73 59.72 0.00 0.22 5.08
62 9.82 54.60 0.00 0.71 3.90
63 9.94 47.34 0.00 2.51 1.20
64 10.21 41.19 0.32 4.24 2.58
65 9.94 43.49 0.00 3.67 1.06
66 10.32 35.92 0.13 2.57 2.45
67 10.43 62.14 0.00 0.00 6.13
68 10.54 57.31 0.00 0.00 6.70
69 10.47 32.88 1.83 3.04 1.42
70 10.39 38.51 0.29 3.66 2.15
71 10.58 45.72 0.01 2.06 4.50
72 10.41 49.90 0.00 1.86 5.44
73 10.75 27.12 0.00 0.20 2.13
74 10.49 25.37 1.62 0.00 0.00
75 10.93 52.35 0.00 1.78 6.95
76 11.21 54.64 0.11 0.00 8.81
77 11.21 29.72 3.26 0.62 3.41
78 11.47 59.93 0.00 0.00 9.82
79 11.45 40.39 0.00 3.40 7.69
80 11.59 42.89 0.00 5.22 9.41
81 11.37 47.91 0.00 1.33 6.82
82 11.44 62.89 0.00 0.00 9.36
83 11.55 35.53 1.38 2.78 6.06
84 11.36 50.25 0.00 0.00 9.98
85 11.81 37.63 0.49 2.46 9.92
86 11.52 32.56 0.00 1.85 9.05
87 11.84 45.07 0.00 3.83 10.18
88 12.01 57.13 0.00 0.00 13.12
89 12.21 27.23 0.00 0.00 7.37
90 11.99 49.66 0.00 2.45 11.55
91 12.35 67.34 0.00 0.00 12.41
92 12.11 52.07 0.00 0.00 16.46
93 12.20 32.95 0.00 2.93 6.28
94 12.67 22.90 0.70 0.00 8.59
95 12.53 47.30 0.00 1.58 17.37
96 12.51 40.84 0.00 2.54 15.72
97 12.58 64.21 0.00 0.00 13.89
98 12.65 61.54 0.00 0.00 16.87
99 13.07 25.53 0.53 0.00 10.77
100 12.77 35.59 0.43 1.28 14.34
101 12.72 65.67 0.00 0.00 14.40
102 12.78 51.92 0.00 1.42 18.18
103 13.10 58.63 0.00 0.00 21.52
104 12.76 43.87 0.00 0.00 18.72
105 12.98 49.67 0.00 0.00 21.75
106 12.95 54.40 0.00 1.04 20.64
107 13.22 38.39 0.36 0.68 20.89
108 13.03 33.64 0.00 0.84 14.27
109 13.23 44.97 0.00 0.88 20.50
110 13.42 56.13 0.00 0.00 21.21
111 13.45 32.74 0.00 1.26 17.56
112 13.54 42.46 0.00 2.73 28.21
113 13.25 27.90 0.00 0.00 15.11
114 13.67 29.23 0.00 0.00 15.22
115 13.63 21.48 0.77 0.00 17.62
116 13.83 63.46 0.00 0.00 21.57
117 13.86 52.52 0.54 1.03 34.60
118 13.87 47.09 0.00 0.88 34.72
119 13.84 67.57 0.00 0.00 20.64
120 13.92 60.59 0.00 0.00 25.16
121 14.10 36.61 0.00 0.00 31.31
122 13.77 40.55 0.26 0.00 35.09
123 13.98 31.25 0.00 0.00 21.82
124 14.13 49.71 0.00 0.00 40.67
125 14.51 24.50 0.00 0.00 27.87
126 14.49 70.42 0.00 0.00 22.16
127 14.48 34.17 0.23 0.85 32.14
128 14.39 44.87 0.00 2.54 43.94
129 14.42 40.05 0.00 0.19 45.44
130 14.54 55.01 0.00 0.02 36.75
131 14.68 57.93 0.00 0.00 33.53
132 14.64 27.44 0.00 0.00 26.00
133 14.77 65.21 0.00 0.00 26.73
134 14.88 42.52 0.00 1.22 58.21
135 14.69 31.42 0.00 0.00 27.80
136 15.11 38.31 0.00 0.00 57.44
137 15.03 61.30 0.00 0.00 30.73
138 15.14 47.99 0.00 0.32 59.85
139 15.09 51.23 0.00 0.00 53.78
140 15.39 22.15 0.00 0.00 36.22
141 15.55 29.63 0.00 0.00 45.00
142 15.49 35.67 0.00 0.84 60.92
143 15.59 67.90 0.00 0.00 29.63
144 15.57 53.55 0.00 0.19 55.86
145 15.68 32.78 0.00 0.00 52.39
146 15.67 45.54 0.00 0.00 74.72
147 15.77 56.08 0.00 0.00 52.19
148 15.88 41.13 0.00 0.42 89.67
149 15.87 70.60 0.00 0.00 30.05
150 15.85 26.11 0.01 0.00 44.74
151 15.99 62.83 0.00 0.00 35.67
152 16.06 59.40 0.00 0.00 44.61
153 16.29 43.43 0.00 0.00 99.46
154 16.05 65.75 0.00 0.00 36.75
155 16.14 49.72 0.00 0.83 82.89
156 16.34 39.11 0.00 0.13 97.05
157 16.50 36.81 0.00 0.00 86.83
158 16.63 47.48 0.00 0.00 95.18
159 16.63 52.03 0.00 0.36 84.94
160 16.75 21.21 0.15 0.00 61.65
161 16.83 24.16 0.07 0.00 64.02
162 16.71 31.05 0.00 0.17 69.36
163 16.80 34.31 0.00 0.92 91.81
164 16.88 28.29 0.14 0.00 71.63
165 16.83 57.27 0.00 0.00 58.93
166 17.01 54.53 0.00 1.14 73.08
167 17.20 69.22 0.00 0.00 39.97
168 17.20 18.37 0.44 0.00 64.88
169 17.20 66.78 0.00 0.00 42.57
170 17.20 45.23 0.09 0.34 125.95
171 17.16 61.38 0.00 0.81 49.47
172 17.26 71.73 0.00 0.00 37.46
173 17.32 40.81 0.00 0.00 125.79
174 17.44 49.73 0.00 0.00 99.78
175 17.57 63.85 0.00 0.00 46.97
176 17.61 37.93 0.00 0.00 131.89
177 17.76 59.15 0.00 0.81 59.89
178 17.94 26.76 0.00 0.41 92.48
179 17.75 32.48 0.00 0.00 110.54
180 17.81 42.92 0.00 0.00 133.08
181 18.06 35.56 0.00 0.00 138.06
182 17.99 47.26 0.00 1.22 125.24
183 18.01 52.07 0.00 0.00 100.68
184 18.13 73.51 0.00 0.00 39.86
185 18.19 29.89 0.00 0.00 106.16
186 18.18 56.69 0.00 0.00 78.83
187 18.15 23.64 0.00 0.00 88.84
188 18.26 20.58 0.00 0.00 80.01
189 18.50 54.28 0.00 0.23 92.68
190 18.49 39.51 0.00 0.00 144.38
191 18.53 61.55 1.25 1.86 58.84
192 18.62 44.83 0.00 0.00 133.07
193 18.42 65.93 0.00 0.00 50.73
194 18.57 69.40 0.00 0.14 46.25
195 18.73 49.58 0.00 0.00 121.20
196 18.81 33.55 0.00 0.00 133.78
197 18.97 41.88 0.00 0.00 154.59
198 19.17 37.00 0.00 0.00 158.83
199 19.17 59.22 0.96 0.76 73.19
200 19.26 25.88 0.37 0.00 116.04
201 19.23 71.89 1.48 0.00 52.11
202 19.26 63.87 0.00 0.00 57.35
203 19.26 47.14 0.00 0.00 140.02
204 19.39 28.65 0.04 0.00 127.29
205 19.38 51.83 0.44 0.51 114.76
206 19.43 19.41 0.38 0.00 93.94
207 19.54 31.49 0.00 0.00 135.70
208 19.46 22.87 0.23 0.00 104.48
209 19.53 66.79 0.91 1.15 60.72
210 19.48 56.80 0.44 2.10 91.41
211 19.59 74.76 3.83 0.00 46.40
212 19.69 39.36 0.00 0.28 166.82
213 19.76 43.86 0.00 0.28 156.08
214 19.79 54.41 0.00 0.00 99.15
215 19.86 34.57 0.00 0.00 152.93
216 19.96 61.71 5.35 1.41 76.30
217 20.05 69.16 2.25 0.00 60.44
218 20.00 49.26 1.04 0.00 134.19
219 20.23 41.48 0.00 0.00 154.79
220 20.29 46.33 0.35 0.42 154.64
221 20.52 17.61 1.93 0.00 108.09
222 20.52 37.41 0.00 0.00 170.48
223 20.52 59.52 4.58 2.71 88.86
224 20.46 64.36 4.41 0.55 73.76
225 20.54 27.31 0.00 0.00 134.87
226 20.54 71.68 4.33 0.00 66.51
227 20.65 21.41 1.08 0.00 109.40
228 20.69 24.59 0.58 0.00 132.37
229 20.71 30.24 0.00 0.00 148.89
230 20.59 52.53 0.00 0.09 114.25
231 20.60 77.13 5.11 0.00 52.26
232 20.59 56.98 2.32 1.51 97.60
233 20.99 32.77 0.57 0.00 147.94
234 20.94 35.23 0.00 0.07 158.21
235 20.95 44.09 1.46 0.00 155.10
236 20.98 50.54 0.00 0.00 138.06
237 21.02 66.95 7.03 1.06 73.36
238 20.99 74.27 6.65 0.17 65.38
239 21.13 39.53 0.38 0.00 163.18
240 21.11 54.74 3.04 2.51 115.25
241 21.27 48.34 1.94 0.48 157.90
242 21.22 61.98 6.60 0.30 96.84
243 21.34 41.89 1.97 0.00 170.43
244 21.56 79.20 11.76 0.00 67.88
245 21.48 46.18 0.87 1.12 160.09
246 21.63 69.32 7.99 0.57 86.31
247 21.68 16.16 0.30 0.00 96.97
248 21.68 28.77 0.49 0.00 149.20
249 21.67 57.77 7.07 1.06 108.94
250 21.75 20.07 0.67 0.00 120.64
251 21.78 64.73 11.78 2.03 95.43
252 21.81 36.70 1.15 0.60 164.15
253 22.02 26.31 1.09 0.00 141.83
254 21.78 71.67 11.45 0.66 84.71
255 21.86 23.44 0.43 0.00 124.57
256 21.92 52.85 4.73 0.36 130.50
257 21.94 59.90 6.86 3.39 110.98
258 21.96 76.34 15.65 0.00 69.41
259 22.23 31.44 1.06 0.00 151.93
260 22.18 55.72 7.88 2.51 120.65
261 22.20 34.07 1.67 0.00 152.17
262 22.09 50.26 4.21 1.39 146.56
263 22.27 44.40 1.11 0.00 171.11
264 22.31 38.68 0.00 0.00 163.13
265 22.36 62.60 14.03 1.63 118.56
266 22.44 67.15 18.29 1.83 102.72
267 22.35 41.86 2.79 0.48 165.66
268 22.55 73.31 21.06 0.40 88.29
269 22.52 47.09 3.74 1.36 174.58
270 22.65 80.58 17.25 0.00 59.96
271 22.70 18.40 2.10 0.00 116.68
272 22.74 13.93 3.54 0.00 88.32
273 22.94 21.57 1.19 0.00 131.79
274 22.87 29.04 3.43 0.00 152.61
275 23.05 58.22 18.49 2.56 143.53
276 22.95 70.20 22.56 0.94 95.71
277 22.98 53.93 11.66 0.50 149.20
278 23.04 24.42 1.14 0.00 142.82
279 23.03 36.54 2.81 0.00 154.66
280 23.06 49.33 8.71 1.77 168.24
281 23.10 51.63 10.09 0.00 155.91
282 23.16 40.08 0.00 0.00 161.48
283 23.09 60.61 16.84 1.97 129.91
284 23.20 65.05 24.97 4.68 132.75
285 23.17 75.52 32.04 1.03 99.26
286 23.24 78.38 33.61 0.47 86.06
287 23.50 26.99 1.81 0.00 147.46
288 23.38 55.94 15.12 0.66 142.38
289 23.40 33.93 1.43 0.00 145.34
290 23.37 45.10 5.12 0.44 179.58
291 23.56 16.57 4.78 0.00 109.06
292 23.43 42.47 2.54 0.00 169.40
293 23.54 31.42 2.62 0.00 152.12
294 23.65 62.70 32.35 2.93 143.62
295 23.67 67.56 37.98 2.62 114.99
296 23.69 47.74 9.23 0.00 169.28
297 23.87 72.82 40.92 1.85 110.88
298 24.00 38.64 5.03 0.00 156.43
299 24.02 19.64 3.43 0.00 123.14
300 24.02 53.16 20.48 0.00 166.59
301 24.24 22.31 5.96 0.00 132.56
302 24.13 36.13 5.56 0.23 156.74
303 24.39 80.36 49.82 1.72 88.13
304 24.26 29.13 3.36 0.00 146.59
305 24.23 50.58 20.34 0.59 176.27
306 24.23 60.18 41.96 2.35 155.89
307 24.21 70.16 50.76 3.80 126.45
308 24.25 24.88 4.79 0.00 144.93
309 24.31 57.69 34.23 2.23 161.67
310 24.37 43.76 7.52 0.00 176.64
311 24.36 83.11 37.77 0.84 62.11
312 24.43 75.56 43.20 1.43 107.87
313 24.59 15.04 7.98 0.00 105.46
314 24.42 41.29 6.50 0.00 173.28
315 24.47 46.46 11.97 0.00 175.49
316 24.44 64.56 52.14 4.56 156.35
317 24.58 33.31 6.66 0.00 150.11
318 24.58 55.28 33.04 3.27 173.78
319 24.88 31.09 6.77 0.00 151.52
320 24.88 48.74 25.86 1.22 185.32
321 24.91 26.93 5.68 0.00 144.51
322 24.82 67.01 64.94 3.03 150.44
323 24.86 18.56 7.95 0.00 114.39
324 24.98 62.20 68.62 4.57 173.38
325 25.07 12.54 12.63 0.71 97.82
326 25.23 77.87 60.18 2.03 112.91
327 25.11 37.78 9.48 0.45 157.45
328 25.04 53.05 40.85 2.08 196.20
329 25.08 17.23 7.44 0.00 114.39
330 25.15 72.45 72.69 2.53 138.12
331 25.22 35.21 7.85 0.00 154.91
332 25.30 40.21 11.01 0.18 165.77
333 25.27 45.00 17.12 0.00 183.83
334 25.36 24.11 7.69 0.00 132.51
335 25.31 59.45 78.64 5.21 177.33
336 25.34 69.49 75.41 3.81 156.34
337 25.53 21.27 11.66 0.00 124.75
338 25.46 56.93 67.68 3.35 175.27
339 25.50 50.70 44.84 2.07 185.15
340 25.66 42.77 21.27 0.00 180.15
341 25.65 64.68 93.43 4.40 174.24
342 25.69 82.28 52.25 2.86 87.06
343 25.73 28.65 14.07 0.00 152.50
344 25.76 47.06 33.59 0.83 188.14
345 25.74 74.86 73.82 3.36 131.21
346 25.91 33.10 14.37 0.00 157.16
347 26.07 54.95 88.59 2.65 195.17
348 26.09 15.33 21.11 0.00 108.87
349 26.13 30.66 14.89 0.33 160.04
350 26.07 67.13 96.44 6.69 172.41
351 26.04 18.71 20.60 0.00 131.57
352 26.07 52.66 65.70 1.36 192.88
