#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca2 14A 5 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.013442 -0.013442 1.318395 1.318395 -22.092651 0.0
Kr  -0.010589 -0.015497 1.254163 1.583474 -37.549193 -0.001642
gt  -0.00502 -0.008278 0.374389 0.544498 -1.536574 0.004326
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.99 46.56 0.00 3.03 0.00
1 2.65 45.32 0.00 4.37 0.00
2 2.84 47.96 0.00 3.58 0.00
3 4.10 46.28 0.00 3.56 0.00
4 3.80 54.34 0.00 3.77 0.00
5 3.99 52.89 0.00 4.22 0.00
6 4.31 42.15 0.10 3.67 0.00
7 4.48 39.37 0.00 8.83 0.00
8 4.47 48.43 0.00 3.95 0.00
9 4.92 53.79 0.00 3.52 0.00
10 5.09 54.93 2.15 4.25 0.00
11 5.30 39.32 0.62 5.06 0.00
12 5.62 46.79 0.00 3.91 0.00
13 5.44 48.95 0.00 2.34 0.00
14 5.49 57.04 0.42 3.25 0.00
15 6.31 40.44 0.26 6.30 0.00
16 5.72 54.39 1.18 3.07 0.00
17 5.86 49.96 0.68 4.30 0.00
18 6.08 52.78 0.00 2.63 0.00
19 6.23 36.62 0.00 6.42 0.00
20 6.17 38.39 0.11 7.46 0.00
21 6.06 39.64 1.02 7.23 0.00
22 6.32 55.17 0.00 1.89 0.00
23 6.55 56.64 0.00 1.43 0.00
24 6.67 45.26 0.00 3.85 0.00
25 6.57 50.20 1.64 3.02 0.00
26 6.64 48.70 1.02 4.50 0.00
27 6.95 35.33 0.00 8.63 0.00
28 6.77 51.85 1.69 0.51 0.00
29 6.95 33.78 0.72 8.61 0.00
30 6.99 42.89 0.64 3.97 0.00
31 6.79 46.78 0.00 1.03 0.00
32 7.06 53.56 0.00 2.52 0.00
33 7.01 57.57 0.00 0.00 0.00
34 7.42 47.90 1.81 3.00 0.00
35 7.41 41.69 0.70 4.14 0.00
36 7.57 58.47 0.00 0.56 0.00
37 8.04 55.66 0.00 1.14 0.00
38 8.16 37.15 1.90 5.41 0.00
39 7.57 51.69 1.02 2.87 0.00
40 7.69 32.70 0.00 9.59 0.00
41 7.84 45.98 2.47 3.99 0.00
42 8.24 43.86 0.69 4.12 0.00
43 8.10 52.99 0.00 0.90 0.00
44 8.38 60.12 0.00 0.00 0.00
45 9.02 42.36 1.18 3.97 0.00
46 9.02 32.86 1.13 6.36 0.00
47 8.92 46.32 0.65 4.48 0.00
48 9.17 57.29 0.00 0.77 0.00
49 9.06 48.36 2.40 2.31 0.00
50 9.14 38.76 2.81 4.55 0.00
51 9.41 53.09 0.52 0.78 0.00
52 9.24 60.54 0.00 0.00 0.09
53 9.40 30.97 0.67 5.43 0.00
54 9.38 54.74 1.22 2.02 0.00
55 10.03 36.92 1.45 6.18 0.00
56 9.60 48.49 0.84 4.29 0.00
57 9.93 50.12 0.00 0.95 0.00
58 9.79 42.90 0.00 4.55 0.00
59 9.88 45.62 0.04 2.17 0.00
60 10.08 59.56 1.53 0.88 0.10
61 10.43 41.32 1.14 3.66 0.00
62 10.22 47.99 0.30 3.46 0.00
63 10.04 55.44 0.00 0.00 0.46
64 10.20 43.91 0.00 3.54 0.00
65 10.30 34.15 0.00 5.17 0.00
66 10.46 29.15 0.00 7.01 0.00
67 10.39 31.92 1.02 7.60 0.00
68 10.19 57.09 0.00 0.14 0.30
69 10.80 51.94 0.71 0.11 0.00
70 10.73 53.90 0.58 0.00 0.00
71 11.34 38.61 2.26 4.04 0.00
72 10.72 56.51 0.00 0.00 0.18
73 10.83 64.92 0.00 0.00 2.62
74 10.64 44.59 0.00 0.80 0.00
75 10.94 30.79 1.08 4.20 0.00
76 10.87 59.41 0.00 0.00 0.90
77 11.18 63.31 0.00 0.00 2.12
78 11.45 43.26 1.59 2.67 0.00
79 11.05 48.04 0.15 2.73 0.00
80 11.46 49.76 1.22 1.98 0.00
81 11.39 57.30 0.00 0.00 0.98
82 11.42 61.35 0.00 0.00 1.63
83 11.54 66.23 0.00 0.00 4.87
84 11.72 36.15 1.50 3.91 0.00
85 11.50 54.71 1.11 0.00 0.42
86 11.71 27.80 1.60 4.92 0.00
87 11.97 31.24 1.65 3.75 0.00
88 12.07 58.72 0.08 0.10 2.58
89 11.63 64.63 0.00 0.00 3.07
90 12.00 47.47 0.04 1.77 0.00
91 12.11 52.64 1.73 1.02 0.96
92 12.07 45.43 1.82 4.13 0.00
93 11.83 55.89 3.59 0.00 2.77
94 12.50 63.16 0.52 0.00 3.94
95 12.36 40.44 2.30 2.19 0.00
96 12.12 26.71 0.94 4.13 0.00
97 12.34 51.20 1.33 3.44 2.02
98 13.05 54.18 0.78 1.24 4.47
99 12.75 48.57 1.01 0.90 1.63
100 12.42 37.77 0.03 2.22 0.00
101 12.72 56.57 0.36 0.00 2.96
102 12.43 61.08 0.00 0.00 3.58
103 13.01 34.42 2.96 2.96 0.00
104 12.60 50.07 1.63 1.28 2.26
105 12.69 36.54 0.00 0.00 0.00
106 12.97 38.53 1.29 2.28 0.00
107 12.96 45.66 0.00 1.09 1.02
108 12.88 27.42 0.00 3.27 0.90
109 13.07 60.25 0.36 0.00 2.74
110 13.21 29.71 1.23 3.90 0.23
111 13.14 42.60 0.23 1.09 1.48
112 13.29 61.94 0.00 0.00 4.98
113 13.49 26.87 0.16 3.66 0.68
114 13.45 67.00 0.00 0.00 4.82
115 13.58 52.09 0.00 1.77 10.58
116 13.77 49.66 0.38 1.26 9.47
117 13.43 37.31 2.08 2.98 2.88
118 13.61 46.81 1.74 1.34 4.44
119 13.70 39.58 2.35 1.56 4.83
120 13.77 57.75 0.61 0.00 5.75
121 13.76 32.63 3.38 2.37 0.63
122 13.76 64.08 0.00 0.00 5.63
123 13.78 43.87 1.09 2.60 4.08
124 13.93 25.38 0.24 2.29 0.00
125 14.17 55.63 1.24 0.00 12.24
126 14.19 59.68 0.91 0.00 11.50
127 14.12 36.95 2.28 4.23 5.66
128 14.31 41.55 0.62 3.09 9.43
129 14.00 65.43 0.00 0.00 7.79
130 14.23 28.58 0.00 2.08 6.21
131 14.15 61.40 0.00 0.00 6.95
132 14.40 47.80 0.00 0.98 16.78
133 14.45 38.99 0.87 1.43 13.41
134 14.76 34.33 0.84 3.21 11.52
135 14.56 45.59 1.78 3.88 14.65
136 14.56 53.62 0.00 0.18 20.56
137 14.42 66.86 0.00 0.00 9.54
138 14.33 44.21 4.76 0.00 3.53
139 14.90 51.35 0.00 0.00 30.66
140 14.91 26.82 0.00 3.29 12.00
141 14.79 70.87 0.00 0.00 9.33
142 14.65 31.52 0.00 2.11 10.50
143 15.02 24.42 0.00 2.97 13.55
144 14.99 43.17 0.00 1.47 19.58
145 14.77 65.31 0.00 0.00 7.70
146 14.76 29.59 0.00 3.43 8.16
147 15.10 57.73 0.00 0.00 20.69
148 15.35 49.27 0.00 0.00 37.21
149 15.26 36.84 0.27 1.40 21.48
150 15.02 59.82 0.00 0.00 10.27
151 15.09 63.77 0.00 0.00 11.19
152 15.53 67.54 0.00 0.00 10.86
153 15.23 32.09 3.74 1.27 12.59
154 15.50 39.89 0.00 0.87 32.08
155 15.56 55.67 0.00 0.00 30.83
156 15.55 61.55 0.00 0.00 17.32
157 15.67 46.93 0.00 2.10 39.79
158 15.89 29.89 0.00 1.96 24.33
159 15.54 69.29 0.00 0.00 6.02
160 15.91 44.69 0.00 0.46 40.35
161 15.71 53.37 0.00 0.00 42.66
162 16.24 42.00 0.00 0.78 48.86
163 16.19 59.23 0.00 0.00 23.35
164 16.17 32.74 0.29 1.46 31.38
165 16.25 65.58 0.13 0.00 14.82
166 16.29 27.27 0.00 2.91 30.50
167 16.29 63.22 0.00 0.00 18.00
168 16.37 37.88 0.00 1.64 47.95
169 16.19 71.12 0.00 0.00 12.52
170 16.50 35.40 0.46 2.57 48.97
171 16.44 23.96 0.00 4.01 31.74
172 16.60 50.54 0.00 0.00 72.80
173 16.76 57.10 0.16 0.00 41.49
174 16.87 48.23 0.00 0.00 65.23
175 16.72 68.41 0.00 0.00 14.74
176 16.90 52.58 0.00 0.00 76.04
177 16.99 54.88 0.00 0.00 56.30
178 17.15 40.04 1.17 0.87 75.38
179 17.22 46.02 0.00 0.14 82.58
180 17.14 60.75 0.00 0.00 23.84
181 17.26 22.10 0.28 3.77 47.47
182 17.29 43.58 0.07 0.29 72.95
183 17.50 33.36 0.00 2.08 66.00
184 17.40 71.23 0.00 0.00 16.19
185 17.52 30.32 0.00 1.29 50.19
186 17.62 66.08 0.00 0.00 20.80
187 17.71 27.65 0.00 2.46 57.18
188 17.63 62.94 0.00 0.00 24.76
189 17.78 37.90 0.00 0.69 78.83
190 17.90 58.69 0.00 0.00 43.58
191 18.00 24.90 0.00 2.55 56.97
192 18.09 35.65 0.06 1.26 90.67
193 18.02 73.72 0.00 0.00 18.22
194 18.07 49.41 0.00 0.00 103.12
195 18.15 51.75 0.00 0.00 93.31
196 18.22 41.82 0.00 0.65 103.87
197 18.19 56.44 0.28 0.00 58.00
198 18.31 53.80 0.09 0.00 80.97
199 18.51 69.42 1.25 0.00 20.45
200 18.49 46.83 0.00 0.00 100.38
201 18.69 20.88 0.00 3.94 68.12
202 18.66 31.98 0.00 1.22 87.75
203 18.57 44.37 0.39 0.95 106.72
204 18.61 60.77 0.00 0.00 35.43
205 18.89 39.71 0.00 0.29 103.46
206 18.73 66.97 0.00 0.00 20.36
207 18.72 63.90 0.00 0.00 25.40
208 19.02 71.73 0.41 0.00 21.89
209 19.17 27.00 0.00 2.69 77.46
210 19.24 23.52 0.00 2.31 74.62
211 19.32 29.75 0.00 1.26 90.90
212 19.33 34.51 0.00 1.02 106.21
213 19.29 37.34 0.00 0.45 112.05
214 19.30 50.65 0.00 0.00 114.39
215 19.27 55.18 0.00 0.00 73.96
216 19.32 57.90 0.00 0.00 50.74
217 19.34 48.42 0.00 0.00 120.67
218 19.55 74.26 0.00 0.00 20.91
219 19.67 41.85 1.50 0.04 119.31
220 19.82 53.18 0.00 0.00 91.88
221 19.81 44.22 0.97 0.00 118.30
222 19.82 62.38 0.00 0.00 38.29
223 19.93 46.53 0.00 0.00 125.32
224 19.78 65.00 0.47 0.00 27.96
225 19.98 18.99 0.00 3.74 70.04
226 19.87 60.01 0.00 0.00 46.32
227 19.95 67.83 1.02 0.00 27.46
228 20.14 32.29 0.00 0.24 111.85
229 20.09 70.31 0.31 0.00 26.17
230 20.36 21.84 0.33 2.94 80.51
231 20.35 39.75 0.18 0.38 113.88
232 20.29 56.02 0.00 0.00 70.22
233 20.51 25.17 0.37 2.65 86.15
234 20.57 27.96 1.25 1.44 110.19
235 20.43 51.10 0.00 0.00 116.29
236 20.56 36.96 0.34 0.68 120.73
237 20.75 75.83 2.61 0.00 27.12
238 20.68 48.58 0.54 0.00 118.89
239 20.75 34.69 0.43 0.00 127.80
240 20.83 58.72 0.00 0.00 56.97
241 20.82 72.97 2.74 0.00 29.06
242 20.88 42.92 0.00 0.00 124.28
243 21.05 30.44 0.00 0.79 109.02
244 21.02 65.84 1.50 0.00 36.41
245 21.06 45.60 0.00 0.00 124.36
246 21.01 61.33 0.00 0.00 53.11
247 21.08 63.65 0.13 0.00 44.11
248 21.19 52.66 0.00 0.00 95.17
249 21.42 54.61 0.00 0.00 82.92
250 21.31 56.86 0.00 0.00 69.58
251 21.29 70.62 2.47 0.00 35.68
252 21.37 67.94 1.19 0.00 35.28
253 21.44 38.33 2.66 0.00 118.53
254 21.63 20.50 0.00 3.03 79.03
255 21.72 23.50 0.00 3.05 90.73
256 21.63 50.37 0.00 0.00 122.45
257 21.81 33.09 0.00 0.00 123.85
258 21.72 40.46 1.25 0.00 125.86
259 22.07 25.97 0.00 0.91 108.29
260 22.00 35.88 0.49 0.93 130.31
261 21.89 47.84 0.00 0.00 102.88
262 22.11 28.23 0.00 0.39 105.09
263 22.02 74.77 4.89 0.00 37.36
264 22.02 77.65 2.50 0.00 29.72
265 21.89 79.38 0.00 0.00 26.70
266 22.11 18.29 0.00 3.65 74.73
267 22.04 60.31 0.17 0.00 65.38
268 22.01 42.61 0.00 0.00 124.12
269 22.19 45.03 0.00 0.00 122.65
270 22.27 58.17 0.05 0.00 74.38
271 22.25 62.85 0.00 0.00 55.98
272 22.39 30.52 0.00 0.14 111.11
273 22.36 65.44 1.94 0.00 44.38
274 22.36 71.95 7.90 0.00 46.57
275 22.39 52.37 0.00 0.00 90.35
276 22.54 56.06 0.00 0.00 90.61
277 22.39 68.80 5.48 0.00 47.56
278 22.65 38.41 0.00 0.00 124.41
279 22.81 50.25 0.00 0.00 108.39
280 22.98 22.43 0.82 1.86 89.83
281 22.97 54.09 1.05 0.00 93.36
282 23.01 46.63 0.66 0.00 119.37
283 23.11 32.43 0.48 0.00 117.14
284 23.15 41.02 0.00 0.00 128.11
285 23.03 43.32 1.25 0.00 118.50
286 23.11 79.47 6.31 0.00 38.99
287 23.29 34.66 0.30 0.00 124.99
288 23.13 15.98 0.00 3.53 68.11
289 23.20 48.51 0.70 0.00 110.42
290 23.11 59.58 5.26 0.00 70.28
291 23.47 36.72 0.40 0.00 131.65
292 23.28 61.85 4.52 0.00 66.10
293 23.47 25.09 1.08 0.43 95.62
294 23.34 67.03 12.39 0.00 58.74
295 23.34 73.76 18.30 0.00 51.30
296 23.37 18.98 0.03 1.91 75.19
297 23.33 70.16 16.66 0.00 59.04
298 23.43 27.79 2.36 0.61 109.66
299 23.64 76.94 17.96 0.00 51.14
300 23.56 64.02 10.59 0.00 60.72
301 23.69 57.71 5.05 0.00 91.71
302 23.68 52.15 0.00 0.00 98.40
303 23.75 30.32 0.51 0.01 105.97
304 23.78 44.97 0.00 0.00 113.30
305 23.88 39.03 2.02 0.00 119.50
306 23.87 55.55 4.63 0.00 102.06
307 24.06 21.28 0.67 1.33 85.97
308 24.11 50.13 2.35 0.00 106.30
309 24.21 60.17 9.73 0.00 91.86
310 24.34 43.05 0.00 0.00 111.10
311 24.28 47.57 0.00 0.00 111.22
312 24.40 32.81 0.69 0.00 113.58
313 24.37 65.39 37.95 0.00 83.24
314 24.46 70.79 40.47 0.00 74.79
315 24.38 16.82 0.27 3.20 72.66
316 24.47 40.81 0.55 0.00 114.49
317 24.48 53.75 3.30 0.00 108.63
318 24.51 62.20 26.65 0.00 89.50
319 24.51 68.03 45.77 0.00 74.18
320 24.66 80.21 21.40 0.32 52.24
321 24.85 23.58 2.68 1.21 89.32
322 24.61 27.96 0.00 0.17 98.42
323 24.75 35.13 2.13 0.00 115.97
324 24.81 37.32 0.70 0.00 116.64
325 24.95 25.88 0.68 0.00 91.97
326 24.72 19.02 1.73 1.85 76.20
327 24.82 45.53 3.73 0.00 114.46
328 25.03 75.25 51.82 0.00 74.22
329 24.86 56.88 17.31 0.00 112.57
330 24.91 30.32 2.34 0.00 112.91
331 25.12 77.93 47.70 0.00 81.06
332 25.10 51.56 7.18 0.00 121.99
333 25.02 58.95 22.00 0.00 114.36
334 25.16 49.34 3.68 0.00 117.35
335 25.00 73.02 52.51 0.00 65.14
336 25.28 14.40 5.27 3.65 63.41
337 25.13 20.02 3.28 0.76 74.83
338 25.38 39.18 2.79 0.00 121.73
339 25.46 63.36 82.64 0.00 113.94
340 25.52 55.38 18.31 0.00 125.07
341 25.43 41.83 1.80 0.00 111.20
342 25.41 47.12 3.85 0.00 127.21
343 25.55 66.04 100.12 0.00 96.19
344 25.56 33.26 3.24 0.00 116.93
345 25.67 43.98 3.29 0.00 120.44
346 25.69 60.88 68.87 0.00 136.93
347 25.65 53.41 14.34 0.00 119.84
348 25.60 17.07 6.74 2.24 79.96
349 25.78 21.80 5.76 0.42 89.06
350 25.74 68.59 115.62 0.00 104.80
351 25.84 71.02 102.90 0.00 100.55
352 25.88 31.15 2.97 0.00 108.25
