#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.18 44.06 15.71 14.12 7.75
1 2.60 46.58 14.56 13.29 7.17
2 2.54 42.87 16.10 12.65 7.73
3 3.04 51.61 12.17 14.75 8.08
4 3.15 47.83 15.79 16.00 8.46
5 3.24 49.36 16.81 14.02 7.81
6 3.23 43.74 16.81 12.76 10.43
7 3.73 42.39 17.80 14.42 10.69
8 3.59 44.96 16.93 15.30 9.64
9 3.46 38.90 16.82 14.73 8.64
10 3.69 37.93 17.66 13.94 7.47
11 3.98 52.32 15.61 12.69 7.94
12 3.97 40.13 16.20 15.04 9.09
13 3.88 46.81 18.54 13.00 8.77
14 4.35 47.21 17.98 14.23 8.94
15 4.18 49.14 16.55 12.34 8.30
16 4.37 38.70 19.36 14.71 9.22
17 4.50 43.61 20.22 14.10 11.22
18 4.69 36.00 17.82 14.51 8.90
19 4.95 41.38 18.15 17.32 10.74
20 4.93 44.75 16.45 15.86 9.45
21 4.80 55.56 14.86 14.66 7.38
22 5.08 51.31 17.54 15.70 8.97
23 5.19 50.01 18.56 15.00 9.74
24 5.05 47.39 18.93 17.47 10.13
25 5.52 48.64 19.07 16.58 9.91
26 5.35 36.93 20.06 13.56 9.33
27 5.45 46.07 19.02 14.39 10.70
28 5.76 43.48 20.14 15.54 10.91
29 6.13 55.86 16.12 14.43 9.04
30 6.03 40.37 18.90 18.03 9.62
31 5.92 36.55 18.18 16.08 9.00
32 6.21 50.46 19.20 14.30 10.64
33 6.21 46.12 18.67 14.43 10.61
34 6.23 57.55 14.32 13.47 8.82
35 6.42 53.38 17.20 16.06 11.02
36 6.56 42.67 20.00 17.02 10.49
37 6.40 41.40 18.20 19.20 11.60
38 6.93 35.73 19.88 16.99 10.03
39 7.33 48.17 18.37 16.82 10.52
40 7.08 44.30 19.89 16.52 10.67
41 7.16 38.60 18.71 19.10 9.71
42 7.21 46.34 19.83 17.11 10.17
43 7.14 52.95 19.19 14.90 10.79
44 7.28 40.60 19.96 17.73 12.12
45 7.33 33.41 17.72 14.68 9.13
46 7.61 50.87 18.97 16.58 10.86
47 7.79 59.93 15.57 13.51 10.04
48 7.67 45.49 18.86 19.64 11.29
49 7.97 34.95 19.00 14.59 9.90
50 8.18 56.96 18.28 14.15 10.57
51 7.93 44.40 20.32 16.77 11.03
52 7.93 46.62 18.89 17.61 11.39
53 8.36 32.40 19.48 13.62 9.52
54 8.28 55.23 18.12 15.10 10.54
55 8.58 33.82 18.85 15.63 10.00
56 8.77 46.92 19.29 18.78 11.92
57 8.90 58.28 18.19 15.20 12.85
58 8.75 41.82 20.83 17.83 11.42
59 8.60 59.71 16.77 13.62 12.62
60 8.94 44.17 20.40 19.02 11.65
61 8.92 51.25 18.71 17.04 11.96
62 9.18 29.59 16.70 11.91 9.37
63 8.99 31.78 17.42 13.46 8.46
64 9.35 47.95 21.25 17.56 12.21
65 9.21 50.03 20.54 15.87 11.74
66 9.25 62.13 15.67 14.18 10.03
67 9.40 54.72 20.17 16.61 12.63
68 9.40 34.83 21.29 15.05 11.51
69 9.56 39.72 19.68 18.53 11.81
70 9.37 32.99 17.25 12.67 10.83
71 9.46 42.04 21.62 17.08 11.27
72 9.91 52.81 19.29 17.20 14.01
73 9.74 32.09 17.29 14.17 10.66
74 9.66 51.48 19.00 17.75 12.08
75 9.85 58.21 18.78 15.25 14.77
76 9.81 28.53 17.11 12.60 9.77
77 10.14 63.41 16.59 13.52 14.63
78 10.07 47.86 20.17 15.62 13.08
79 9.98 26.71 15.04 10.92 10.04
80 10.15 60.51 18.08 15.39 14.86
81 10.30 36.46 19.94 16.53 12.60
82 10.19 30.54 19.73 13.84 11.29
83 10.38 50.69 18.59 18.07 13.69
84 10.77 54.85 21.25 16.43 15.08
85 10.35 56.73 20.00 14.98 15.25
86 10.59 37.67 19.26 19.34 12.71
87 10.58 27.63 16.77 12.09 10.04
88 10.62 31.78 16.97 13.24 11.82
89 10.79 40.19 20.53 19.34 12.96
90 10.57 61.74 19.67 14.93 16.33
91 10.66 33.50 18.05 15.12 11.85
92 10.84 43.63 21.54 18.51 13.60
93 10.67 58.62 20.41 15.37 15.44
94 10.78 29.83 20.00 12.23 11.15
95 10.96 45.26 21.80 17.70 13.62
96 11.09 48.10 20.54 18.42 14.68
97 11.38 52.65 20.83 18.69 15.93
98 11.13 50.29 21.49 16.46 15.63
99 11.39 57.23 19.00 16.28 17.76
100 11.32 60.40 20.70 16.38 19.28
101 11.13 34.50 20.32 14.71 12.93
102 11.22 42.23 21.30 18.74 14.39
103 11.45 66.14 17.27 14.03 18.30
104 11.34 62.92 18.64 13.57 17.70
105 11.48 25.51 16.00 11.09 9.98
106 11.49 37.19 19.76 17.77 14.05
107 11.55 59.02 20.16 16.72 21.23
108 11.34 32.69 19.86 15.10 11.00
109 11.93 45.93 20.68 19.28 15.15
110 11.80 34.86 19.48 16.30 12.07
111 12.06 42.67 21.73 17.00 15.84
112 12.02 56.27 20.98 17.04 19.47
113 12.01 33.37 20.02 14.45 13.45
114 12.04 49.90 21.35 17.85 17.40
115 12.19 54.22 21.00 18.34 20.45
116 12.31 26.98 16.84 10.98 13.12
117 12.26 61.74 20.24 15.52 21.43
118 12.14 38.51 19.68 18.26 14.63
119 12.62 64.37 19.90 15.12 27.69
120 12.52 39.47 19.52 20.00 15.32
121 12.85 36.62 17.91 18.01 15.33
122 12.69 58.82 20.01 16.73 26.11
123 12.56 41.17 22.13 18.68 14.87
124 12.63 47.73 21.90 19.24 19.14
125 12.77 67.79 18.40 13.24 27.17
126 12.78 32.57 21.11 13.66 14.51
127 12.73 38.07 20.80 16.23 13.80
128 12.99 51.55 21.18 19.48 21.66
129 13.12 56.10 21.13 18.05 26.25
130 13.09 30.68 19.47 13.65 13.65
131 12.93 26.40 17.07 10.07 14.93
132 13.45 46.49 21.64 19.51 22.85
133 13.45 25.13 17.55 11.67 14.58
134 13.18 44.21 22.63 17.37 17.71
135 13.70 28.41 18.75 13.94 17.74
136 13.62 60.66 19.37 15.79 33.47
137 13.35 40.53 22.22 17.79 17.60
138 13.86 35.77 20.78 17.04 18.24
139 13.62 49.23 21.22 19.82 24.34
140 13.72 53.89 22.17 18.02 29.29
141 13.62 22.14 15.35 10.55 12.90
142 13.78 63.63 20.35 15.96 36.55
143 13.92 69.39 17.40 12.99 31.90
144 13.98 33.01 19.82 16.51 19.19
145 14.11 57.61 21.02 16.80 32.91
146 14.19 66.57 19.84 14.39 35.45
147 14.03 44.78 20.62 19.21 25.00
148 14.16 30.65 17.92 15.64 21.35
149 14.43 51.63 23.02 19.16 34.20
150 14.33 26.51 17.76 12.57 21.47
151 14.23 38.80 21.37 19.78 20.00
152 14.39 41.05 20.37 18.51 24.48
153 14.93 55.10 22.19 18.94 42.61
154 14.90 21.72 15.64 10.47 22.05
155 14.53 44.11 22.41 19.68 26.77
156 15.07 46.06 21.43 19.93 33.66
157 14.87 62.13 20.72 16.68 45.28
158 14.86 48.82 21.67 19.45 36.32
159 15.09 36.94 19.36 18.55 26.60
160 15.16 43.18 22.91 19.17 32.30
161 15.21 58.62 21.43 17.77 46.51
162 15.01 24.29 15.38 11.27 25.76
163 15.21 39.28 21.80 18.21 28.31
164 15.26 34.60 19.55 16.79 25.61
165 15.31 69.64 20.06 12.96 37.92
