#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm9 14A 2 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 2.32 47.07 1.63 31.64 81.59
1 2.89 52.04 1.33 34.93 85.94
2 3.03 49.31 2.35 27.84 88.51
3 3.19 43.16 2.04 20.76 94.55
4 3.52 45.49 2.13 24.42 96.77
5 4.16 47.65 3.44 25.25 107.53
6 4.20 52.60 1.36 30.96 108.58
7 4.35 50.33 2.85 30.72 109.36
8 4.48 43.01 0.00 15.17 99.67
9 4.96 54.44 1.56 36.43 122.08
10 5.21 45.83 1.08 16.92 97.72
11 4.99 56.74 0.00 34.91 118.84
12 5.40 40.82 0.00 9.04 107.23
13 5.52 48.59 0.99 22.06 120.68
14 5.63 51.53 1.17 26.93 115.52
15 5.80 43.60 0.45 12.76 119.61
16 6.16 56.16 0.04 34.16 142.36
17 6.39 37.10 0.00 2.34 100.38
18 6.37 54.11 2.13 30.39 146.48
19 6.53 60.44 0.00 27.86 127.59
20 6.69 39.32 0.00 4.43 116.94
21 6.75 49.76 0.00 17.91 143.76
22 6.83 47.23 0.22 12.48 124.24
23 6.79 41.82 0.79 6.40 127.13
24 6.92 57.86 0.00 30.97 158.02
25 7.00 44.73 0.00 9.55 130.43
26 7.07 52.21 0.00 25.37 141.16
27 7.35 35.69 0.00 0.68 107.76
28 7.71 55.33 0.00 24.23 146.70
29 7.70 59.58 0.01 25.79 154.20
30 7.72 62.25 0.00 21.99 113.53
31 7.94 33.80 0.00 0.00 104.40
32 8.02 42.81 0.00 4.36 146.98
33 8.16 39.80 0.00 1.76 121.76
34 8.25 37.14 0.00 0.00 124.82
35 8.15 46.17 0.37 5.30 149.91
36 8.13 48.96 0.29 10.78 151.54
37 8.34 51.83 0.00 14.15 156.36
38 8.47 57.49 0.00 22.12 163.13
39 8.74 60.85 0.00 27.19 158.19
40 8.90 54.11 0.00 18.41 172.30
41 8.72 64.84 0.00 20.94 117.60
42 9.11 44.53 0.00 1.49 170.77
43 9.07 33.30 0.00 0.00 125.48
44 9.33 62.89 0.00 22.41 155.94
45 9.32 41.75 0.00 0.12 148.45
46 9.44 47.10 0.00 5.31 175.68
47 9.47 49.53 0.00 8.03 178.83
48 9.62 35.40 0.00 0.00 140.93
49 9.56 58.91 0.00 17.27 161.53
50 9.54 37.79 0.00 0.00 143.13
51 9.67 56.05 0.00 15.81 175.74
52 9.79 51.77 0.00 5.93 175.51
53 9.90 30.42 0.00 0.00 120.73
54 9.93 65.91 0.00 20.10 136.60
55 10.13 39.85 0.00 0.00 147.55
56 10.34 44.00 0.00 0.81 169.54
57 10.42 32.87 0.00 0.00 129.90
58 10.56 53.63 0.00 6.46 180.17
59 10.51 60.86 0.00 19.11 161.31
60 10.62 63.62 0.00 21.03 159.88
61 10.74 46.54 0.00 2.52 190.34
62 10.83 58.01 0.00 12.88 176.18
63 10.80 49.10 0.00 2.66 192.75
64 10.97 41.73 0.00 0.00 175.55
65 10.99 38.02 0.00 0.00 150.01
66 11.07 55.79 0.00 9.16 186.56
67 11.09 35.59 0.00 0.00 147.24
68 11.14 66.87 0.00 20.46 154.91
69 11.41 51.43 0.00 1.30 190.54
70 11.29 30.11 0.00 0.00 112.37
71 11.69 43.72 0.00 0.00 180.21
72 11.74 33.03 0.00 0.00 133.65
73 11.92 60.22 0.00 10.90 187.86
74 11.92 64.92 0.00 17.18 169.97
75 11.83 62.42 0.00 14.47 166.97
76 12.02 40.19 0.00 0.00 177.40
77 11.99 46.49 0.00 0.00 195.23
78 12.04 53.98 0.00 2.63 176.22
79 12.10 48.77 0.00 0.00 207.67
80 12.22 57.60 0.00 6.17 182.23
81 12.24 37.90 0.00 0.00 166.55
82 12.32 28.41 0.00 0.00 112.05
83 12.30 68.07 0.39 15.76 149.77
84 12.40 35.24 0.00 0.00 158.44
85 12.52 70.99 0.55 11.59 114.87
86 12.59 31.41 0.00 0.00 136.57
87 12.77 50.95 0.00 1.58 194.87
88 12.81 44.54 0.00 0.00 182.60
89 13.01 41.91 0.00 0.00 176.36
90 13.00 63.21 0.00 15.08 174.37
91 13.15 26.29 0.00 0.00 112.54
92 13.12 55.56 0.00 2.07 192.84
93 13.25 66.09 2.30 16.28 180.37
94 13.22 53.17 0.00 0.32 201.28
95 13.27 60.46 0.00 4.16 184.20
96 13.46 46.75 0.00 0.00 200.77
97 13.61 29.41 0.00 0.00 132.94
98 13.47 37.09 0.00 0.00 168.28
99 13.51 69.29 3.23 14.70 155.59
100 13.60 72.62 1.79 11.84 126.92
101 13.63 48.95 0.00 0.00 200.43
102 13.62 39.59 0.00 0.00 180.11
103 13.66 34.35 0.00 0.00 145.77
104 13.73 58.19 0.00 3.80 200.44
105 13.76 31.92 0.00 0.00 142.99
106 13.99 44.00 0.00 0.00 191.54
107 14.26 51.07 0.00 0.00 188.10
108 14.22 62.00 0.43 4.55 186.02
109 14.40 27.48 0.00 0.00 125.28
110 14.35 64.48 1.73 11.89 175.21
111 14.51 41.59 0.00 0.00 192.91
112 14.46 56.11 0.00 0.00 200.75
113 14.58 67.57 1.65 11.93 167.47
114 14.51 53.79 0.00 0.00 197.12
115 14.68 70.91 4.06 9.71 144.56
116 14.75 24.83 0.00 0.00 114.65
117 14.74 36.18 0.00 0.00 169.06
118 14.84 45.75 0.00 0.00 200.09
119 14.91 38.68 0.00 0.00 181.00
120 14.91 47.90 0.00 0.00 201.72
121 14.95 74.02 4.91 9.24 118.22
122 15.05 31.28 0.00 0.00 151.01
123 15.08 33.82 0.00 0.00 160.74
124 15.11 58.70 0.00 1.22 198.59
125 15.39 60.67 2.30 0.95 197.27
126 15.45 43.58 0.00 0.00 198.34
127 15.60 65.49 3.74 7.53 184.89
128 15.59 22.25 0.00 0.00 110.72
129 15.55 52.00 0.00 0.00 186.90
130 15.40 69.33 3.91 10.23 170.52
131 15.60 29.29 0.04 0.00 148.27
132 15.65 49.59 0.00 0.00 206.51
133 15.62 62.84 1.21 4.28 186.46
134 15.76 27.08 0.00 0.00 131.69
135 15.84 40.12 0.00 0.00 194.80
136 15.84 56.67 0.00 0.00 202.09
137 15.89 54.18 0.00 0.00 191.65
138 15.95 76.37 7.75 7.94 109.62
139 16.04 36.95 0.00 0.00 174.51
140 16.15 71.64 8.57 9.17 161.10
141 16.23 24.78 0.75 0.00 124.74
142 16.14 46.31 0.00 0.00 212.48
143 16.38 42.28 0.00 0.00 206.32
144 16.37 74.09 14.80 7.39 150.98
145 16.34 33.94 0.00 0.00 174.72
146 16.49 31.18 0.00 0.00 159.98
147 16.55 66.95 8.36 5.81 181.46
148 16.66 58.64 0.00 0.00 190.93
149 16.75 61.47 3.17 0.93 192.47
150 16.81 50.91 0.00 0.00 200.07
151 16.88 78.55 9.85 2.84 97.81
152 16.95 48.45 0.00 0.00 206.19
153 16.96 64.06 6.99 4.71 192.52
154 16.99 55.56 1.51 0.00 206.36
155 17.05 28.33 0.00 0.00 138.95
156 17.03 44.63 0.43 0.00 207.51
157 17.23 22.67 0.17 0.00 122.42
158 17.21 53.30 1.80 0.00 200.95
159 17.29 20.04 0.22 0.00 110.73
160 17.30 38.87 0.00 0.00 182.03
161 17.19 35.91 0.00 0.00 181.06
162 17.25 76.07 17.35 6.67 134.35
163 17.42 41.54 0.00 0.00 207.86
164 17.45 68.65 10.20 3.98 181.89
165 17.65 70.91 16.78 6.41 181.75
166 17.61 25.61 0.56 0.00 137.83
167 17.62 32.11 0.00 0.00 167.14
168 17.73 73.42 20.28 4.73 164.99
169 17.76 59.79 4.89 0.00 204.15
170 17.89 46.71 0.00 0.00 202.03
171 17.94 56.70 3.73 0.00 208.69
172 17.92 65.83 9.52 1.95 186.18
173 17.99 51.50 0.47 0.00 199.75
174 18.10 62.28 5.47 0.00 199.63
175 18.21 29.48 0.11 0.00 158.05
176 18.20 43.77 0.00 0.00 207.64
177 18.30 34.05 0.00 0.00 169.93
178 18.36 49.33 0.00 0.00 199.73
179 18.26 78.60 19.62 2.29 122.78
180 18.38 36.56 0.00 0.00 182.33
181 18.53 54.05 1.10 0.00 208.50
182 18.57 41.03 0.00 0.00 203.24
183 18.56 75.96 24.65 2.58 156.32
184 18.79 20.87 3.11 0.00 128.16
185 18.85 23.62 2.14 0.00 140.27
186 18.84 26.57 0.00 0.00 147.17
187 18.91 38.63 0.00 0.00 195.37
188 18.79 58.48 4.05 0.00 200.31
189 18.82 68.23 14.98 0.35 186.76
190 18.94 63.93 13.70 1.14 206.42
191 19.16 18.55 2.70 0.00 106.39
192 18.98 80.44 23.87 0.00 94.11
193 19.15 31.85 0.33 0.00 167.37
194 19.18 45.68 0.00 0.00 207.31
195 19.20 70.50 21.32 0.63 182.25
196 19.14 72.99 23.89 0.02 169.75
197 19.23 51.74 2.23 0.00 209.12
198 19.30 56.29 1.58 0.00 191.49
199 19.30 60.91 9.13 0.00 213.93
200 19.37 48.08 0.63 0.00 211.63
201 19.37 65.99 16.32 0.00 193.23
202 19.53 28.85 0.40 0.00 167.82
203 19.52 43.26 0.00 0.00 199.52
204 19.46 35.14 0.00 0.00 178.77
205 19.75 78.38 38.33 0.08 142.11
206 19.76 75.29 29.34 0.65 164.30
207 19.83 40.90 0.00 0.00 193.79
208 19.98 54.45 4.31 0.00 206.23
209 20.08 58.79 6.41 0.00 209.64
210 20.12 62.80 14.35 0.00 212.67
211 20.23 50.13 2.83 0.00 206.14
212 20.20 38.56 0.82 0.00 188.98
213 20.37 21.58 3.54 0.00 131.91
214 20.35 24.38 1.09 0.00 143.52
215 20.27 67.86 21.33 0.00 182.31
216 20.49 26.94 2.19 0.00 155.26
217 20.40 33.30 2.03 0.00 175.32
218 20.46 30.46 0.00 0.00 172.35
219 20.49 36.37 1.60 0.00 190.22
220 20.50 52.22 4.89 0.00 204.77
221 20.54 45.50 2.76 0.00 207.93
222 20.54 70.80 37.26 1.88 207.71
223 20.64 47.94 5.12 0.00 210.32
224 20.60 64.90 20.80 0.00 200.82
225 20.80 18.79 3.96 0.00 121.15
226 20.89 56.44 10.43 0.00 205.64
227 20.80 43.06 3.60 0.00 216.45
228 20.93 60.95 18.18 0.00 211.44
229 20.96 73.35 39.31 0.00 164.67
230 21.09 81.04 59.67 0.00 127.20
231 21.01 76.15 51.30 0.53 171.16
232 21.06 40.70 1.20 0.00 199.32
233 21.16 78.53 56.74 0.00 155.12
234 21.22 84.05 36.79 0.00 62.60
235 21.33 54.20 11.00 0.00 209.70
236 21.30 58.66 11.11 0.00 196.88
237 21.45 67.05 29.16 0.00 199.58
238 21.59 29.14 5.75 0.00 173.14
239 21.52 34.95 2.59 0.00 189.07
240 21.60 31.95 1.91 0.00 174.73
241 21.61 38.31 2.37 0.00 183.52
242 21.57 62.88 24.75 0.00 202.96
243 21.58 49.98 5.44 0.00 211.97
244 21.62 69.45 42.31 0.00 182.82
245 21.77 15.60 4.27 0.00 103.35
246 21.80 21.07 7.07 0.00 138.14
247 21.79 24.28 8.48 0.00 153.27
248 21.74 46.76 7.26 0.00 215.59
249 21.84 44.22 3.30 0.00 202.36
250 21.93 26.77 3.87 0.00 169.21
251 21.87 52.26 11.70 0.00 217.68
252 21.94 64.94 30.69 0.00 200.93
253 22.20 41.22 7.03 0.00 212.23
254 22.26 60.54 24.65 0.00 208.80
255 22.26 71.81 51.19 0.00 184.94
256 22.22 74.68 56.61 0.00 169.29
257 22.31 56.07 16.09 0.00 208.33
258 22.46 18.33 9.08 0.43 133.65
259 22.32 79.25 66.49 0.00 155.02
260 22.48 48.31 14.54 0.00 220.52
261 22.55 81.98 79.04 0.00 131.92
262 22.52 58.24 21.71 0.00 208.84
263 22.58 36.75 6.81 0.00 191.62
264 22.60 33.82 7.09 0.00 189.20
265 22.75 53.92 18.38 0.00 210.33
266 22.77 67.21 52.64 0.00 199.92
267 22.77 30.58 4.47 0.00 180.11
268 22.91 50.94 12.66 0.00 216.69
269 23.02 76.92 83.28 0.00 170.64
270 22.89 44.97 7.49 0.00 211.34
271 22.98 62.31 35.90 0.00 211.74
272 23.03 39.25 11.19 0.00 195.95
273 23.00 69.61 53.39 0.00 191.86
274 23.09 25.50 7.69 0.00 163.50
275 23.14 42.49 9.80 0.00 208.96
276 23.08 64.64 41.71 0.00 210.74
277 23.20 15.62 11.94 0.40 118.78
278 23.23 20.97 11.32 0.00 144.21
279 23.38 28.09 11.59 0.00 171.22
280 23.45 73.67 66.62 0.00 175.10
281 23.56 46.57 13.18 0.47 204.82
282 23.63 48.69 19.11 0.00 217.69
283 23.78 23.53 12.42 0.00 158.94
284 23.61 32.56 9.77 0.00 199.59
285 23.71 60.29 42.24 0.00 211.41
286 23.66 35.60 9.38 0.00 199.96
287 23.76 55.50 29.46 0.00 208.24
288 23.65 57.88 31.87 0.00 208.42
289 23.81 79.55 88.85 0.00 149.71
290 23.81 53.12 25.09 0.00 217.86
291 23.99 71.12 89.11 0.00 209.26
292 23.92 82.92 100.33 0.00 138.64
293 24.06 18.38 12.23 0.80 132.94
294 24.00 85.73 72.90 0.00 84.13
295 24.16 41.04 14.68 0.00 212.01
296 24.11 65.95 68.71 0.00 204.50
297 24.18 38.19 10.83 0.00 200.28
298 24.16 44.02 18.77 0.00 213.48
299 24.11 50.58 24.31 0.00 216.31
300 24.17 68.36 77.46 0.00 201.89
301 24.19 30.52 13.28 0.00 180.99
302 24.15 63.22 55.92 0.00 202.52
303 24.44 14.33 15.38 0.53 121.49
304 24.37 76.08 87.24 0.00 160.41
305 24.60 25.94 17.85 0.00 167.30
306 24.68 21.75 16.20 0.00 155.10
307 24.70 33.82 10.22 0.00 197.72
308 24.81 73.04 98.68 0.00 181.81
309 24.79 46.41 26.36 0.00 210.50
310 24.78 57.17 50.78 0.00 218.27
311 24.88 28.52 18.07 0.00 179.80
312 24.85 52.30 41.11 0.00 216.14
313 24.94 59.52 52.98 0.00 215.61
314 24.95 36.23 18.19 0.00 200.99
315 24.94 48.75 40.54 0.00 231.14
316 25.04 61.70 65.14 0.00 210.66
317 25.05 54.89 50.86 0.00 217.67
318 25.14 78.85 110.13 0.00 177.34
319 25.22 81.89 101.87 0.00 147.87
320 25.32 16.73 24.29 0.50 143.82
321 25.22 39.57 26.25 0.00 208.11
322 25.21 42.75 23.81 1.14 219.97
323 25.31 69.57 105.63 0.00 198.88
324 25.34 84.99 97.20 0.00 127.21
325 25.25 64.44 83.93 0.00 203.84
326 25.39 66.91 100.66 0.00 204.79
327 25.39 31.46 19.41 0.00 182.39
328 25.44 19.68 19.98 0.00 152.71
329 25.68 23.76 25.00 0.00 167.89
330 25.71 50.74 48.86 0.00 215.39
331 25.72 44.90 33.70 0.00 223.01
332 25.68 75.92 99.16 0.00 171.08
333 25.82 13.33 26.61 1.74 120.63
334 25.94 37.23 25.78 0.00 206.61
335 26.03 26.49 26.40 0.00 172.63
336 25.90 58.16 75.18 0.00 213.71
337 25.93 53.24 64.56 0.00 212.47
338 25.97 34.18 21.38 0.00 185.93
339 26.06 73.17 114.29 0.00 188.50
340 26.07 41.13 31.73 0.00 213.10
341 26.11 29.19 31.86 0.00 193.36
342 26.21 55.93 78.93 0.00 216.08
343 26.17 48.72 55.59 0.02 219.49
344 26.21 62.94 91.49 0.00 210.97
345 26.26 70.78 117.78 0.00 187.95
346 26.32 60.53 86.06 0.00 212.63
347 26.45 46.76 46.94 0.00 210.90
348 26.38 80.32 101.13 0.00 146.84
349 26.58 21.41 30.91 0.00 150.52
350 26.57 65.55 121.55 0.00 205.59
351 26.63 67.96 121.31 0.00 200.07
352 26.75 42.85 43.58 0.00 216.68
353 26.65 83.42 91.15 0.00 138.76
354 26.86 15.42 34.62 0.40 131.85
355 26.77 18.25 34.72 0.79 156.73
356 26.85 77.24 105.74 0.00 168.00
357 26.79 31.62 37.40 0.00 199.70
358 26.81 38.81 40.99 0.00 215.03
359 26.69 85.11 98.21 0.00 122.95
360 26.57 78.52 108.15 0.00 161.12
361 26.86 51.51 80.53 0.00 219.42
362 27.03 44.86 56.40 0.82 225.86
363 27.00 54.00 94.77 0.04 217.36
364 26.99 58.44 96.87 0.00 212.40
