#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 2.09 48.90 0.00 69.67 36.36
1 2.44 54.88 0.00 65.65 22.41
2 2.83 46.95 0.24 80.73 45.50
3 2.74 51.64 0.07 77.02 50.33
4 2.55 45.53 1.12 78.64 40.40
5 3.21 42.71 0.18 81.93 42.94
6 3.07 54.62 0.61 82.91 59.97
7 3.70 49.16 1.25 75.59 54.77
8 3.60 57.12 0.28 70.28 41.76
9 3.62 59.93 0.00 57.80 34.72
10 3.92 44.75 1.82 80.58 48.86
11 3.71 54.63 0.00 71.57 49.76
12 4.23 51.86 2.52 75.47 59.51
13 3.82 53.17 1.32 75.17 44.77
14 4.48 38.26 0.77 75.53 54.44
15 4.29 41.43 0.93 80.84 64.14
16 4.74 46.91 2.01 79.68 57.34
17 4.79 59.15 1.05 71.48 62.78
18 4.83 62.21 0.00 58.66 43.38
19 4.80 54.93 1.45 75.67 63.14
20 4.99 41.83 1.20 76.67 44.46
21 5.23 49.54 4.09 84.75 71.77
22 5.51 44.01 2.33 70.48 65.82
23 5.59 57.00 3.06 79.23 79.10
24 5.70 39.61 1.04 68.11 60.78
25 5.63 52.21 4.05 81.79 74.80
26 6.24 36.75 0.36 48.59 75.18
27 6.18 47.05 3.32 85.55 70.95
28 6.17 62.30 1.41 65.49 77.41
29 6.37 54.60 3.64 79.32 82.57
30 6.35 59.72 2.51 71.80 80.86
31 6.67 41.71 2.04 62.28 75.60
32 6.76 49.72 2.77 84.06 78.39
33 7.09 44.46 2.33 67.02 81.50
34 7.16 34.66 0.00 26.18 79.33
35 7.13 57.29 3.89 89.75 100.20
36 7.01 38.51 1.35 46.70 80.21
37 7.20 52.24 5.00 85.65 91.64
38 7.03 67.42 0.00 52.17 45.64
39 7.45 64.98 0.88 58.73 78.16
40 7.50 61.85 2.75 68.65 92.92
41 7.62 47.16 4.05 80.41 92.69
42 7.80 54.83 3.61 84.85 111.58
43 7.92 32.07 0.00 4.59 82.06
44 8.16 59.02 3.29 80.27 99.10
45 8.14 36.84 1.28 20.88 93.74
46 8.20 41.79 1.70 51.19 92.31
47 8.25 50.23 3.22 81.31 101.07
48 8.42 68.06 0.00 54.16 76.58
49 8.71 39.12 1.68 30.93 87.69
50 8.75 63.69 1.48 62.32 106.07
51 8.62 44.63 3.05 55.76 98.51
52 8.83 34.15 0.00 5.30 97.64
53 8.84 53.04 2.89 85.22 112.61
54 9.01 47.65 2.15 73.79 108.58
55 9.08 56.14 2.74 80.53 116.67
56 9.06 61.16 3.54 67.74 100.94
57 9.26 71.17 0.00 42.96 57.38
58 9.37 31.82 0.00 0.00 98.30
59 9.53 66.25 1.40 54.14 108.09
60 9.72 42.26 2.79 32.10 111.15
61 9.72 50.51 1.44 76.47 125.67
62 9.72 58.72 4.28 87.09 131.15
63 10.08 69.25 0.00 56.65 80.69
64 10.04 35.75 0.00 3.10 95.38
65 10.02 45.10 2.17 46.81 110.56
66 10.08 39.62 0.97 18.68 110.82
67 10.26 53.42 4.41 84.51 122.40
68 10.20 63.57 3.33 67.79 120.97
69 10.45 48.14 4.61 70.17 125.46
70 10.70 32.99 0.00 0.00 116.10
71 10.50 60.89 3.04 76.39 129.39
72 10.60 30.44 0.00 0.00 108.60
73 10.60 56.30 4.52 93.80 127.04
74 10.66 73.00 0.00 39.08 65.11
75 11.09 37.48 1.26 2.75 113.95
76 11.08 65.81 1.65 56.50 111.49
77 11.13 41.22 1.74 13.64 134.25
78 11.16 42.59 0.00 15.72 123.70
79 11.34 50.81 1.73 68.13 136.77
80 11.53 59.01 3.03 87.01 137.61
81 11.60 71.30 0.00 44.97 85.11
82 11.36 45.21 1.99 33.97 134.68
83 11.50 68.64 1.92 52.39 108.23
84 11.57 62.77 2.92 73.31 135.75
85 11.67 53.54 2.75 90.82 146.37
86 11.83 28.59 0.00 0.00 112.56
87 11.78 47.82 0.49 40.93 145.33
88 11.94 34.54 0.00 0.00 129.09
89 12.15 30.97 0.00 0.00 116.08
90 12.15 39.67 0.00 2.06 133.03
91 12.13 56.36 3.02 91.64 141.57
92 12.06 74.54 0.00 38.20 65.48
93 12.40 43.60 0.25 16.62 145.33
94 12.70 60.98 3.02 87.42 155.91
95 12.54 66.63 2.49 64.83 121.59
96 12.65 36.95 0.00 0.00 135.42
97 12.83 49.12 2.02 51.04 168.60
98 12.97 63.71 2.02 65.58 133.53
99 13.13 51.34 1.90 62.45 158.79
100 12.98 69.67 3.44 47.07 103.52
101 13.14 72.84 0.49 43.24 88.48
102 13.15 27.48 0.00 0.00 121.04
103 13.20 46.36 0.24 22.38 161.45
104 13.16 33.03 0.00 0.00 136.92
105 13.11 53.68 1.52 84.52 161.05
106 13.26 41.70 0.00 2.35 147.42
107 13.31 58.56 4.17 89.44 155.53
108 13.62 55.88 2.13 86.68 149.02
109 13.82 75.62 0.00 39.53 75.94
110 13.81 38.76 0.00 0.00 142.71
111 13.94 30.57 0.00 0.00 114.56
112 13.97 35.27 0.00 0.00 136.48
113 14.09 44.22 0.31 8.62 163.92
114 13.91 66.09 3.72 62.04 131.56
115 14.15 25.22 0.00 0.00 121.70
116 14.19 48.63 2.12 32.74 179.74
117 14.26 61.37 2.96 77.83 149.21
118 14.32 68.48 4.09 56.87 120.25
119 14.45 70.97 1.40 44.04 100.92
120 14.61 63.91 2.15 74.21 145.82
121 14.64 53.09 2.19 67.01 167.35
122 14.58 41.36 0.00 0.00 146.80
123 14.79 28.14 0.00 0.00 131.17
124 14.90 58.82 5.33 87.89 158.83
125 14.85 73.69 1.18 47.87 93.75
126 14.97 46.39 0.00 12.27 176.30
127 14.97 50.54 2.31 51.22 178.47
128 15.00 37.05 0.00 0.00 158.61
129 14.97 55.96 1.91 86.50 173.11
130 15.23 33.90 0.00 0.00 146.45
131 15.12 23.34 0.00 0.00 110.37
132 15.53 31.50 0.00 0.00 144.83
133 15.48 66.14 3.77 63.15 130.58
134 15.59 39.48 0.00 0.00 158.77
135 15.56 43.53 1.12 1.81 167.87
136 15.76 76.44 0.17 45.59 81.78
137 15.73 62.13 2.50 80.93 152.06
138 15.79 79.16 0.00 46.15 64.37
139 15.91 26.24 0.00 0.00 135.94
140 15.95 68.57 3.24 54.03 120.23
141 15.99 71.29 2.68 52.85 115.67
142 16.14 48.85 1.18 23.17 165.67
143 16.20 54.28 2.92 80.79 169.34
144 16.20 51.70 2.21 54.81 181.60
145 16.28 29.11 0.00 0.00 140.22
146 16.28 56.98 3.45 88.28 175.78
147 16.39 59.82 4.47 88.67 161.32
148 16.41 36.59 0.00 0.00 165.77
149 16.59 41.39 0.31 0.00 165.40
150 16.32 73.93 2.70 48.26 97.62
151 16.39 46.17 0.64 6.45 174.97
152 16.54 24.16 0.00 0.00 127.96
153 16.66 64.16 3.11 72.98 141.65
154 16.88 34.37 0.00 0.00 166.00
155 17.03 43.64 0.00 1.43 169.55
156 17.15 31.90 0.00 0.00 139.15
157 17.07 38.94 0.00 0.00 171.25
158 17.25 66.67 3.53 61.24 123.05
159 16.98 79.60 0.00 50.20 58.42
160 17.28 78.37 0.99 48.40 76.47
161 17.45 61.68 3.78 88.47 157.81
162 17.45 69.65 3.04 52.26 110.57
163 17.47 52.95 3.89 57.20 168.01
164 17.64 50.54 0.73 29.27 176.57
165 17.43 75.98 2.01 50.58 93.18
166 17.59 58.04 3.30 87.75 170.28
167 17.66 72.63 1.40 51.03 102.09
168 17.45 22.07 0.00 0.00 119.19
169 17.63 48.06 1.06 9.85 175.10
170 17.63 26.98 0.00 0.00 133.51
171 17.71 55.47 3.39 72.04 164.92
172 17.75 29.01 0.00 0.00 156.39
173 17.90 45.52 0.00 2.90 168.84
174 18.00 24.44 0.00 0.00 149.90
175 18.15 37.34 0.00 0.00 168.69
176 18.20 80.93 0.00 48.07 53.48
177 18.25 40.28 0.00 0.00 165.96
178 18.30 64.26 3.73 82.22 142.28
179 18.37 34.68 0.00 0.00 155.06
180 18.40 42.87 0.49 0.00 171.43
181 18.59 59.42 4.07 91.27 156.12
182 18.63 20.76 0.00 0.00 128.21
183 18.63 78.14 2.16 57.82 91.21
184 18.77 74.74 2.74 50.28 102.62
185 18.87 31.96 0.00 0.00 163.03
186 18.81 66.73 3.79 64.97 126.65
187 18.75 53.79 1.15 47.60 170.93
188 18.85 61.69 5.07 98.01 150.24
189 18.84 69.34 2.96 62.03 125.88
190 19.01 48.89 0.08 9.13 178.20
191 19.16 46.49 1.48 1.92 180.22
192 19.16 51.38 0.43 21.07 176.93
193 19.01 56.79 3.75 79.14 169.19
194 19.21 26.63 0.00 0.00 141.81
195 19.21 71.72 3.18 58.32 113.34
196 19.28 29.40 0.00 0.00 153.69
197 19.52 23.78 0.00 0.00 139.01
198 19.65 40.87 0.00 0.00 175.55
199 19.58 43.70 0.58 0.00 167.91
200 19.54 37.54 0.00 0.00 170.32
201 19.58 81.61 0.00 49.32 73.66
202 19.78 18.64 0.00 0.00 111.85
203 19.79 34.30 0.00 0.00 161.09
204 19.85 62.92 2.45 86.16 138.26
205 19.96 76.23 3.28 53.81 96.62
206 19.89 54.45 2.10 50.12 171.66
207 20.08 79.05 3.21 53.90 93.69
208 20.01 59.65 4.01 90.38 142.47
209 20.22 65.52 2.97 75.63 127.19
210 20.10 21.25 0.00 0.00 139.23
211 20.14 68.17 3.20 73.47 127.49
212 20.32 49.40 0.00 4.76 181.17
213 20.39 56.90 3.66 63.09 155.07
214 20.33 73.32 3.80 58.57 103.34
215 20.56 52.03 1.86 17.85 179.24
216 20.70 32.06 0.00 0.00 169.23
217 20.70 39.46 0.00 0.00 186.23
218 20.37 45.93 1.02 0.17 157.54
219 20.69 70.61 2.79 69.28 107.61
220 20.62 26.65 0.00 0.00 145.65
221 20.74 29.59 0.00 0.00 160.32
222 20.74 84.23 0.00 39.18 49.58
223 20.95 37.03 0.00 0.00 188.94
224 20.94 43.19 0.36 0.00 174.41
225 21.12 23.35 0.00 0.00 136.15
226 21.14 60.90 4.12 84.92 142.34
227 21.14 63.28 4.91 95.47 138.92
228 21.04 81.33 2.29 49.91 82.99
229 21.25 19.88 0.00 0.00 132.18
230 21.25 34.79 0.00 0.00 179.75
231 21.30 47.88 1.12 2.02 186.28
232 21.14 54.21 1.91 28.73 183.38
233 21.21 75.13 5.03 57.95 100.38
234 21.32 58.51 3.25 66.71 139.55
235 21.64 41.15 0.45 0.00 164.84
236 21.46 67.82 2.29 79.11 124.78
237 21.60 77.89 3.19 51.73 89.54
238 21.72 45.53 0.33 0.00 188.07
239 21.75 65.26 3.76 79.16 133.86
240 21.73 50.40 2.70 4.67 184.77
241 21.83 25.72 0.00 0.00 153.29
242 21.92 28.50 0.00 0.00 159.19
243 21.84 72.56 5.91 61.11 101.47
244 21.92 56.36 4.56 37.78 168.49
245 22.09 38.77 0.00 0.00 187.04
246 21.88 85.83 0.00 33.58 46.03
247 22.14 82.98 2.42 40.20 71.97
248 22.30 31.03 0.00 0.00 175.26
249 22.26 33.35 0.00 0.00 176.75
250 22.24 69.88 3.95 73.26 107.83
251 22.34 79.78 5.83 47.22 94.65
252 22.38 21.76 0.00 0.00 139.34
253 22.34 54.05 2.57 16.92 176.53
254 22.43 43.24 0.00 0.00 186.06
255 22.36 62.25 5.14 85.04 146.07
256 22.38 59.42 5.80 69.83 140.88
257 22.70 36.65 0.00 0.00 168.96
258 22.72 51.90 3.17 7.76 178.26
259 22.51 75.19 5.79 61.25 103.37
260 22.50 81.15 4.03 51.12 81.73
261 22.59 47.42 0.12 0.20 180.29
262 22.56 18.78 0.00 0.00 127.65
263 22.77 67.20 5.11 84.29 120.36
264 23.08 24.78 0.00 0.00 144.83
265 22.96 84.90 2.44 40.82 71.20
266 23.05 40.45 0.00 0.00 171.69
267 23.13 77.60 5.35 52.61 99.61
268 23.19 27.51 0.00 0.00 148.51
269 23.22 49.53 3.14 0.79 184.00
270 23.06 64.40 5.47 92.32 135.17
271 23.09 56.46 6.46 41.26 174.19
272 23.19 72.38 5.61 64.21 111.16
273 23.35 45.10 0.47 0.00 183.03
274 23.50 29.97 0.00 0.00 161.26
275 23.50 34.90 0.00 0.00 186.21
276 23.54 61.39 3.05 74.32 137.52
277 23.50 58.52 2.03 50.31 149.86
278 23.55 69.79 5.68 75.22 112.75
279 23.61 53.97 2.59 13.75 164.73
280 23.88 32.36 0.00 0.00 178.82
281 23.76 17.24 0.00 0.00 119.97
282 23.84 19.85 0.00 0.00 137.51
283 23.72 42.64 0.00 0.00 187.69
284 23.77 22.55 0.00 0.00 149.38
285 23.78 80.10 7.50 37.12 83.64
286 23.90 82.89 8.37 36.93 83.00
287 23.93 74.67 6.55 50.42 100.29
288 23.89 47.18 1.73 1.33 172.40
289 23.91 66.96 7.26 83.15 108.57
290 24.12 86.10 5.37 28.31 64.50
291 24.33 37.56 0.00 0.00 169.68
292 24.09 51.65 3.01 11.45 155.31
293 24.23 39.73 0.00 0.00 181.80
294 24.18 64.46 5.69 78.06 136.35
295 24.34 56.04 3.05 24.17 155.76
296 24.51 26.70 0.00 0.00 160.76
297 24.43 59.60 4.64 58.51 158.34
298 24.52 49.30 3.72 7.15 195.29
299 24.51 72.10 8.23 58.37 106.07
300 24.54 77.17 10.28 44.09 96.97
301 24.67 29.07 0.00 0.00 161.12
302 24.73 44.59 0.75 1.06 195.11
303 24.76 24.47 0.00 0.00 166.33
304 24.75 34.37 0.00 0.00 182.43
305 24.77 62.37 7.47 65.62 121.78
306 24.74 69.33 10.97 61.72 116.44
307 24.81 42.03 0.00 0.00 185.24
308 25.11 81.13 14.17 29.27 84.88
309 25.00 53.11 4.71 22.43 172.75
310 25.08 17.06 0.00 0.00 124.85
311 25.04 22.09 0.00 0.00 150.59
312 25.05 66.96 15.04 72.57 128.92
313 25.07 46.91 1.79 4.64 187.06
314 25.36 83.94 19.88 22.26 88.11
315 25.26 19.79 0.00 0.00 143.56
316 25.28 31.35 0.00 0.00 178.17
317 25.31 87.14 16.60 17.20 67.88
318 25.30 57.56 8.29 43.69 150.39
319 25.38 50.45 4.54 19.39 175.40
320 25.43 14.39 0.00 0.00 115.85
321 25.43 74.64 16.03 42.94 107.81
322 25.51 78.51 17.06 38.68 100.40
323 25.50 36.36 0.00 0.00 188.06
324 25.45 64.56 15.33 62.10 140.02
325 25.44 39.98 0.45 0.63 179.69
326 25.42 60.13 10.08 63.43 154.41
327 25.57 55.23 8.26 40.53 178.39
328 25.65 71.74 18.02 46.36 111.36
329 25.80 25.97 0.00 0.00 162.49
330 25.93 28.87 0.00 0.00 163.79
331 25.88 33.39 0.00 1.10 165.89
332 25.83 43.01 0.51 5.41 177.44
333 26.07 48.00 4.40 15.83 186.42
334 25.95 68.95 21.78 52.01 116.16
335 26.00 61.90 16.37 50.21 143.70
336 26.11 45.40 2.70 10.73 189.05
337 26.17 23.54 0.00 0.00 148.88
338 26.16 38.37 0.34 2.80 189.71
339 26.18 51.73 9.10 36.05 180.37
340 26.22 66.38 36.71 57.04 122.03
341 26.40 18.60 2.25 1.95 135.16
342 26.30 58.74 17.21 49.02 142.73
343 26.51 53.76 13.17 38.49 178.87
344 26.49 76.33 35.61 31.20 110.60
345 26.51 88.09 33.28 5.37 55.63
346 26.55 41.39 2.01 7.35 184.09
347 26.61 79.59 36.35 19.03 93.84
348 26.54 12.92 5.25 6.23 106.47
349 26.66 16.33 6.25 3.84 122.89
350 26.60 21.30 2.85 1.99 143.70
351 26.59 31.21 0.00 1.81 172.93
352 26.59 35.40 0.00 1.23 188.76
353 26.61 63.56 51.35 50.60 142.94
354 26.66 73.36 40.30 28.66 118.72
355 26.63 85.48 50.74 7.80 86.72
356 26.69 56.08 19.28 39.88 167.58
357 26.75 82.40 43.18 11.18 93.84
358 26.79 14.30 5.48 4.15 114.22
359 26.79 70.63 54.95 36.19 116.71
360 26.74 49.61 14.35 38.17 180.62
361 26.87 27.29 0.88 1.78 166.36
362 27.07 43.76 6.99 21.00 192.57
363 27.07 60.75 47.94 37.18 151.89
364 27.18 67.64 125.02 20.76 125.18
