#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm4 14A 3 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 1.91 48.54 9.90 94.29 71.59
1 1.87 46.58 9.38 85.03 59.21
2 2.21 51.68 9.71 95.22 65.01
3 2.74 45.21 11.57 94.48 100.38
4 2.90 49.77 11.20 106.57 107.59
5 3.16 47.38 12.25 97.80 114.96
6 3.32 52.03 11.26 103.17 112.85
7 3.31 54.39 10.00 89.65 80.60
8 3.80 40.85 11.86 75.18 121.63
9 3.79 43.30 12.30 86.52 124.41
10 4.13 45.52 12.22 95.19 128.34
11 4.20 56.52 11.45 104.37 102.00
12 4.20 48.82 12.84 100.33 119.36
13 4.46 53.68 12.99 105.79 115.97
14 4.55 51.23 13.58 106.63 126.78
15 4.84 59.56 10.84 86.57 88.64
16 4.99 42.92 13.72 84.75 136.32
17 5.15 46.94 15.27 96.27 135.53
18 5.29 40.66 12.81 67.36 135.56
19 5.38 57.75 12.13 98.01 121.70
20 5.57 49.23 14.50 106.58 145.42
21 5.62 55.27 12.91 106.50 124.19
22 5.78 44.92 14.97 87.78 143.54
23 5.74 52.91 13.40 98.80 133.37
24 5.79 61.88 9.97 80.33 80.43
25 6.26 59.80 11.13 97.25 119.24
26 6.38 39.30 13.65 50.76 147.79
27 6.41 50.61 15.42 105.77 143.76
28 6.39 42.23 13.51 65.50 141.16
29 6.66 47.21 14.71 93.10 137.08
30 6.37 56.75 13.55 106.55 142.75
31 6.86 37.15 12.31 35.27 144.68
32 6.77 57.69 14.82 101.89 127.87
33 6.78 63.62 9.51 80.58 82.26
34 7.08 53.00 16.05 101.03 149.58
35 7.03 34.90 11.91 27.29 152.14
36 7.22 55.09 14.29 101.38 141.94
37 7.12 44.14 14.74 76.53 154.00
38 7.19 61.82 12.59 94.77 130.96
39 7.60 40.95 15.54 52.20 158.24
40 7.60 50.72 14.67 101.04 165.14
41 7.70 59.54 14.32 96.60 147.74
42 7.91 47.73 15.92 100.41 167.58
43 8.01 56.77 15.23 102.52 151.90
44 8.18 38.56 14.06 33.27 157.98
45 8.14 45.55 16.33 83.45 180.70
46 8.25 33.52 11.25 21.72 152.16
47 8.21 64.42 11.28 87.59 138.71
48 8.31 35.97 14.02 26.06 156.21
49 8.50 43.25 15.17 64.21 183.57
50 8.58 49.42 17.08 104.36 191.80
51 8.57 62.26 13.24 92.22 166.84
52 8.66 52.38 14.97 102.09 169.09
53 8.83 54.53 16.11 98.78 168.01
54 8.89 58.39 14.28 94.93 169.66
55 9.11 41.31 14.24 45.58 174.54
56 9.13 66.93 10.93 82.39 133.14
57 9.43 60.33 14.67 95.38 174.62
58 9.50 32.45 13.56 19.16 163.56
59 9.55 47.79 15.94 89.62 182.05
60 9.68 37.17 13.82 25.24 178.91
61 9.51 45.44 15.62 76.88 194.19
62 9.59 56.43 15.71 96.46 170.46
63 9.70 39.36 15.51 30.91 184.91
64 9.58 64.41 14.23 87.69 164.95
65 9.68 50.69 15.67 106.03 192.39
66 9.81 34.83 14.33 22.94 179.61
67 10.29 43.53 16.83 54.38 179.58
68 10.20 53.91 16.20 94.59 184.02
69 10.04 62.51 14.82 87.89 170.59
70 10.26 30.55 12.89 18.46 159.65
71 10.41 69.12 11.02 76.47 128.77
72 10.55 66.57 13.61 86.76 171.16
73 10.55 58.55 15.47 96.86 171.95
74 10.69 41.16 15.26 39.06 206.13
75 10.59 61.42 14.04 91.55 158.06
76 10.76 51.98 16.17 105.83 203.39
77 10.82 46.36 16.42 73.68 200.57
78 10.77 48.84 15.85 91.46 204.84
79 10.86 56.27 15.49 103.22 191.19
80 11.07 33.20 15.00 19.20 176.60
81 11.09 28.25 12.40 17.43 169.79
82 11.05 64.26 15.36 92.48 183.27
83 11.13 38.72 15.67 29.02 200.13
84 11.14 35.92 14.87 23.96 203.39
85 11.64 60.00 15.51 94.64 180.56
86 11.71 30.55 13.44 18.36 174.09
87 11.70 68.13 13.02 80.34 171.67
88 11.72 50.24 15.85 96.99 214.33
89 11.70 54.47 17.09 103.39 200.93
90 11.77 42.25 15.56 38.45 195.12
91 11.90 62.23 16.03 91.78 180.21
92 11.84 45.34 16.43 61.83 208.19
93 11.91 70.65 11.93 73.01 138.09
94 12.01 57.56 16.29 103.23 185.01
95 12.28 47.87 15.36 72.35 216.86
96 12.18 65.73 14.32 80.84 175.91
97 12.27 52.38 16.66 105.07 217.95
98 12.33 37.46 16.02 24.60 206.23
99 12.25 25.19 10.95 15.40 130.84
100 12.38 34.75 14.79 20.67 199.40
101 12.56 39.96 17.18 30.93 210.92
102 12.51 27.44 12.71 15.97 183.54
103 12.75 43.96 17.94 45.53 222.35
104 12.83 32.29 14.67 20.66 192.28
105 12.94 55.90 17.12 104.76 204.33
106 12.70 69.44 14.21 79.86 167.71
107 13.06 63.64 15.96 84.30 179.04
108 12.99 60.19 18.01 96.79 187.03
109 13.04 50.29 17.71 90.23 219.67
110 13.13 72.41 12.30 78.58 142.19
111 13.31 29.30 14.79 17.75 179.84
112 13.17 53.84 16.78 103.96 212.03
113 13.31 42.18 15.67 34.88 216.00
114 13.22 68.64 15.90 82.26 167.92
115 13.44 46.05 17.91 51.53 216.94
116 13.47 57.77 16.90 100.14 196.04
117 13.57 36.38 16.94 21.62 214.30
118 13.53 66.51 15.23 80.10 180.33
119 13.53 24.81 13.07 15.09 171.48
120 13.79 38.65 16.24 23.58 214.76
121 13.72 48.30 16.70 67.94 218.05
122 13.94 34.12 15.61 19.57 204.17
123 14.02 70.47 14.54 82.55 180.50
124 14.08 52.28 18.64 97.61 215.77
125 13.99 61.78 16.00 93.73 186.58
126 14.13 31.46 15.80 18.57 195.03
127 14.25 40.81 17.04 24.88 218.58
128 14.35 26.87 13.98 16.03 182.43
129 14.40 44.41 17.57 37.73 213.66
130 14.25 55.12 18.54 101.92 210.33
131 14.34 59.07 17.16 101.24 197.50
132 14.55 50.11 18.01 79.65 217.72
133 14.56 64.32 15.78 84.24 188.50
134 14.64 73.18 13.82 71.22 144.40
135 14.89 24.00 13.63 15.18 165.31
136 14.86 47.15 17.30 57.14 222.74
137 14.86 67.09 16.07 83.56 168.59
138 15.10 29.35 15.86 18.86 189.32
139 15.01 36.14 18.97 22.73 228.68
140 15.14 42.50 17.48 29.01 221.05
141 15.32 56.76 19.15 96.01 207.48
142 15.25 75.75 11.21 71.63 120.29
143 15.11 38.71 16.12 23.52 221.83
144 15.15 61.79 16.53 91.04 195.18
145 15.29 33.37 15.96 20.08 206.85
146 15.28 70.11 15.82 78.86 175.60
147 15.36 54.33 18.70 90.27 221.19
148 15.53 52.19 19.85 84.59 214.94
149 15.50 59.18 17.68 96.15 204.71
150 15.90 44.88 17.95 33.90 210.52
151 15.70 49.62 19.22 63.48 221.55
152 15.92 65.61 16.36 81.06 183.12
153 15.98 72.24 15.51 73.72 180.48
154 15.96 40.51 18.01 26.36 220.87
155 15.99 26.98 14.57 17.90 186.09
156 16.13 68.08 18.24 81.39 186.12
157 16.31 31.94 17.85 18.67 202.48
158 16.16 47.26 20.31 45.59 223.95
159 16.22 37.25 18.47 22.59 223.60
160 16.27 63.27 17.24 81.46 195.90
161 16.34 24.11 14.39 15.75 190.25
162 16.51 34.64 17.00 20.72 208.40
163 16.40 60.93 19.61 90.46 211.78
164 16.53 74.58 14.52 74.15 159.34
165 16.57 20.35 11.94 13.32 139.13
