#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 2.09 48.90 14.24 86.62 41.05
1 2.44 54.88 12.31 82.59 27.24
2 2.83 46.95 15.20 96.79 50.04
3 2.74 51.64 14.88 93.23 54.66
4 2.55 45.53 15.79 94.87 45.08
5 3.21 42.71 15.19 97.88 47.62
6 3.07 54.62 15.39 98.39 64.02
7 3.70 49.16 16.73 92.16 59.06
8 3.60 57.12 15.15 86.67 46.13
9 3.62 59.93 11.52 74.87 39.15
10 3.92 44.75 17.34 96.77 53.37
11 3.71 54.63 15.23 88.14 54.02
12 4.23 51.86 18.17 91.97 63.64
13 3.82 53.17 16.69 91.55 49.17
14 4.48 38.26 16.08 91.93 58.95
15 4.29 41.43 16.49 96.94 68.38
16 4.74 46.91 18.11 96.03 61.62
17 4.79 59.15 16.34 87.61 66.66
18 4.83 62.21 12.04 75.37 47.56
19 4.80 54.93 17.29 91.95 67.12
20 4.99 41.83 17.24 93.24 49.12
21 5.23 49.54 20.38 100.60 75.68
22 5.51 44.01 18.79 87.74 69.97
23 5.59 57.00 19.06 95.04 82.70
24 5.70 39.61 17.30 85.41 65.12
25 5.63 52.21 20.47 97.82 78.59
26 6.24 36.75 16.58 67.47 79.24
27 6.18 47.05 20.26 101.47 74.92
28 6.17 62.30 16.96 81.76 80.92
29 6.37 54.60 20.36 95.45 86.15
30 6.35 59.72 18.60 87.98 84.36
31 6.67 41.71 19.07 80.34 79.57
32 6.76 49.72 20.09 100.10 82.15
33 7.09 44.46 19.80 84.77 85.30
34 7.16 34.66 15.28 46.90 83.32
35 7.13 57.29 20.74 104.72 103.36
36 7.01 38.51 18.26 66.01 84.12
37 7.20 52.24 22.32 101.45 95.07
38 7.03 67.42 10.81 68.48 49.62
39 7.45 64.98 16.63 75.15 81.58
40 7.50 61.85 19.13 84.86 96.12
41 7.62 47.16 21.81 96.94 96.19
42 7.80 54.83 21.18 100.58 114.55
43 7.92 32.07 13.35 26.86 86.03
44 8.16 59.02 20.55 95.97 102.24
45 8.14 36.84 18.61 42.51 97.38
46 8.20 41.79 19.68 70.44 95.91
47 8.25 50.23 21.38 97.72 104.34
48 8.42 68.06 14.47 70.29 79.95
49 8.71 39.12 19.66 51.94 91.43
50 8.75 63.69 18.29 78.84 108.97
51 8.62 44.63 21.39 74.72 101.93
52 8.83 34.15 16.50 28.01 101.22
53 8.84 53.04 21.28 101.15 115.58
54 9.01 47.65 20.88 91.06 111.73
55 9.08 56.14 20.98 96.64 119.50
56 9.06 61.16 20.93 84.30 104.00
57 9.26 71.17 12.55 59.14 61.01
58 9.37 31.82 14.43 20.46 101.89
59 9.53 66.25 18.02 70.86 110.90
60 9.72 42.26 21.63 53.33 114.32
61 9.72 50.51 20.59 93.45 128.41
62 9.72 58.72 22.42 102.34 133.65
63 10.08 69.25 15.58 72.43 83.94
64 10.04 35.75 17.97 26.41 98.99
65 10.02 45.10 21.41 66.75 113.70
66 10.08 39.62 19.87 41.03 114.03
67 10.26 53.42 23.46 100.59 125.16
68 10.20 63.57 20.87 84.01 123.58
69 10.45 48.14 23.97 87.90 128.23
70 10.70 32.99 16.65 20.29 119.27
71 10.50 60.89 21.33 92.36 131.88
72 10.60 30.44 15.43 19.10 111.96
73 10.60 56.30 23.47 108.78 129.66
74 10.66 73.00 12.09 55.08 68.54
75 11.09 37.48 20.40 26.46 117.12
76 11.08 65.81 19.24 73.28 114.24
77 11.13 41.22 21.34 36.70 136.92
78 11.16 42.59 19.29 38.68 126.59
79 11.34 50.81 21.74 86.03 139.26
80 11.53 59.01 22.22 102.38 139.97
81 11.60 71.30 15.92 61.20 88.21
82 11.36 45.21 21.99 55.27 137.29
83 11.50 68.64 18.92 68.82 110.98
84 11.57 62.77 21.43 89.33 138.08
85 11.67 53.54 22.71 106.40 148.63
86 11.83 28.59 15.90 14.42 115.84
87 11.78 47.82 20.90 61.59 147.68
88 11.94 34.54 17.90 21.13 131.94
89 12.15 30.97 16.10 18.22 119.26
90 12.15 39.67 18.70 26.20 135.74
91 12.13 56.36 22.91 106.93 143.88
92 12.06 74.54 13.30 53.86 68.84
93 12.40 43.60 20.86 39.65 147.73
94 12.70 60.98 22.48 102.56 157.87
95 12.54 66.63 20.59 80.84 124.12
96 12.65 36.95 19.03 22.30 138.10
97 12.83 49.12 22.86 70.78 170.44
98 12.97 63.71 21.12 82.21 135.89
99 13.13 51.34 22.84 81.01 160.81
100 12.98 69.67 20.80 63.78 106.33
101 13.14 72.84 17.03 59.25 91.47
102 13.15 27.48 15.69 16.66 124.14
103 13.20 46.36 21.41 44.99 163.47
104 13.16 33.03 18.77 18.92 139.60
105 13.11 53.68 22.32 100.80 163.00
106 13.26 41.70 20.50 26.75 149.78
107 13.31 58.56 24.28 104.77 157.53
108 13.62 55.88 22.92 102.59 151.19
109 13.82 75.62 14.13 54.86 79.08
110 13.81 38.76 19.93 20.13 145.20
111 13.94 30.57 17.50 17.00 117.77
112 13.97 35.27 18.79 18.16 139.15
113 14.09 44.22 21.84 32.62 165.90
114 13.91 66.09 22.58 78.54 133.91
115 14.15 25.22 15.12 15.06 124.79
116 14.19 48.63 23.66 54.39 181.34
117 14.26 61.37 23.16 93.90 151.29
118 14.32 68.48 22.45 73.24 122.77
119 14.45 70.97 19.22 60.74 103.74
120 14.61 63.91 22.03 90.18 147.93
121 14.64 53.09 23.77 85.12 169.17
122 14.58 41.36 20.15 23.44 149.18
123 14.79 28.14 17.12 15.95 134.02
124 14.90 58.82 26.10 103.45 160.75
125 14.85 73.69 18.23 63.41 96.62
126 14.97 46.39 21.70 36.02 177.99
127 14.97 50.54 24.18 71.06 180.08
128 15.00 37.05 19.90 20.27 160.76
129 14.97 55.96 23.40 102.51 174.78
130 15.23 33.90 19.45 18.84 148.90
131 15.12 23.34 15.90 14.65 113.74
132 15.53 31.50 19.33 18.62 147.34
133 15.48 66.14 23.39 79.68 132.94
134 15.59 39.48 20.75 20.50 160.90
135 15.56 43.53 23.27 26.57 169.76
136 15.76 76.44 16.62 60.38 84.77
137 15.73 62.13 23.30 96.70 154.08
138 15.79 79.16 13.09 59.81 67.58
139 15.91 26.24 16.90 16.76 138.69
140 15.95 68.57 22.44 70.75 122.73
141 15.99 71.29 21.05 68.89 118.20
142 16.14 48.85 23.75 45.91 167.56
143 16.20 54.28 25.09 97.58 171.10
144 16.20 51.70 24.63 74.32 183.13
145 16.28 29.11 17.85 17.66 142.85
146 16.28 56.98 25.31 104.11 177.38
147 16.39 59.82 25.86 104.12 163.17
148 16.41 36.59 19.12 19.03 167.76
149 16.59 41.39 22.85 23.08 167.36
150 16.32 73.93 20.26 63.81 100.41
151 16.39 46.17 23.36 30.90 176.69
152 16.54 24.16 15.40 15.51 130.91
153 16.66 64.16 23.84 89.16 143.83
154 16.88 34.37 20.50 18.49 168.00
155 17.03 43.64 22.58 26.36 171.41
156 17.15 31.90 18.23 17.89 141.78
157 17.07 38.94 21.93 22.05 173.10
158 17.25 66.67 23.85 77.95 125.53
159 16.98 79.60 14.27 63.52 61.70
160 17.28 78.37 17.26 62.37 79.49
161 17.45 61.68 25.36 103.74 159.71
162 17.45 69.65 22.61 68.95 113.23
163 17.47 52.95 26.67 76.47 169.80
164 17.64 50.54 24.01 51.46 178.21
165 17.43 75.98 19.32 65.33 95.98
