#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf4 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.11 45.48 7.91 14.72 37.06
1 2.88 50.83 9.09 14.83 63.77
2 3.02 47.80 9.78 17.41 72.41
3 3.62 45.06 11.33 20.10 81.88
4 3.87 54.72 9.15 14.78 71.41
5 4.08 51.59 11.82 15.94 82.42
6 4.03 49.03 11.31 18.27 78.28
7 4.67 46.66 13.85 20.89 105.35
8 4.57 43.21 12.27 21.78 92.51
9 4.91 53.30 11.92 15.31 89.60
10 5.00 56.28 11.81 13.54 84.33
11 5.33 49.14 12.84 18.75 92.95
12 5.40 41.21 12.40 22.60 92.10
13 5.56 44.68 13.69 20.61 92.31
14 5.65 38.73 12.22 22.61 95.36
15 5.89 51.42 12.93 17.22 101.06
16 6.16 53.92 13.03 16.34 97.84
17 6.24 47.26 14.42 19.53 104.00
18 6.22 56.66 13.00 15.99 100.30
19 6.48 42.42 13.74 22.73 97.16
20 6.39 59.22 11.77 13.78 99.33
21 6.68 39.93 14.31 22.54 100.59
22 6.86 49.76 14.76 19.09 110.99
23 6.94 45.09 14.86 21.20 97.23
24 7.13 61.12 11.42 12.88 93.19
25 7.47 52.24 14.67 17.32 110.38
26 7.34 55.00 14.42 16.13 111.44
27 7.47 37.74 13.35 22.73 106.60
28 7.56 57.76 13.86 16.45 114.09
29 7.66 47.50 15.87 20.88 125.60
30 7.81 43.00 16.27 23.83 106.42
31 8.01 40.28 15.96 22.91 124.27
32 8.16 34.73 12.72 21.66 113.62
33 8.22 49.66 16.68 18.63 122.41
34 8.22 62.56 13.11 14.07 103.51
35 8.37 45.31 15.51 21.95 120.56
36 8.48 59.85 13.85 16.00 116.81
37 8.60 54.38 15.82 17.46 123.98
38 8.75 37.43 14.64 22.13 121.40
39 8.74 57.04 15.02 18.42 124.59
40 8.92 51.72 16.87 20.19 120.62
41 9.09 42.35 16.86 22.34 122.95
42 9.38 48.74 17.37 22.31 134.68
43 9.37 39.99 16.23 22.55 119.10
44 9.49 46.06 16.70 22.56 124.70
45 9.43 62.93 13.91 15.64 127.57
46 9.34 34.78 13.44 23.09 121.33
47 9.78 55.33 16.74 18.80 139.21
48 9.75 60.50 15.21 16.60 138.37
49 9.93 57.95 16.67 17.98 144.33
50 9.84 66.38 12.73 13.16 116.02
51 10.12 43.79 17.23 22.88 130.29
52 10.09 52.77 16.98 20.58 141.82
53 10.12 36.71 15.27 22.02 124.36
54 10.29 33.48 14.73 20.76 119.10
55 10.54 50.23 16.28 22.90 140.92
56 10.46 64.23 14.49 15.72 150.34
57 10.46 39.16 16.91 21.78 130.19
58 10.56 47.34 17.59 23.47 148.38
59 10.85 41.70 17.03 22.40 136.58
60 10.95 61.86 17.58 17.85 149.03
61 11.02 68.18 13.10 13.14 126.90
62 10.98 58.83 16.36 18.71 143.13
63 11.07 55.20 17.52 19.78 146.80
64 11.28 32.08 12.98 20.71 130.15
65 11.39 45.02 18.42 22.98 152.00
66 11.46 65.82 15.43 15.62 147.65
67 11.55 34.88 15.72 21.46 123.43
68 11.50 52.56 17.27 20.86 156.66
69 11.54 37.29 16.06 22.58 128.92
70 11.69 47.99 17.38 24.71 160.20
71 11.54 57.43 18.32 19.04 151.71
72 11.95 29.97 12.43 19.70 122.97
73 11.68 39.26 16.97 21.31 144.69
74 11.91 60.16 18.20 19.54 150.44
75 12.04 50.25 18.57 22.65 168.85
76 12.12 63.25 16.77 17.51 144.12
77 12.07 40.40 16.83 21.79 136.62
78 12.12 56.61 17.60 19.69 159.09
79 12.25 42.85 17.87 22.02 149.23
80 12.46 67.70 16.27 15.42 145.89
81 12.54 54.45 17.63 20.43 162.57
82 12.31 31.91 15.72 21.72 139.06
83 12.61 33.09 16.30 21.21 132.00
84 12.68 46.33 18.30 22.41 166.08
85 12.82 58.21 18.40 20.38 168.72
86 12.81 71.21 13.95 13.17 120.56
87 12.87 37.29 17.62 22.11 143.00
88 12.99 51.77 18.51 21.98 175.21
89 13.04 61.02 19.10 19.57 175.64
90 13.09 65.26 17.91 18.31 161.28
91 13.18 48.76 18.55 21.79 168.56
92 13.32 35.08 18.09 21.55 143.12
93 13.25 39.76 16.96 21.39 147.81
94 13.40 30.38 15.25 20.70 136.90
95 13.40 44.54 17.84 22.48 176.73
96 13.55 68.95 16.00 15.35 139.77
97 13.68 42.14 18.31 21.18 163.54
98 13.76 56.10 18.58 20.45 172.78
99 13.72 62.89 21.16 20.22 194.10
100 13.85 53.42 19.59 21.22 178.62
101 13.98 28.48 14.31 19.26 133.71
102 13.87 32.62 15.42 22.59 147.98
103 13.96 58.99 19.89 20.05 171.24
104 14.04 72.24 13.34 12.67 109.86
105 14.28 26.09 12.18 17.41 120.74
106 14.37 47.66 19.02 22.34 178.94
107 14.27 50.38 19.32 22.82 177.40
108 14.32 37.56 18.07 22.17 149.49
109 14.41 65.93 18.98 17.81 160.31
110 14.53 45.11 17.94 21.94 178.22
111 14.72 40.35 19.45 21.55 170.74
112 14.70 68.01 19.19 16.45 154.61
113 14.82 34.63 16.94 21.38 150.65
114 14.76 60.84 19.62 20.48 163.86
115 14.94 54.21 19.38 21.43 184.33
116 15.00 57.54 20.13 20.62 181.32
117 14.94 63.65 20.23 18.15 173.80
118 15.14 43.00 18.89 21.62 181.31
119 15.20 32.05 16.33 20.20 140.34
120 15.27 71.90 18.50 15.11 136.81
121 15.20 28.81 15.32 19.89 146.42
122 15.36 51.68 20.08 21.66 182.95
123 15.49 24.66 12.48 16.19 131.82
124 15.52 69.38 21.80 16.79 154.30
125 15.59 46.19 19.36 22.09 188.01
126 15.61 36.86 18.01 19.96 159.30
127 15.72 49.01 19.86 21.98 180.13
128 15.79 55.72 20.19 22.37 187.90
129 15.93 39.61 17.99 20.33 170.42
130 16.08 26.94 14.89 18.99 148.56
131 15.98 59.21 20.45 20.25 176.56
132 15.96 61.68 21.43 20.47 176.88
133 16.00 66.64 21.53 17.62 152.16
134 16.35 34.09 17.46 20.65 145.12
135 16.32 42.11 20.31 20.18 182.07
136 16.31 64.12 23.07 19.66 172.66
137 16.43 52.98 21.34 21.63 193.28
138 16.43 30.06 16.57 18.81 145.35
139 16.44 74.12 17.84 12.93 118.62
140 16.70 44.29 18.95 22.30 181.71
141 16.54 70.66 21.91 15.80 147.77
142 16.88 50.57 21.40 21.71 190.61
143 16.77 46.88 20.97 23.86 181.85
144 16.77 37.44 18.45 20.81 168.53
145 16.94 57.56 22.70 21.62 184.54
146 16.95 55.10 22.89 22.33 189.45
147 17.17 68.12 22.56 18.86 154.10
148 17.40 23.80 14.36 16.38 133.92
149 17.16 61.54 23.33 20.19 178.01
150 17.18 76.48 18.34 13.00 111.62
151 17.31 32.04 17.42 20.89 155.25
152 17.42 26.25 15.99 18.69 147.43
153 17.33 40.44 19.58 22.73 178.02
154 17.43 72.24 22.69 14.98 139.64
155 17.38 65.13 22.75 18.62 167.22
156 17.72 59.29 23.08 20.75 175.33
157 17.67 48.44 21.79 22.02 189.57
158 17.67 28.96 17.40 20.16 157.71
159 17.79 36.30 18.74 19.67 164.67
160 17.84 52.60 22.55 21.50 180.32
161 17.91 42.82 20.42 22.42 193.62
162 17.98 45.58 21.05 21.71 193.16
163 17.84 74.26 23.61 15.41 141.94
164 18.18 33.93 18.78 20.35 162.14
165 18.13 69.86 24.88 18.11 158.72
