#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn4 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.44 43.82 15.92 13.60 71.14
1 2.52 46.91 15.40 13.20 75.26
2 2.96 51.68 15.65 13.84 76.18
3 3.36 41.50 15.72 13.92 71.00
4 3.73 45.50 17.41 14.32 86.44
5 3.97 48.42 17.34 14.70 87.47
6 4.23 51.09 16.03 15.68 88.76
7 4.19 39.00 17.21 15.29 76.26
8 4.63 43.38 17.37 15.73 89.10
9 4.97 36.64 15.14 15.55 81.64
10 5.03 40.63 18.38 15.79 89.66
11 5.14 53.41 15.20 16.67 95.03
12 5.25 46.00 18.53 15.75 101.50
13 5.50 48.51 17.98 16.53 101.96
14 5.49 56.77 14.95 15.61 81.08
15 5.80 50.78 18.10 14.95 109.41
16 5.99 38.21 16.89 17.83 98.27
17 6.36 35.28 15.15 17.14 89.42
18 6.25 43.79 17.64 17.17 98.38
19 6.34 54.95 17.67 19.45 112.69
20 6.70 40.61 18.22 18.43 115.44
21 6.80 47.14 19.48 20.01 110.57
22 6.91 52.41 17.29 18.00 116.96
23 6.88 57.52 17.00 15.49 103.42
24 7.41 49.75 17.65 19.37 118.10
25 7.58 37.85 18.63 20.49 108.60
26 7.61 59.84 15.56 14.62 105.66
27 7.65 42.76 19.27 19.99 117.29
28 7.69 54.72 18.33 16.39 123.20
29 7.82 35.61 17.00 21.83 106.20
30 7.92 45.27 20.24 21.18 129.22
31 8.22 40.04 19.30 20.08 124.25
32 8.30 57.16 17.44 15.15 122.68
33 8.55 33.57 16.82 23.30 114.81
34 8.53 47.70 18.82 21.46 128.70
35 8.58 51.66 18.72 19.91 140.01
36 9.00 53.86 18.50 18.98 136.58
37 9.19 59.02 17.92 15.85 134.05
38 9.09 41.91 19.52 21.19 133.15
39 9.28 31.45 13.70 19.64 104.97
40 9.36 64.19 13.37 12.55 101.26
41 9.23 35.84 16.93 20.62 124.14
42 9.39 61.60 17.39 15.54 123.79
43 9.63 49.72 20.81 20.43 135.90
44 9.50 38.64 18.74 22.31 124.48
45 9.44 44.64 20.22 22.67 134.01
46 9.70 55.93 19.02 19.39 139.73
47 10.03 46.93 19.11 22.50 156.16
48 10.29 33.17 17.78 22.41 116.79
49 10.46 53.17 18.85 19.01 150.54
50 10.40 41.70 19.24 23.18 138.30
51 10.50 35.99 17.75 23.83 131.66
52 10.61 58.53 19.02 16.72 145.86
53 10.65 61.32 19.86 14.30 125.06
54 10.78 30.47 15.60 17.91 108.25
55 10.81 64.26 16.87 13.16 116.35
56 11.00 39.09 20.57 25.95 142.92
57 11.11 50.67 20.75 21.41 166.78
58 11.09 44.60 20.05 24.16 140.82
59 11.04 56.13 20.49 18.29 162.94
60 11.22 47.72 19.27 21.83 160.41
61 11.45 66.83 13.19 10.65 100.44
62 11.79 32.23 17.98 21.80 111.14
63 11.79 34.46 18.95 25.41 139.90
64 11.78 36.90 18.54 26.22 143.74
65 11.84 41.55 20.86 24.00 157.28
66 11.76 60.02 20.34 17.81 155.07
67 11.86 62.93 20.11 15.83 157.40
68 12.18 54.64 20.98 20.99 173.92
69 12.07 52.49 21.26 22.32 181.76
70 12.26 29.73 16.76 18.27 118.50
71 12.41 48.55 19.92 21.87 171.50
72 12.50 57.21 18.65 18.11 178.65
73 12.50 27.15 12.59 14.34 77.32
74 12.55 43.45 21.21 24.08 161.61
75 12.61 39.31 19.76 25.49 160.76
76 12.68 45.97 21.36 22.15 171.49
77 12.99 64.74 18.34 15.43 159.93
78 12.79 67.08 17.67 14.10 132.71
79 12.97 50.77 21.49 25.03 189.28
80 13.12 59.36 22.09 18.07 184.75
81 13.14 61.67 21.02 17.39 181.66
82 13.16 33.78 19.06 21.33 140.41
83 13.26 37.18 19.38 25.85 146.92
84 13.40 31.36 17.70 18.93 127.45
85 13.49 69.12 16.88 12.71 124.60
86 13.50 28.29 14.97 17.14 132.46
87 13.65 41.41 21.68 24.74 166.34
88 13.80 53.49 20.08 20.80 192.59
89 13.94 55.81 20.43 20.00 187.26
90 13.98 44.28 21.50 25.21 186.72
91 13.87 48.66 20.92 25.04 190.49
92 14.26 35.42 18.67 23.40 165.58
93 14.28 58.17 20.96 20.20 192.49
94 14.37 62.81 22.75 18.20 181.19
95 14.48 26.22 13.18 15.87 118.30
96 14.52 46.67 20.94 24.52 200.40
97 14.38 51.22 22.10 24.86 213.87
98 14.39 67.15 20.54 14.34 152.46
99 14.71 29.16 16.78 19.38 145.83
100 14.73 33.37 19.74 21.36 162.89
101 14.77 60.42 21.95 18.51 194.48
102 14.67 37.88 20.68 24.51 177.70
103 14.90 40.16 20.65 24.63 183.93
104 14.82 64.63 21.02 16.08 182.81
105 15.09 69.69 16.95 12.07 125.86
106 15.20 42.58 20.71 23.86 192.31
107 15.30 31.38 19.69 20.67 161.80
108 15.37 49.15 23.68 26.68 208.52
109 15.42 56.87 22.04 18.61 196.93
110 15.63 54.38 23.29 22.29 208.75
111 15.69 45.00 21.74 25.91 201.90
112 15.71 51.90 23.18 28.50 209.58
113 15.86 65.83 21.04 15.96 176.08
114 15.88 36.70 19.72 25.39 171.05
115 16.04 27.15 15.56 17.26 154.57
116 16.10 24.75 14.40 14.30 128.93
117 16.17 62.88 20.38 16.95 168.84
118 16.08 71.67 16.80 11.30 112.29
119 16.09 59.71 22.74 19.48 193.76
120 16.34 74.30 12.81 9.19 73.91
121 16.39 67.86 21.36 14.80 151.43
122 16.38 47.21 23.88 26.48 212.00
123 16.31 33.84 17.66 20.87 182.12
124 16.33 39.99 21.41 24.99 194.07
125 16.58 29.36 17.62 19.44 169.24
126 16.67 42.86 20.06 25.42 196.33
127 16.80 49.63 24.34 24.67 205.95
128 16.75 57.12 21.23 20.55 205.62
129 16.93 31.64 19.42 20.49 171.24
130 17.06 69.64 21.79 14.04 139.80
131 17.13 52.20 21.28 22.76 211.90
132 17.31 35.81 21.01 23.10 180.32
133 17.26 23.10 13.50 13.89 126.20
134 17.32 38.20 20.56 23.97 193.16
135 17.36 54.83 21.74 22.36 206.78
136 17.25 60.87 23.04 18.95 192.45
137 17.40 45.25 23.72 24.12 209.88
138 17.41 65.34 20.05 15.37 167.97
139 17.62 26.20 17.37 16.10 158.73
140 17.44 72.70 15.59 11.87 100.72
141 17.75 41.04 21.94 26.59 199.42
142 18.02 62.92 21.02 17.19 176.07
143 17.98 58.35 22.69 21.13 205.55
144 18.02 33.65 19.64 23.03 183.63
145 18.12 28.43 17.67 16.70 171.89
146 18.02 47.46 21.96 23.84 213.01
147 18.26 30.89 18.48 19.28 170.45
148 18.35 43.18 23.48 22.94 212.54
149 18.29 67.44 21.67 13.62 151.18
150 18.30 50.08 22.40 21.61 209.13
151 18.22 70.67 19.16 13.56 142.82
152 18.56 21.09 11.28 11.59 107.08
153 18.54 24.20 15.79 13.38 154.42
154 18.50 53.00 23.06 21.27 208.68
155 18.73 56.42 22.60 20.71 206.89
156 18.65 39.09 22.44 22.32 186.28
157 18.64 60.44 22.64 19.01 194.18
158 18.94 36.52 21.00 20.24 181.16
159 18.88 75.17 15.99 11.66 98.99
160 18.94 72.77 18.48 13.26 131.24
161 19.18 44.88 21.98 22.15 203.25
162 19.12 64.37 21.74 17.68 173.79
163 19.29 69.19 22.24 15.27 153.64
164 19.45 27.55 18.35 16.67 167.54
165 19.46 41.41 22.19 22.08 191.60
