#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf8 14A 1 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.37 43.90 9.96 12.13 72.45
1 2.85 39.58 12.41 12.22 107.31
2 3.11 42.22 13.03 13.02 100.33
3 3.57 45.65 11.69 13.39 75.86
4 3.46 35.55 12.80 13.13 107.62
5 4.02 38.72 13.18 12.78 104.62
6 4.28 47.70 12.60 13.21 97.88
7 4.27 41.49 13.60 13.34 115.97
8 4.60 33.37 13.21 13.60 106.83
9 4.71 35.93 13.77 12.84 104.50
10 4.88 43.84 13.18 13.25 111.03
11 5.14 31.00 12.96 12.31 95.03
12 5.32 38.32 14.29 14.55 126.05
13 5.36 48.58 14.31 13.58 127.56
14 5.58 51.57 12.08 13.62 111.06
15 5.51 40.94 14.20 14.50 126.28
16 5.80 45.55 13.93 14.18 119.69
17 5.83 34.56 15.36 14.48 131.39
18 6.26 29.61 14.39 12.82 106.53
19 6.38 32.19 13.98 14.17 112.48
20 6.26 54.55 12.65 14.40 105.15
21 6.42 36.73 15.34 14.42 132.05
22 6.48 42.54 15.35 14.09 125.28
23 6.65 47.61 14.82 15.12 124.93
24 6.65 50.34 15.11 15.12 136.81
25 6.81 39.40 15.83 14.26 115.44
26 7.25 44.80 15.57 13.83 128.89
27 7.19 53.12 13.19 15.42 143.78
28 7.23 34.44 14.76 15.08 134.57
29 7.50 29.53 14.36 14.06 117.58
30 7.53 55.88 13.85 14.63 131.37
31 7.87 37.18 16.52 14.91 140.40
32 7.92 42.11 15.76 14.75 127.72
33 8.00 31.98 16.80 14.00 130.19
34 7.95 48.26 16.50 15.82 141.48
35 7.96 51.25 15.36 14.80 140.12
36 8.53 39.63 16.84 16.33 140.44
37 8.59 45.42 15.81 15.01 118.68
38 8.52 54.28 16.42 14.79 154.19
39 8.67 34.45 16.81 14.69 138.65
40 8.60 57.84 14.14 14.80 129.33
41 8.60 28.05 14.39 13.02 126.23
42 9.16 30.55 16.55 14.11 127.88
43 9.15 49.80 15.81 14.57 131.45
44 9.34 37.04 16.40 15.83 141.54
45 9.46 41.46 16.20 16.68 135.98
46 9.43 26.13 14.70 12.70 124.04
47 9.57 52.74 15.62 14.67 150.35
48 9.65 60.13 15.09 13.86 105.95
49 9.57 56.03 16.31 15.01 154.84
50 9.88 46.86 18.44 15.11 151.58
51 9.92 33.38 18.24 15.13 133.91
52 9.92 44.04 17.75 15.87 147.72
53 10.06 28.15 16.44 13.99 136.20
54 10.37 38.94 19.10 16.69 150.43
55 10.43 49.33 17.98 14.62 158.59
56 10.67 31.04 16.92 16.22 142.17
57 10.78 35.92 18.24 16.49 147.15
58 10.79 54.24 16.94 15.71 158.80
59 10.71 56.90 16.37 15.44 167.84
60 10.70 25.22 15.26 12.68 126.09
61 11.06 41.89 18.67 16.55 140.12
62 10.97 59.31 17.70 14.57 162.23
63 11.14 51.62 17.67 15.22 148.53
64 11.02 62.26 16.54 12.79 131.57
65 11.30 45.46 18.93 16.15 133.12
66 11.34 28.77 19.53 15.92 156.42
67 11.51 23.25 15.75 11.95 110.50
68 11.65 33.48 19.52 16.14 158.00
69 11.70 26.50 17.62 14.28 142.49
70 11.74 48.83 18.51 16.54 147.87
71 11.74 38.76 18.75 15.68 150.53
72 12.03 64.07 19.32 13.79 132.14
73 12.10 57.85 20.77 15.51 169.50
74 12.24 31.21 18.60 16.03 155.25
75 12.16 54.89 19.13 14.97 143.30
76 12.25 60.63 16.50 14.61 147.01
77 12.31 36.11 20.21 16.52 153.84
78 12.39 43.13 19.87 15.92 148.39
79 12.55 51.71 18.68 15.52 152.80
80 12.68 46.73 19.81 15.42 141.93
81 12.72 28.78 19.23 15.14 155.55
82 12.79 40.41 19.57 17.45 149.12
83 12.82 22.26 15.26 12.06 121.23
84 12.78 24.60 17.49 13.96 145.75
85 12.84 66.43 17.07 12.48 107.36
86 13.15 62.52 20.11 15.29 171.19
87 13.24 34.20 19.81 16.44 143.39
88 13.42 26.76 19.40 15.82 151.80
89 13.38 57.85 21.18 15.71 158.36
90 13.54 49.19 20.11 16.03 161.48
91 13.67 38.13 19.83 16.20 145.82
92 13.46 54.61 20.20 16.08 157.90
93 13.57 44.43 19.79 17.22 158.81
94 13.70 31.71 20.94 17.19 158.94
95 13.90 64.61 22.03 14.34 167.65
96 13.99 51.85 21.54 16.01 163.47
97 14.07 60.61 21.93 15.10 168.82
98 14.10 29.44 22.77 17.44 156.06
99 14.35 40.82 20.90 16.21 138.71
100 14.33 23.86 18.01 14.06 147.53
101 14.29 21.69 16.16 13.14 136.45
102 14.45 46.90 21.28 15.71 159.20
103 14.43 35.87 21.50 17.31 168.58
104 14.61 66.82 20.53 14.31 133.19
105 14.40 69.47 16.15 11.46 85.22
106 14.58 26.04 20.46 15.09 161.82
107 14.78 43.52 20.84 17.14 151.45
108 14.68 57.74 21.56 16.44 167.86
109 14.90 54.83 20.10 15.07 152.61
110 14.91 32.89 22.21 16.70 159.02
111 15.00 62.91 23.00 15.62 171.05
112 15.08 49.66 22.02 15.85 161.66
113 15.13 28.10 20.31 16.07 166.42
114 15.31 52.41 22.55 16.40 184.48
115 15.41 20.21 17.97 11.97 118.14
116 15.50 37.92 21.50 16.74 153.59
117 15.50 60.30 24.74 14.90 175.34
118 15.75 22.54 19.86 13.59 138.35
119 15.82 30.33 22.22 15.00 154.98
120 15.73 45.78 23.41 17.38 156.39
121 15.69 65.28 24.20 14.93 176.92
122 15.76 25.02 20.29 14.46 155.39
123 15.85 35.08 21.46 17.13 154.56
124 15.76 68.70 25.05 13.82 135.24
125 15.87 41.67 21.19 16.86 146.46
126 15.96 56.99 23.26 15.17 167.74
127 16.07 18.40 14.20 10.60 84.22
128 16.33 48.63 23.67 17.01 161.11
129 16.49 27.24 20.70 15.25 154.99
130 16.57 32.76 23.59 16.81 157.38
131 16.50 63.15 23.79 15.40 169.92
132 16.45 52.87 23.45 16.29 153.40
133 16.60 39.49 22.99 18.25 176.34
134 16.74 66.82 26.38 15.33 167.59
135 16.80 44.32 23.85 16.84 157.65
136 16.75 59.60 24.21 15.58 164.12
137 16.83 71.23 26.49 12.71 119.99
138 17.02 24.29 20.81 15.40 154.42
139 17.15 21.86 21.62 12.66 137.56
140 17.15 37.10 23.62 16.88 158.48
141 17.18 55.91 25.71 15.97 170.22
142 17.24 19.45 18.99 10.55 120.21
143 17.31 29.48 22.14 16.54 161.15
144 17.43 50.16 24.71 16.66 161.81
145 17.47 41.61 24.33 17.85 174.37
146 17.74 46.67 24.70 16.58 153.42
147 17.83 34.60 25.17 17.49 160.87
148 17.72 61.65 26.94 15.29 177.54
149 17.65 68.65 30.53 15.05 174.70
150 17.77 64.73 28.73 15.43 175.88
151 17.79 53.08 25.26 16.67 178.28
152 17.87 73.78 25.64 12.02 93.27
153 17.88 26.74 23.79 15.82 153.07
154 17.87 32.07 25.38 16.75 176.04
155 18.03 58.47 26.57 15.58 169.95
156 18.29 43.78 25.55 17.85 164.36
157 18.33 70.94 29.09 13.88 152.08
158 18.29 24.17 22.12 14.32 157.98
159 18.43 39.84 25.17 17.17 165.87
160 18.40 18.29 19.46 11.26 118.67
161 18.56 20.66 21.94 12.75 132.05
162 18.58 37.14 26.58 17.77 172.48
163 18.73 55.99 26.01 16.34 161.05
164 18.67 66.95 30.44 15.18 159.51
165 18.64 29.87 24.08 17.56 166.36
