#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf8 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.94 47.86 10.81 5.96 85.72
1 2.91 42.73 11.68 5.95 89.48
2 3.56 45.22 13.25 6.17 88.44
3 3.67 40.17 11.50 6.71 88.65
4 3.99 49.84 12.22 6.02 99.65
5 4.31 52.34 12.35 5.66 97.35
6 4.49 42.73 12.55 6.44 95.01
7 4.74 47.27 13.30 6.05 98.36
8 5.23 39.91 14.32 7.26 94.43
9 5.40 44.67 13.68 6.42 107.80
10 5.52 50.06 14.14 6.73 106.70
11 5.69 53.67 14.20 6.34 107.49
12 6.14 37.90 14.14 6.76 97.59
13 6.34 42.12 15.76 6.90 107.87
14 6.61 35.00 12.95 6.40 90.90
15 6.61 48.04 15.12 7.76 114.37
16 6.45 56.77 13.58 6.31 94.55
17 6.69 45.05 15.45 7.24 118.39
18 6.70 51.84 14.85 7.84 119.50
19 7.53 40.38 15.06 7.65 108.51
20 7.40 54.26 15.42 7.66 119.87
21 7.54 59.10 13.22 5.75 91.90
22 7.53 37.69 15.12 7.69 112.55
23 7.73 50.31 15.65 7.57 130.89
24 8.00 45.62 16.06 8.14 131.44
25 8.01 56.81 15.31 6.57 121.56
26 8.26 43.10 15.46 8.11 119.74
27 8.20 32.70 13.44 6.73 90.43
28 8.34 35.46 14.76 7.15 112.35
29 8.32 48.07 16.74 7.68 134.33
30 8.74 52.29 15.99 7.19 131.13
31 9.04 38.37 16.16 7.87 123.67
32 9.11 55.07 16.32 7.34 138.98
33 9.10 59.98 14.33 5.42 106.70
34 9.27 41.05 17.34 7.33 128.41
35 9.49 57.71 16.52 7.10 130.35
36 9.50 46.16 16.78 7.80 139.09
37 9.55 49.28 18.79 7.81 137.54
38 9.83 33.98 16.00 7.16 116.11
39 9.88 31.58 14.43 7.06 103.18
40 10.04 43.66 16.68 7.87 131.19
41 10.00 28.68 13.21 5.56 81.56
42 10.14 36.54 16.21 7.97 127.51
43 10.10 62.72 14.57 5.48 91.98
44 10.18 53.38 18.39 7.94 141.92
45 10.54 50.80 17.58 7.78 155.59
46 10.57 39.29 17.26 7.70 132.22
47 10.62 60.06 17.09 6.22 127.37
48 10.78 56.92 19.04 7.48 139.79
49 10.85 46.70 19.21 7.90 141.38
50 11.13 41.86 19.32 8.28 138.79
51 11.23 30.47 16.37 6.98 112.66
52 11.32 64.83 13.58 5.14 84.16
53 11.45 54.78 17.99 8.04 150.92
54 11.57 27.65 13.98 6.24 95.37
55 11.70 32.93 16.15 7.15 114.94
56 11.60 35.89 16.98 7.97 127.27
57 11.72 49.18 20.15 7.61 143.04
58 11.58 62.21 16.35 5.83 117.20
59 11.92 44.33 19.31 8.16 149.71
60 11.80 52.19 18.81 7.82 143.11
61 11.88 58.53 19.45 6.80 134.04
62 12.03 38.80 18.21 7.40 129.72
63 12.33 46.88 19.12 8.10 151.25
64 12.61 42.03 18.96 7.87 139.03
65 12.67 56.13 19.70 7.77 147.11
66 12.67 66.15 15.40 5.67 84.63
67 12.80 60.70 18.63 7.05 134.77
68 12.80 29.47 15.75 6.98 118.21
69 12.81 63.75 17.35 5.30 115.41
70 13.04 34.51 18.57 7.27 130.57
71 13.05 50.97 20.89 8.31 153.99
72 13.25 53.76 19.32 7.97 153.46
73 13.40 26.85 14.89 6.20 102.57
74 13.51 31.99 16.30 6.96 121.62
75 13.38 37.02 18.44 8.16 131.50
76 13.46 39.86 19.94 8.38 139.74
77 13.40 58.30 21.19 7.09 143.80
78 13.49 48.41 20.87 8.41 143.96
79 13.56 45.48 19.73 8.33 157.17
80 13.70 67.92 16.10 5.07 90.02
81 13.98 62.33 20.22 6.11 137.23
82 14.13 42.85 20.61 8.10 141.89
83 14.37 24.30 13.32 6.15 103.08
84 14.30 65.33 18.55 5.08 111.68
85 14.41 56.19 20.96 7.11 143.51
86 14.61 30.01 16.79 7.24 133.70
87 14.46 50.52 21.82 8.48 165.06
88 14.69 35.01 18.18 7.57 131.40
89 14.68 59.32 20.05 7.15 134.69
90 14.68 53.39 21.84 8.73 154.54
91 14.98 37.72 18.57 8.24 144.66
92 14.83 40.39 19.36 8.29 141.21
93 14.85 47.70 21.30 8.32 157.70
94 15.02 27.31 15.22 6.97 122.54
95 15.10 44.97 20.97 8.30 148.92
96 15.32 68.27 17.88 5.54 102.54
97 15.51 32.95 20.17 7.53 131.19
98 15.31 62.18 20.72 7.07 141.65
99 15.61 22.71 13.91 5.98 104.93
100 15.62 64.58 19.94 6.07 130.73
101 15.70 51.39 23.43 8.16 159.10
102 15.89 42.22 20.47 8.37 144.38
103 15.89 55.17 21.57 7.69 145.65
104 15.96 57.45 23.65 7.45 144.84
105 16.15 25.52 16.70 6.86 126.82
106 16.04 59.78 22.26 7.62 148.88
107 16.14 30.60 17.21 8.14 137.14
108 16.29 49.28 21.90 8.95 156.14
109 16.24 39.28 21.58 8.37 145.28
110 16.30 46.91 21.99 8.31 151.46
111 16.31 35.54 17.93 8.04 136.33
112 16.47 20.62 13.12 5.92 89.18
113 16.39 66.45 23.82 6.57 133.48
114 16.53 70.36 18.49 5.47 94.91
115 16.66 28.16 16.72 7.03 130.04
116 16.64 53.13 22.21 8.89 154.65
117 16.63 44.64 21.06 8.08 157.01
118 16.84 61.50 23.45 7.09 145.29
119 17.06 63.96 22.57 7.41 143.99
120 17.28 68.17 22.81 6.23 133.45
121 17.28 32.54 19.14 7.70 135.05
122 17.35 72.73 18.89 5.40 74.84
123 17.35 23.65 14.90 6.60 118.35
124 17.39 37.72 21.83 8.36 157.14
125 17.48 42.82 22.28 8.31 156.66
126 17.35 58.38 22.64 8.08 148.85
127 17.47 55.84 25.55 8.10 151.14
128 17.68 40.46 21.71 8.54 154.03
129 17.64 50.95 25.68 8.11 160.11
130 17.66 48.27 21.88 9.24 153.41
131 17.86 35.36 20.95 7.80 147.94
132 18.04 26.60 17.83 7.56 130.28
133 18.02 29.57 17.14 7.14 124.65
134 18.05 45.78 24.69 8.33 165.44
135 18.07 20.92 15.21 5.88 100.15
136 18.10 53.42 23.42 8.93 156.13
137 18.13 70.38 23.75 6.55 115.98
138 18.19 65.74 24.18 6.95 138.13
139 18.19 60.46 26.20 7.91 149.49
140 18.38 62.84 25.83 8.00 148.42
141 18.41 74.46 21.29 5.03 59.94
142 18.74 31.77 19.45 8.27 141.38
143 18.83 58.01 26.00 8.25 154.41
144 18.88 23.95 18.12 6.74 124.08
145 18.91 38.74 20.23 8.70 155.39
146 18.86 43.52 24.67 8.55 166.96
147 18.87 68.07 26.19 7.47 128.91
148 19.06 34.21 20.29 8.39 158.82
149 19.00 55.44 27.33 8.97 172.12
150 18.99 47.97 24.49 8.47 160.81
151 19.16 50.53 25.04 9.06 162.69
152 19.19 71.77 27.34 5.45 102.52
153 19.36 41.15 23.47 8.92 160.96
154 19.29 17.94 12.84 5.49 69.85
155 19.48 36.61 21.75 8.04 160.07
156 19.46 52.91 26.10 8.29 165.33
157 19.42 63.97 30.77 7.93 145.96
158 19.50 28.26 19.15 8.21 131.72
159 19.63 20.88 16.13 5.77 113.04
160 19.59 45.76 23.21 8.41 171.00
161 19.58 60.77 27.62 7.77 148.58
162 19.99 66.20 30.09 7.32 146.08
163 20.16 25.99 20.43 7.14 133.18
164 20.13 30.84 23.05 7.99 149.78
165 20.18 68.76 31.33 7.41 128.70
