#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 1.97 47.75 11.54 8.39 36.87
1 2.87 50.02 10.67 8.20 39.19
2 3.24 43.38 12.22 8.74 39.53
3 3.31 46.36 11.84 9.01 43.64
4 3.44 40.40 10.71 9.91 41.71
5 3.82 51.94 13.17 9.43 52.70
6 3.91 39.14 10.56 9.02 38.90
7 4.35 49.01 13.20 11.12 53.63
8 4.70 53.86 13.57 10.80 56.92
9 4.63 42.73 12.31 10.02 49.98
10 4.72 46.30 12.61 10.78 54.72
11 5.10 39.88 12.83 11.76 53.11
12 5.40 51.09 13.83 11.88 62.78
13 5.65 37.68 13.78 12.14 60.91
14 5.83 44.82 14.44 11.38 60.07
15 5.94 55.46 13.89 10.92 68.23
16 6.22 41.78 13.54 12.55 63.23
17 6.35 35.40 13.55 13.04 61.97
18 6.57 52.43 14.41 12.41 75.20
19 6.63 57.96 13.90 10.56 70.10
20 6.97 39.10 14.77 13.76 74.02
21 7.15 49.58 16.60 14.60 83.88
22 7.14 44.13 15.03 14.29 88.55
23 7.37 33.44 12.80 14.25 70.35
24 7.51 46.94 16.17 15.95 90.28
25 7.54 55.93 15.87 11.42 88.22
26 7.76 36.59 14.22 14.96 76.42
27 7.81 53.65 16.36 14.51 100.62
28 7.88 41.60 15.82 17.72 93.95
29 8.09 61.00 14.14 10.81 70.14
30 8.07 58.51 14.80 11.62 98.65
31 8.32 51.22 16.31 14.66 105.76
32 8.65 39.26 15.51 19.52 91.33
33 8.59 44.66 16.26 16.26 103.82
34 8.74 32.39 14.25 17.48 82.97
35 8.81 48.45 17.41 17.12 113.70
36 9.02 34.86 15.03 18.94 92.75
37 9.19 29.83 13.14 16.71 82.98
38 9.06 56.15 15.96 12.89 109.40
39 9.44 42.28 17.08 21.24 116.65
40 9.43 53.63 18.38 13.67 120.97
41 9.62 37.34 16.91 20.63 108.56
42 9.60 58.83 17.26 12.89 109.72
43 9.66 61.64 15.01 11.72 90.11
44 9.88 45.80 16.46 19.13 123.06
45 9.84 50.69 18.91 17.30 127.50
46 10.32 32.18 15.09 18.40 92.94
47 10.34 40.01 17.60 22.93 128.99
48 10.66 48.21 19.79 19.50 140.23
49 10.63 63.74 14.80 10.79 93.54
50 10.59 34.85 16.71 20.43 105.56
51 10.57 56.07 18.77 14.19 130.72
52 10.89 52.87 18.87 16.80 141.99
53 10.78 29.40 13.84 18.43 92.93
54 11.01 42.55 18.58 22.68 134.98
55 11.04 58.62 18.27 14.60 140.94
56 11.31 61.32 16.04 13.41 121.44
57 11.18 37.53 17.38 22.24 132.98
58 11.29 66.13 13.97 9.62 75.46
59 11.37 45.36 20.30 22.88 140.98
60 11.59 50.50 19.45 20.04 154.64
61 11.98 33.47 16.63 22.07 119.40
62 11.90 54.84 19.04 15.55 152.36
63 12.04 27.60 13.81 19.19 94.63
64 12.10 39.66 19.57 21.05 136.54
65 12.21 30.97 15.56 20.93 108.25
66 12.38 56.91 18.79 16.29 156.37
67 12.29 48.04 20.07 23.73 161.73
68 12.39 36.19 16.64 23.21 127.48
69 12.50 63.81 15.22 10.85 110.24
70 12.60 59.40 18.03 14.82 138.19
71 12.54 42.57 18.80 24.22 155.18
72 12.71 66.53 16.00 9.79 86.82
73 12.77 52.67 19.45 17.98 169.47
74 12.90 24.61 12.88 12.55 84.26
75 12.94 45.42 19.89 23.44 167.84
76 13.19 69.22 12.73 8.05 61.27
77 13.33 61.81 17.09 11.87 132.40
78 13.48 50.46 19.51 20.20 168.83
79 13.47 29.51 16.12 17.99 114.45
80 13.62 26.83 15.16 17.04 109.69
81 13.68 34.65 18.46 19.85 132.33
82 13.61 37.86 18.90 21.97 151.64
83 13.65 55.02 21.71 18.82 168.74
84 13.75 40.73 20.42 21.89 161.28
85 13.99 32.05 17.29 19.88 122.17
86 13.85 47.79 21.11 21.48 169.43
87 13.94 57.50 20.17 18.51 151.68
88 13.99 43.55 19.90 22.01 166.76
89 14.38 59.76 20.03 14.56 140.97
90 14.46 64.62 17.88 10.69 105.30
91 14.30 66.88 15.38 9.02 91.36
92 14.51 23.00 11.95 10.68 80.67
93 14.72 53.15 21.86 19.32 188.88
94 14.79 69.16 15.46 8.73 85.06
95 14.99 45.63 21.69 20.90 179.04
96 15.08 25.64 13.75 13.24 103.16
97 15.12 36.60 18.65 20.42 139.06
98 15.04 39.35 19.94 21.09 156.63
99 14.92 62.26 20.21 12.53 142.98
100 15.02 28.53 15.03 16.04 111.29
101 15.03 50.73 21.30 19.48 186.68
102 15.37 33.93 18.08 18.37 131.78
103 15.38 42.80 21.47 20.96 157.76
104 15.38 48.32 21.59 20.66 188.17
105 15.54 55.23 19.08 16.40 170.04
106 15.52 57.63 19.69 16.10 157.68
107 15.69 31.12 16.61 17.32 122.74
108 15.88 60.34 19.91 13.38 152.92
109 15.88 66.67 16.91 9.73 108.12
110 16.24 24.34 13.60 10.31 99.05
111 16.25 73.12 13.88 7.06 52.28
112 16.31 69.29 15.26 9.92 92.29
113 16.38 40.97 19.67 19.57 165.64
114 16.28 63.78 18.96 11.08 123.32
115 16.64 52.55 21.27 16.28 171.38
116 16.56 28.47 16.78 13.97 115.71
117 16.55 45.71 21.38 19.79 178.59
118 16.77 38.57 20.35 17.54 158.38
119 16.69 35.69 19.68 17.96 137.53
120 16.93 50.30 21.43 17.26 184.08
121 17.04 47.94 21.69 16.83 181.45
122 16.94 32.59 18.74 16.49 132.76
123 17.11 43.29 22.07 18.82 177.56
124 16.91 58.34 21.90 13.57 166.47
125 17.07 55.23 21.16 16.97 178.42
126 17.14 61.49 19.18 13.50 143.97
127 17.25 70.88 16.11 9.50 89.61
128 17.27 65.57 18.40 11.14 125.42
129 17.53 23.14 13.30 10.26 101.28
130 17.57 26.11 16.01 11.53 112.45
131 17.85 68.00 17.39 10.29 105.50
132 18.08 28.80 16.81 12.51 122.69
133 17.97 40.90 20.74 16.65 171.47
134 18.08 73.20 16.21 8.61 75.18
135 18.13 34.61 20.07 16.04 153.28
136 18.29 31.68 18.16 15.43 135.82
137 18.16 37.59 19.54 15.58 155.72
138 18.24 63.14 20.32 12.08 128.29
139 18.11 45.33 22.58 16.72 181.19
140 18.12 57.58 22.33 15.15 175.29
141 18.41 60.14 22.39 12.79 149.87
142 18.36 54.70 22.90 16.85 192.16
143 18.53 49.21 22.76 16.73 183.83
144 18.85 52.10 22.99 16.11 183.62
145 18.71 21.45 12.62 8.88 90.00
146 18.77 70.23 17.32 10.15 98.71
147 18.82 65.89 20.44 11.10 121.39
148 19.05 25.04 14.28 10.37 114.21
149 19.13 43.23 21.94 16.26 179.32
150 19.22 46.62 22.09 16.15 191.16
151 19.15 74.94 14.90 8.46 67.29
152 19.42 40.69 20.98 15.73 177.81
153 19.47 28.28 17.08 12.37 128.44
154 19.55 35.87 20.46 14.98 158.47
155 19.60 38.17 20.00 15.84 170.10
156 19.36 57.70 21.63 14.55 162.16
157 19.53 61.26 21.67 13.80 161.33
158 19.83 31.10 18.44 14.22 137.49
159 19.80 33.70 20.46 14.12 155.14
160 19.62 54.47 22.65 16.08 185.22
161 19.77 50.04 23.69 16.88 191.17
162 19.90 71.86 15.98 9.31 93.35
163 19.89 63.77 20.07 13.65 142.46
164 20.00 68.84 19.62 10.74 114.67
165 20.24 21.98 13.73 9.03 94.27
