#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf1 14A 6 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.45 48.08 12.56 13.41 40.47
1 3.05 50.81 13.36 13.86 47.72
2 3.54 45.98 14.68 14.60 52.99
3 3.59 53.41 13.03 13.72 51.21
4 4.04 48.37 14.13 14.62 51.94
5 4.28 58.24 12.86 14.85 56.25
6 4.35 55.78 14.18 14.20 63.65
7 4.64 51.16 16.11 14.91 55.55
8 5.22 53.87 16.39 16.53 64.71
9 5.28 40.29 17.27 20.56 64.25
10 5.27 43.02 16.11 20.05 66.38
11 5.26 45.53 16.04 18.04 64.14
12 5.47 48.05 16.57 19.02 68.11
13 5.85 56.71 15.79 15.80 76.35
14 5.78 60.08 14.86 16.68 83.60
15 6.05 50.40 17.76 18.27 78.89
16 5.94 58.69 14.84 16.91 80.89
17 6.42 52.78 18.00 18.89 85.75
18 6.22 62.51 12.82 15.00 73.51
19 6.58 41.76 18.72 21.28 76.06
20 6.73 39.34 17.46 22.42 67.12
21 6.93 43.90 17.88 21.80 84.38
22 6.63 55.09 17.05 17.94 92.37
23 6.92 46.11 17.19 23.05 82.87
24 6.49 59.28 14.60 15.24 69.52
25 6.95 48.52 18.91 21.75 90.01
26 7.28 37.04 17.60 25.11 75.29
27 7.22 61.46 16.41 19.73 104.94
28 7.61 57.10 17.37 19.92 98.07
29 7.47 51.26 18.85 22.32 103.19
30 7.71 59.36 18.76 19.58 114.20
31 7.47 54.63 18.78 18.64 80.02
32 7.97 63.71 17.02 17.11 98.92
33 8.13 41.67 18.75 23.81 92.40
34 8.12 39.09 20.96 24.44 90.82
35 8.23 47.24 18.98 23.72 101.87
36 8.52 53.03 19.33 23.26 105.82
37 8.52 35.42 17.95 24.81 88.17
38 8.54 49.89 19.89 23.89 106.58
39 8.57 44.20 18.24 23.06 91.82
40 8.99 55.45 19.88 24.04 109.47
41 8.80 61.35 19.18 24.65 127.46
42 9.20 37.55 19.58 24.76 101.39
43 9.28 58.60 18.64 22.76 131.67
44 9.58 39.96 21.61 24.78 113.82
45 9.49 46.21 22.10 29.10 114.98
46 9.67 32.91 16.58 21.33 78.91
47 9.81 66.06 17.83 17.41 130.38
48 9.81 42.22 22.02 25.37 112.15
49 9.81 48.78 22.02 26.59 125.64
50 9.85 63.40 17.89 18.35 134.82
51 9.89 51.72 20.34 27.16 128.16
52 10.11 35.60 20.10 24.26 112.34
53 10.48 44.55 22.11 29.64 125.75
54 10.35 56.84 19.97 26.88 143.32
55 10.53 54.17 21.28 24.61 136.14
56 10.40 60.73 21.38 21.36 140.90
57 10.74 38.19 20.02 27.24 115.75
58 10.98 31.37 15.58 19.62 90.25
59 11.06 47.04 21.58 30.91 126.30
60 11.05 49.94 22.45 30.93 140.78
61 11.28 40.43 21.10 25.17 129.54
62 11.29 58.70 21.53 27.23 162.25
63 11.34 33.88 19.12 21.33 112.87
64 11.42 66.24 17.28 17.82 147.92
65 11.33 68.90 16.48 16.12 141.57
66 11.45 63.46 19.27 20.78 155.59
67 11.49 42.81 23.33 32.07 141.80
68 11.57 36.24 21.83 24.29 130.16
69 11.67 52.50 22.76 33.01 151.22
70 11.77 71.44 14.58 13.71 103.71
71 11.83 56.19 21.41 25.98 160.47
72 12.00 60.89 20.69 24.14 160.30
73 12.25 44.75 21.57 27.22 144.38
74 12.55 38.52 20.62 23.41 131.95
75 12.52 32.09 18.26 21.28 124.60
76 12.40 49.97 22.03 29.99 153.73
77 12.63 47.38 22.21 28.01 147.10
78 12.75 54.11 23.37 29.76 176.98
79 12.74 29.20 17.68 16.81 108.69
80 12.76 65.05 20.39 17.89 160.41
81 12.89 41.72 19.84 26.38 125.63
82 12.94 58.22 21.76 24.85 156.55
83 12.88 35.44 19.22 22.66 129.85
84 12.89 68.74 17.62 15.12 152.50
85 13.02 72.31 16.24 13.27 129.36
86 13.27 62.66 20.45 21.15 167.39
87 13.49 51.90 23.80 32.94 171.74
88 13.71 55.87 21.78 30.14 169.74
89 13.61 26.99 17.48 16.59 107.08
90 13.86 60.30 22.14 24.38 163.22
91 13.69 45.53 21.70 29.70 145.82
92 13.97 66.36 20.24 18.07 168.95
93 14.01 33.98 18.10 19.54 125.27
94 13.86 49.39 22.10 27.66 166.04
95 13.91 31.12 18.55 19.15 129.50
96 14.10 37.19 20.16 23.11 141.32
97 14.06 39.89 21.46 28.06 151.76
98 14.14 70.99 19.48 14.48 155.14
99 14.41 42.92 21.75 26.67 159.41
100 14.64 53.60 22.40 31.20 175.18
101 14.69 73.71 17.47 12.98 128.54
102 14.77 57.43 23.11 24.28 168.93
103 14.73 63.40 20.52 20.56 154.37
104 14.77 68.58 21.01 16.51 156.48
105 15.00 29.28 17.26 17.03 127.20
106 15.02 48.28 22.88 25.93 171.66
107 15.05 26.27 15.29 16.51 124.02
108 15.14 45.71 22.64 27.61 175.33
109 15.19 50.99 21.56 27.30 179.00
110 15.31 32.49 19.99 19.53 147.96
111 15.40 59.50 21.87 25.75 175.46
112 15.43 35.47 20.85 23.10 152.17
113 15.53 41.21 21.95 27.16 170.78
114 15.51 38.35 23.14 24.57 156.96
115 15.83 55.16 23.78 24.96 179.80
116 15.81 66.25 20.57 18.14 151.19
117 15.79 71.54 19.00 14.62 131.97
118 16.08 43.81 22.59 24.96 168.14
119 16.10 61.37 22.89 22.26 181.54
120 16.25 74.29 17.58 13.74 123.96
121 16.34 52.67 23.29 25.08 177.61
122 16.30 63.68 20.71 19.59 178.46
123 16.42 47.37 22.61 24.09 185.58
124 16.29 69.03 21.44 17.09 153.70
125 16.54 31.10 19.74 18.84 140.70
126 16.47 57.17 23.16 23.80 175.40
127 16.40 27.88 18.37 16.55 137.74
128 16.66 24.97 15.04 14.10 115.34
129 16.73 49.70 22.41 24.40 177.39
130 16.80 33.96 18.47 19.00 152.66
131 16.75 40.01 21.18 23.05 160.57
132 16.61 36.87 20.29 21.38 151.74
133 17.26 59.00 22.83 21.65 175.45
134 17.23 76.78 15.17 13.14 103.26
135 17.40 45.63 22.75 23.02 178.71
136 17.54 43.00 23.13 22.85 164.76
137 17.35 65.07 22.62 18.97 167.97
138 17.40 71.38 18.98 14.61 127.82
139 17.47 55.24 22.82 24.43 182.62
140 17.52 68.36 20.87 16.41 140.94
141 17.37 36.32 21.98 21.08 140.98
142 17.62 61.35 21.62 20.53 173.27
143 17.67 29.42 20.47 19.09 151.16
144 17.70 74.16 19.08 15.12 129.49
145 17.65 51.65 22.85 23.89 181.46
146 17.95 38.39 22.49 22.93 160.71
147 18.06 26.92 17.68 15.57 137.88
148 18.24 23.90 15.92 14.24 127.39
149 18.24 47.93 22.46 22.61 174.67
150 18.11 32.00 18.76 19.62 161.86
151 18.22 40.83 22.13 22.19 178.28
152 18.31 34.70 21.75 20.28 162.86
153 18.52 53.66 23.12 23.88 193.58
154 18.47 62.96 22.97 19.92 179.36
155 18.62 56.90 22.52 20.62 171.20
156 18.49 66.33 21.36 19.03 170.08
157 18.80 49.99 23.21 24.05 190.25
158 18.77 69.65 21.76 17.42 145.28
159 18.91 77.70 18.09 12.47 100.47
160 19.10 37.09 22.67 22.28 178.37
161 18.88 45.06 23.56 23.14 176.91
162 19.02 75.05 19.80 13.95 119.35
163 19.12 72.29 19.70 15.38 126.80
164 19.07 60.31 20.78 20.24 166.42
165 19.25 42.42 24.76 22.21 173.06
