AP,time,hb_Boolean,kr_Boolean,gt_Boolean,kni_Boolean
4,1,1,0,0,1
5,1,1,0,0,1
6,1,1,0,0,1
7,1,1,0,0,1
8,1,1,0,0,1
9,1,1,0,0,1
10,1,1,0,0,1
11,1,1,0,0,1
12,1,1,0,0,1
13,1,1,0,0,1
14,1,1,0,0,1
15,1,1,0,0,1
16,1,1,0,0,1
17,1,1,0,0,1
18,1,1,0,0,0
19,1,1,0,0,0
20,1,1,0,0,0
21,1,1,0,1,0
22,1,1,0,1,0
23,1,1,0,1,0
24,1,1,0,1,0
25,1,1,0,1,0
26,1,1,0,1,0
27,1,1,0,1,0
28,1,1,0,1,0
29,1,1,0,1,0
30,1,1,0,1,0
31,1,1,0,1,0
32,1,1,0,1,0
33,1,1,0,1,0
34,1,1,0,1,0
35,1,1,0,1,0
36,1,1,0,1,0
37,1,1,0,1,0
38,1,1,0,1,0
39,1,1,0,1,0
40,1,1,0,0,0
41,1,1,0,0,0
42,1,1,0,0,0
43,1,1,0,0,0
44,1,1,0,0,0
45,1,1,0,0,0
46,1,1,0,0,0
47,1,0,1,0,0
48,1,0,1,0,0
49,1,0,1,0,0
50,1,0,1,0,0
51,1,0,1,0,0
52,1,0,1,0,0
53,1,0,1,0,0
54,1,0,1,0,0
55,1,0,1,0,0
56,1,0,1,0,0
57,1,0,1,0,0
58,1,0,1,0,1
59,1,0,1,0,1
60,1,0,1,0,1
61,1,0,1,0,1
62,1,0,1,0,1
63,1,0,1,0,1
64,1,0,1,0,1
65,1,0,0,0,1
66,1,0,0,0,1
67,1,0,0,0,1
68,1,0,0,0,1
69,1,0,0,0,1
70,1,0,0,0,1
71,1,0,0,0,1
72,1,0,0,0,1
73,1,0,0,0,1
74,1,0,0,0,1
75,1,0,0,0,1
76,1,0,0,0,1
77,1,0,0,1,0
78,1,0,0,1,0
79,1,0,0,1,0
80,1,0,0,1,0
81,1,0,0,1,0
82,1,0,0,1,0
83,1,0,0,1,0
84,1,0,0,1,0
85,1,0,0,0,0
86,1,0,0,0,0
87,1,0,0,0,0
88,1,0,0,0,0
89,1,0,0,0,0
90,1,0,0,0,0
91,1,0,0,0,0
92,1,0,0,0,0
93,1,0,0,0,0
94,1,0,0,0,0
95,1,0,0,0,0
96,1,0,0,0,0
97,1,0,0,0,0
98,1,0,0,0,0
4,2,1,0,0,1
5,2,1,0,0,1
6,2,1,0,0,1
7,2,1,0,0,1
8,2,1,0,0,1
9,2,1,0,0,1
10,2,1,0,0,1
11,2,1,0,0,1
12,2,1,0,0,1
13,2,1,0,0,1
14,2,1,0,0,1
15,2,1,0,0,1
16,2,1,0,0,1
17,2,1,0,0,1
18,2,1,0,1,1
19,2,1,0,1,1
20,2,1,0,1,1
21,2,1,0,1,1
22,2,1,0,1,1
23,2,1,0,1,0
24,2,1,0,1,0
25,2,1,0,1,0
26,2,1,0,1,0
27,2,1,0,1,0
28,2,1,0,1,0
29,2,1,0,1,0
30,2,1,0,1,0
31,2,1,0,1,0
32,2,1,0,1,0
33,2,1,0,1,0
34,2,1,0,1,0
35,2,1,1,1,0
36,2,1,1,1,0
37,2,1,1,1,0
38,2,1,1,1,0
39,2,1,1,0,0
40,2,1,1,0,0
41,2,1,1,0,0
42,2,1,1,0,0
43,2,1,1,0,0
44,2,1,1,0,0
45,2,1,1,0,0
46,2,1,1,0,0
47,2,0,1,0,0
48,2,0,1,0,0
49,2,0,1,0,0
50,2,0,1,0,0
51,2,0,1,0,0
52,2,0,1,0,0
53,2,0,1,0,0
54,2,0,1,0,0
55,2,0,1,0,1
56,2,0,1,0,1
57,2,0,1,0,1
58,2,0,1,0,1
59,2,0,1,0,1
60,2,0,1,0,1
61,2,0,1,0,1
62,2,0,1,0,1
63,2,0,1,0,1
64,2,0,1,0,1
65,2,0,1,0,1
66,2,0,1,0,1
67,2,0,1,0,1
68,2,0,0,0,1
69,2,0,0,0,1
70,2,0,0,0,1
71,2,0,0,1,1
72,2,0,0,1,1
73,2,0,0,1,1
74,2,0,0,1,1
75,2,0,0,1,1
76,2,0,0,1,1
77,2,0,0,1,1
78,2,0,0,1,0
79,2,0,0,1,0
80,2,0,0,1,0
81,2,0,0,1,0
82,2,0,0,1,0
83,2,0,0,1,0
84,2,0,0,1,0
85,2,0,0,1,0
86,2,0,0,1,0
87,2,0,0,1,0
88,2,0,0,0,0
89,2,0,0,0,0
90,2,0,0,0,0
91,2,0,0,0,0
92,2,0,0,0,0
93,2,0,0,0,0
94,2,0,0,0,0
95,2,0,0,0,0
96,2,0,0,0,0
97,2,0,0,0,0
98,2,0,0,0,0
4,3,1,0,0,1
5,3,1,0,0,0
6,3,1,0,0,1
7,3,1,0,0,0
8,3,1,0,0,0
9,3,1,0,0,0
10,3,1,0,0,0
11,3,1,0,0,0
12,3,1,0,0,0
13,3,1,0,0,0
14,3,1,0,0,0
15,3,1,0,0,0
16,3,1,0,0,0
17,3,1,0,0,0
18,3,1,0,1,0
19,3,1,0,1,0
20,3,1,0,1,0
21,3,1,0,1,0
22,3,1,0,1,0
23,3,1,0,1,0
24,3,1,0,1,0
25,3,1,0,1,0
26,3,1,0,1,0
27,3,1,0,1,0
28,3,1,0,1,0
29,3,1,0,1,0
30,3,1,0,1,0
31,3,1,0,1,0
32,3,1,0,1,0
33,3,1,0,1,0
34,3,1,0,1,0
35,3,1,0,1,0
36,3,1,0,1,0
37,3,1,0,1,0
38,3,1,0,1,0
39,3,1,0,1,0
40,3,1,0,1,0
41,3,1,0,1,0
42,3,1,0,0,0
43,3,1,0,0,0
44,3,1,1,0,0
45,3,0,1,0,0
46,3,0,1,0,0
47,3,0,1,0,0
48,3,0,1,0,0
49,3,0,1,0,0
50,3,0,1,0,0
51,3,0,1,0,0
52,3,0,1,0,0
53,3,0,1,0,0
54,3,0,1,0,0
55,3,0,1,0,0
56,3,0,1,0,0
57,3,0,1,0,1
58,3,0,1,0,1
59,3,0,1,0,1
60,3,0,1,0,1
61,3,0,1,0,1
62,3,0,1,0,1
63,3,0,0,0,1
64,3,0,0,0,1
65,3,0,0,0,1
